,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＜いずれかの機器でインターネットを使っている（Ｑ２で、1つ以上「１」を回答）方に＞,,,,,,,,,,,,,,,,,,,,,,,,,,,,
〔回答票５〕Ｑ５（無線ＬＡＮ利用まとめ）あなたは、インターネットを利用する場合に、Ｗｉ-Ｆｉ（ワイファイ）などの無線ＬＡＮ（ラン）機能（きのう）を使うことがありますか。インターネットを利用している機器のそれぞれについて、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,,,,,,,,,,,
,該当数,スマートフォン,格安スマートフォン,機能限定・子供向けスマートフォン,契約切れスマートフォン,携帯電話,機能限定電話・子ども向け携帯電話,ノートパソコン,デスクトップパソコン,タブレット,学習用タブレット,子供向け娯楽用タブレット,携帯音楽プレイヤー,携帯ゲーム機,据置型ゲーム機,インターネット接続テレビ,無線ＬＡＮ利用（計）,無線ＬＡＮ非利用,Ａスマートフォン（計）,Ｂ携帯電話（計）,Ｃパソコン（計）,Ｄタブレット（計）,Ｅ携帯音楽プレイヤー,Ｆゲーム機（計）,Ｇインターネット接続テレビ,Ａ・Ｂスマートフォン・携帯電話（計）,Ａ・Ｂ機能限定や子供向け（計）,Ａ・Ｂ機能限定や子供向け以外（計）
  インターネット利用（計）,1055    ,35.5    ,0.9    ,0.4    ,3.0    ,1.0    ,0.4    ,20.3    ,8.3    ,16.5    ,6.4    ,0.2    ,12.1    ,17.2    ,6.4    ,1.4    ,100.0    ,-,39.0    ,1.4    ,27.3    ,22.5    ,12.1    ,19.4    ,1.4    ,40.2    ,0.8    ,39.4    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
高校生（計）,965    ,71.2    ,0.2    ,0.5    ,1.0    ,0.9    ,-,22.2    ,9.3    ,8.2    ,1.3    ,-,7.9    ,8.0    ,4.9    ,0.8    ,100.0    ,-,72.2    ,0.9    ,30.3    ,9.3    ,7.9    ,9.7    ,0.8    ,73.1    ,0.5    ,72.6    
  インターネット利用（計）,965    ,71.2    ,0.2    ,0.5    ,1.0    ,0.9    ,-,22.2    ,9.3    ,8.2    ,1.3    ,-,7.9    ,8.0    ,4.9    ,0.8    ,100.0    ,-,72.2    ,0.9    ,30.3    ,9.3    ,7.9    ,9.7    ,0.8    ,73.1    ,0.5    ,72.6    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ｆ４〔兄弟・姉妹の有無〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  １人以上いる,1411    ,44.5    ,0.5    ,0.7    ,2.5    ,1.3    ,0.3    ,18.9    ,8.4    ,12.6    ,3.0    ,-,9.4    ,15.2    ,4.5    ,1.1    ,100.0    ,-,47.5    ,1.6    ,25.9    ,15.4    ,9.4    ,16.7    ,1.1    ,48.8    ,1.0    ,47.9    
  いない,1204    ,42.9    ,0.5    ,0.1    ,2.5    ,0.7    ,0.2    ,22.3    ,8.0    ,14.5    ,5.1    ,0.3    ,7.6    ,19.4    ,7.8    ,0.9    ,100.0    ,-,45.3    ,0.9    ,29.5    ,19.2    ,7.6    ,21.4    ,0.9    ,46.1    ,0.3    ,45.8    
小学生（計）,572    ,11.7    ,0.2    ,0.3    ,4.0    ,1.0    ,0.5    ,18.5    ,6.1    ,17.3    ,4.0    ,0.3    ,3.3    ,32.5    ,7.5    ,0.5    ,100.0    ,-,15.9    ,1.6    ,24.1    ,21.0    ,3.3    ,33.4    ,0.5    ,17.0    ,0.9    ,16.3    
  １人以上いる,263    ,12.9    ,-,0.4    ,4.6    ,1.1    ,0.4    ,17.9    ,7.6    ,19.0    ,2.7    ,-,4.9    ,33.5    ,7.6    ,0.4    ,100.0    ,-,17.9    ,1.5    ,25.1    ,20.9    ,4.9    ,34.6    ,0.4    ,18.6    ,0.8    ,18.3    
  いない,309    ,10.7    ,0.3    ,0.3    ,3.6    ,1.0    ,0.6    ,19.1    ,4.9    ,15.9    ,5.2    ,0.6    ,1.9    ,31.7    ,7.4    ,0.6    ,100.0    ,-,14.2    ,1.6    ,23.3    ,21.0    ,1.9    ,32.4    ,0.6    ,15.5    ,1.0    ,14.6    
