,,,,,,,,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,,,,,,,,
〔回答票９〕Ｆ３　あなたは、学校へ通っていますか。在学中（ざいがくちゅう）の人は学校の種類と学年について〔在学中（ざいがくちゅう）の方〕（１から10まで）の中からお答えください。在学中（ざいがくちゅう）でない人は、最後に卒業（中退を含む）した学校について〔在学中（ざいがくちゅう）でない方〕（11から13）の中からお答えください。（１つだけ）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,
,総数,小学４年生,小学５年生,小学６年生,中学１年生,中学２年生,中学３年生,高校１年生,高校２年生,高校３年生,専門学校、各種学校等,中学校卒業,高校中退,専門学校、各種学校等中退・卒業,小学生（計）,中学生（計）,高校生（計）,その他（計）
郡部（町村）,309    ,5.2    ,11.0    ,12.3    ,12.3    ,12.9    ,12.3    ,14.2    ,12.3    ,6.8    ,-,0.6    ,-,-,28.5    ,37.5    ,33.3    ,0.6    
〔都道府県〕,,,,,,,,,,,,,,,,,,
北海道,162    ,6.2    ,11.1    ,11.1    ,15.4    ,9.9    ,14.8    ,12.3    ,10.5    ,8.6    ,-,-,-,-,28.4    ,40.1    ,31.5    ,-
青森県,60    ,6.7    ,6.7    ,11.7    ,8.3    ,15.0    ,16.7    ,8.3    ,20.0    ,3.3    ,-,1.7    ,1.7    ,-,25.0    ,40.0    ,31.7    ,3.3    
岩手県,30    ,6.7    ,13.3    ,23.3    ,6.7    ,6.7    ,13.3    ,16.7    ,10.0    ,3.3    ,-,-,-,-,43.3    ,26.7    ,30.0    ,-
宮城県,80    ,5.0    ,13.8    ,12.5    ,12.5    ,17.5    ,5.0    ,10.0    ,15.0    ,5.0    ,-,1.3    ,2.5    ,-,31.3    ,35.0    ,30.0    ,3.8    
秋田県,26    ,7.7    ,3.8    ,11.5    ,11.5    ,11.5    ,7.7    ,15.4    ,23.1    ,7.7    ,-,-,-,-,23.1    ,30.8    ,46.2    ,-
山形県,29    ,6.9    ,3.4    ,13.8    ,10.3    ,24.1    ,6.9    ,17.2    ,10.3    ,6.9    ,-,-,-,-,24.1    ,41.4    ,34.5    ,-
福島県,43    ,11.6    ,18.6    ,14.0    ,4.7    ,20.9    ,4.7    ,14.0    ,7.0    ,4.7    ,-,-,-,-,44.2    ,30.2    ,25.6    ,-
茨城県,82    ,7.3    ,13.4    ,7.3    ,11.0    ,13.4    ,15.9    ,9.8    ,13.4    ,7.3    ,-,1.2    ,-,-,28.0    ,40.2    ,30.5    ,1.2    
栃木県,69    ,4.3    ,11.6    ,14.5    ,13.0    ,14.5    ,15.9    ,11.6    ,7.2    ,4.3    ,-,1.4    ,-,1.4    ,30.4    ,43.5    ,23.2    ,2.9    
群馬県,41    ,9.8    ,7.3    ,7.3    ,17.1    ,9.8    ,17.1    ,12.2    ,9.8    ,9.8    ,-,-,-,-,24.4    ,43.9    ,31.7    ,-
埼玉県,174    ,6.3    ,11.5    ,11.5    ,12.6    ,14.9    ,13.8    ,11.5    ,10.9    ,5.2    ,-,-,1.7    ,-,29.3    ,41.4    ,27.6    ,1.7    
千葉県,174    ,6.9    ,16.1    ,11.5    ,10.3    ,8.6    ,11.5    ,14.9    ,12.6    ,6.9    ,-,-,0.6    ,-,34.5    ,30.5    ,34.5    ,0.6    
東京都,237    ,7.6    ,14.8    ,13.1    ,11.4    ,13.1    ,11.8    ,12.7    ,12.7    ,2.5    ,-,-,0.4    ,-,35.4    ,36.3    ,27.8    ,0.4    
神奈川県,207    ,6.8    ,12.1    ,13.0    ,15.5    ,15.0    ,11.1    ,13.0    ,9.7    ,2.9    ,-,-,1.0    ,-,31.9    ,41.5    ,25.6    ,1.0    
新潟県,66    ,4.5    ,9.1    ,15.2    ,12.1    ,15.2    ,15.2    ,15.2    ,10.6    ,3.0    ,-,-,-,-,28.8    ,42.4    ,28.8    ,-
富山県,52    ,3.8    ,5.8    ,15.4    ,17.3    ,17.3    ,9.6    ,13.5    ,11.5    ,5.8    ,-,-,-,-,25.0    ,44.2    ,30.8    ,-
石川県,28    ,-,10.7    ,10.7    ,17.9    ,10.7    ,10.7    ,17.9    ,17.9    ,3.6    ,-,-,-,-,21.4    ,39.3    ,39.3    ,-
福井県,34    ,11.8    ,5.9    ,-,8.8    ,17.6    ,26.5    ,14.7    ,5.9    ,8.8    ,-,-,-,-,17.6    ,52.9    ,29.4    ,-
山梨県,41    ,4.9    ,17.1    ,9.8    ,7.3    ,9.8    ,17.1    ,14.6    ,14.6    ,4.9    ,-,-,-,-,31.7    ,34.1    ,34.1    ,-
長野県,58    ,5.2    ,17.2    ,12.1    ,13.8    ,10.3    ,17.2    ,12.1    ,10.3    ,1.7    ,-,-,-,-,34.5    ,41.4    ,24.1    ,-
岐阜県,56    ,8.9    ,7.1    ,10.7    ,17.9    ,19.6    ,10.7    ,8.9    ,10.7    ,5.4    ,-,-,-,-,26.8    ,48.2    ,25.0    ,-
