,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,
Ｆ２　あなたは、今、何歳ですか。,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,
,総数,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,平均,標準偏差
東京都,237    ,14.3    ,11.4    ,14.3    ,10.5    ,11.8    ,12.7    ,13.5    ,11.4    ,13.43    ,2.3    
神奈川県,207    ,11.1    ,11.6    ,15.5    ,13.5    ,15.5    ,13.0    ,10.1    ,9.7    ,13.39    ,2.2    
新潟県,66    ,9.1    ,9.1    ,13.6    ,13.6    ,16.7    ,15.2    ,16.7    ,6.1    ,13.62    ,2.1    
富山県,52    ,3.8    ,13.5    ,17.3    ,15.4    ,11.5    ,11.5    ,9.6    ,17.3    ,13.77    ,2.2    
石川県,28    ,3.6    ,10.7    ,7.1    ,25.0    ,10.7    ,7.1    ,32.1    ,3.6    ,13.96    ,2.0    
福井県,34    ,11.8    ,5.9    ,-,14.7    ,26.5    ,14.7    ,14.7    ,11.8    ,14.00    ,2.1    
山梨県,41    ,9.8    ,14.6    ,7.3    ,9.8    ,14.6    ,9.8    ,14.6    ,19.5    ,13.90    ,2.4    
長野県,58    ,10.3    ,17.2    ,12.1    ,10.3    ,12.1    ,17.2    ,12.1    ,8.6    ,13.40    ,2.2    
岐阜県,56    ,8.9    ,10.7    ,16.1    ,16.1    ,16.1    ,10.7    ,7.1    ,14.3    ,13.52    ,2.2    
静岡県,104    ,7.7    ,10.6    ,10.6    ,11.5    ,12.5    ,15.4    ,17.3    ,14.4    ,13.98    ,2.2    
愛知県,241    ,9.1    ,10.4    ,14.9    ,14.9    ,11.6    ,13.7    ,10.8    ,14.5    ,13.66    ,2.2    
三重県,54    ,5.6    ,18.5    ,5.6    ,14.8    ,20.4    ,13.0    ,14.8    ,7.4    ,13.61    ,2.1    
滋賀県,44    ,11.4    ,9.1    ,25.0    ,9.1    ,13.6    ,11.4    ,11.4    ,9.1    ,13.30    ,2.2    
京都府,72    ,13.9    ,8.3    ,15.3    ,13.9    ,18.1    ,15.3    ,6.9    ,8.3    ,13.29    ,2.1    
大阪府,233    ,10.3    ,13.3    ,14.6    ,12.0    ,11.6    ,13.7    ,13.3    ,11.2    ,13.52    ,2.2    
兵庫県,147    ,16.3    ,10.9    ,17.7    ,8.2    ,12.9    ,10.2    ,13.6    ,10.2    ,13.27    ,2.3    
奈良県,31    ,9.7    ,16.1    ,9.7    ,6.5    ,9.7    ,16.1    ,16.1    ,16.1    ,13.84    ,2.4    
和歌山県,27    ,3.7    ,25.9    ,3.7    ,3.7    ,11.1    ,18.5    ,7.4    ,25.9    ,14.07    ,2.5    
鳥取県,14    ,7.1    ,7.1    ,21.4    ,21.4    ,21.4    ,-,7.1    ,14.3    ,13.43    ,2.1    
島根県,21    ,9.5    ,4.8    ,9.5    ,-,23.8    ,28.6    ,9.5    ,14.3    ,14.19    ,2.1    
岡山県,65    ,4.6    ,6.2    ,15.4    ,23.1    ,24.6    ,10.8    ,7.7    ,7.7    ,13.58    ,1.8    
広島県,72    ,6.9    ,6.9    ,15.3    ,9.7    ,8.3    ,12.5    ,20.8    ,19.4    ,14.24    ,2.3    
山口県,45    ,13.3    ,6.7    ,15.6    ,6.7    ,15.6    ,11.1    ,13.3    ,17.8    ,13.80    ,2.4    
徳島県,26    ,11.5    ,11.5    ,15.4    ,15.4    ,11.5    ,15.4    ,3.8    ,15.4    ,13.42    ,2.3    
香川県,33    ,12.1    ,15.2    ,12.1    ,12.1    ,18.2    ,9.1    ,12.1    ,9.1    ,13.30    ,2.2    
愛媛県,34    ,20.6    ,8.8    ,17.6    ,11.8    ,-,2.9    ,5.9    ,32.4    ,13.56    ,2.9    
高知県,16    ,6.3    ,12.5    ,12.5    ,18.8    ,6.3    ,12.5    ,12.5    ,18.8    ,13.88    ,2.3    
福岡県,155    ,9.7    ,12.9    ,12.3    ,15.5    ,13.5    ,7.7    ,18.1    ,10.3    ,13.57    ,2.2    
佐賀県,20    ,15.0    ,15.0    ,10.0    ,15.0    ,5.0    ,10.0    ,10.0    ,20.0    ,13.50    ,2.6    
長崎県,44    ,22.7    ,18.2    ,18.2    ,11.4    ,9.1    ,2.3    ,13.6    ,4.5    ,12.50    ,2.2    
熊本県,43    ,11.6    ,11.6    ,9.3    ,7.0    ,20.9    ,7.0    ,16.3    ,16.3    ,13.81    ,2.4    
大分県,31    ,9.7    ,12.9    ,19.4    ,16.1    ,6.5    ,6.5    ,16.1    ,12.9    ,13.45    ,2.3    
宮崎県,40    ,7.5    ,15.0    ,12.5    ,12.5    ,7.5    ,7.5    ,20.0    ,17.5    ,13.88    ,2.4    
鹿児島県,33    ,12.1    ,15.2    ,21.2    ,15.2    ,6.1    ,6.1    ,15.2    ,9.1    ,13.12    ,2.3    
沖縄県,47    ,4.3    ,8.5    ,8.5    ,21.3    ,19.1    ,8.5    ,2.1    ,27.7    ,14.15    ,2.2    
Ｑ１〔機器の利用状況〕,,,,,,,,,,,
スマートフォン,1541    ,1.9    ,3.6    ,5.5    ,8.5    ,11.9    ,16.4    ,25.7    ,26.6    ,15.10    ,1.8    
格安スマートフォン,22    ,-,4.5    ,13.6    ,18.2    ,22.7    ,18.2    ,13.6    ,9.1    ,14.14    ,1.7    
機能限定・子供向けスマートフォン,60    ,20.0    ,16.7    ,20.0    ,15.0    ,13.3    ,5.0    ,8.3    ,1.7    ,12.42    ,1.9    
契約切れスマートフォン,100    ,8.0    ,13.0    ,14.0    ,14.0    ,18.0    ,15.0    ,6.0    ,12.0    ,13.50    ,2.1    
携帯電話,392    ,6.6    ,9.9    ,19.4    ,17.9    ,20.7    ,14.3    ,4.3    ,6.9    ,13.31    ,1.8    
機能限定電話・子ども向け携帯電話,307    ,30.6    ,27.4    ,22.5    ,9.8    ,7.2    ,1.0    ,0.7    ,1.0    ,11.46    ,1.4    
ノートパソコン,846    ,6.4    ,8.2    ,13.4    ,11.5    ,14.8    ,14.4    ,13.9    ,17.5    ,14.07    ,2.2    
デスクトップパソコン,409    ,5.9    ,10.0    ,11.7    ,11.0    ,12.2    ,14.4    ,17.4    ,17.4    ,14.13    ,2.2    
タブレット,483    ,8.3    ,12.6    ,15.5    ,15.7    ,17.0    ,12.6    ,9.3    ,8.9    ,13.40    ,2.0    
学習用タブレット,202    ,9.9    ,17.3    ,13.4    ,23.8    ,19.8    ,9.9    ,5.9    ,-,12.80    ,1.7    
子供向け娯楽用タブレット,9    ,33.3    ,22.2    ,11.1    ,11.1    ,22.2    ,-,-,-,11.67    ,1.7    
