,,,,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,,,,
〔回答票８〕Ｑ８　あなたは、青少年に不適切（ふてきせつ）なサイト（出会い系サイトやアダルトサイトなど）やネットいじめの問題などインターネットの危険性（きけんせい）について、これまで説明を受けたり学んだりしたことがありますか。この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,
,総数,学校で教えてもらった,親（保護者）から教えてもらった,兄弟・姉妹から教えてもらった,機器の購入時に販売員より説明された,機器の購入時に資料をもらった,友だちから教えてもらった,テレビや本・パンフレットで知った,インターネットで知った,その他,説明を受けたり学んだりした（計）,教えてもらったり学んだりしない,わからない,回答計
北海道,162    ,90.1    ,39.5    ,2.5    ,6.8    ,4.9    ,10.5    ,21.6    ,11.7    ,-,95.1    ,3.1    ,1.9    ,192.6    
青森県,60    ,83.3    ,18.3    ,5.0    ,1.7    ,1.7    ,10.0    ,28.3    ,8.3    ,1.7    ,90.0    ,10.0    ,-,168.3    
岩手県,30    ,83.3    ,16.7    ,3.3    ,3.3    ,-,-,3.3    ,6.7    ,-,86.7    ,10.0    ,3.3    ,130.0    
宮城県,80    ,67.5    ,32.5    ,2.5    ,6.3    ,3.8    ,10.0    ,10.0    ,1.3    ,-,71.3    ,27.5    ,1.3    ,162.5    
秋田県,26    ,80.8    ,42.3    ,3.8    ,15.4    ,23.1    ,11.5    ,19.2    ,19.2    ,-,88.5    ,11.5    ,-,226.9    
山形県,29    ,75.9    ,37.9    ,6.9    ,-,3.4    ,6.9    ,27.6    ,3.4    ,-,86.2    ,6.9    ,6.9    ,175.9    
福島県,43    ,81.4    ,51.2    ,-,2.3    ,7.0    ,18.6    ,11.6    ,4.7    ,-,95.3    ,2.3    ,2.3    ,181.4    
茨城県,82    ,74.4    ,24.4    ,-,3.7    ,1.2    ,4.9    ,4.9    ,2.4    ,-,79.3    ,18.3    ,2.4    ,136.6    
栃木県,69    ,89.9    ,37.7    ,2.9    ,2.9    ,4.3    ,13.0    ,24.6    ,8.7    ,-,92.8    ,4.3    ,2.9    ,191.3    
群馬県,41    ,85.4    ,63.4    ,2.4    ,4.9    ,-,12.2    ,17.1    ,2.4    ,2.4    ,87.8    ,7.3    ,4.9    ,202.4    
埼玉県,174    ,85.6    ,38.5    ,2.3    ,4.6    ,2.3    ,13.2    ,16.1    ,7.5    ,-,88.5    ,9.8    ,1.7    ,181.6    
千葉県,174    ,85.6    ,45.4    ,6.3    ,8.6    ,9.2    ,12.1    ,20.1    ,9.8    ,1.1    ,90.8    ,9.2    ,-,207.5    
東京都,237    ,89.9    ,43.0    ,2.1    ,3.8    ,3.8    ,10.5    ,23.2    ,7.2    ,0.4    ,94.1    ,4.2    ,1.7    ,189.9    
神奈川県,207    ,85.5    ,46.9    ,6.8    ,7.7    ,4.3    ,10.1    ,20.8    ,7.7    ,-,93.7    ,4.8    ,1.4    ,196.1    
新潟県,66    ,83.3    ,30.3    ,3.0    ,4.5    ,3.0    ,9.1    ,28.8    ,7.6    ,-,89.4    ,10.6    ,-,180.3    
富山県,52    ,92.3    ,28.8    ,-,1.9    ,1.9    ,3.8    ,5.8    ,3.8    ,-,94.2    ,5.8    ,-,144.2    
石川県,28    ,100.0    ,28.6    ,3.6    ,3.6    ,-,10.7    ,21.4    ,7.1    ,-,100.0    ,-,-,175.0    
福井県,34    ,91.2    ,41.2    ,2.9    ,5.9    ,2.9    ,20.6    ,29.4    ,20.6    ,-,97.1    ,2.9    ,-,217.6    
山梨県,41    ,75.6    ,39.0    ,-,4.9    ,4.9    ,7.3    ,7.3    ,7.3    ,-,82.9    ,7.3    ,9.8    ,163.4    
長野県,58    ,87.9    ,25.9    ,1.7    ,5.2    ,5.2    ,10.3    ,8.6    ,10.3    ,-,91.4    ,5.2    ,3.4    ,163.8    
岐阜県,56    ,85.7    ,28.6    ,1.8    ,3.6    ,1.8    ,5.4    ,1.8    ,5.4    ,-,89.3    ,10.7    ,-,144.6    
静岡県,104    ,88.5    ,38.5    ,6.7    ,5.8    ,4.8    ,6.7    ,14.4    ,4.8    ,-,91.3    ,7.7    ,1.0    ,178.8    
愛知県,241    ,87.6    ,37.8    ,2.5    ,6.6    ,3.3    ,7.5    ,12.0    ,6.2    ,-,90.9    ,7.5    ,1.7    ,172.6    
三重県,54    ,77.8    ,24.1    ,-,7.4    ,-,3.7    ,5.6    ,5.6    ,-,85.2    ,11.1    ,3.7    ,138.9    
滋賀県,44    ,81.8    ,31.8    ,-,4.5    ,-,20.5    ,9.1    ,6.8    ,-,86.4    ,13.6    ,-,168.2    
