,,,,,,,,
＜全員に＞,,,,,,,,
Ｆ１・Ｆ３〔性・学校種別〕,,,,,,,,
,,,,,,,,
,,,,,,,,
,青少年分析軸,,,,,,,
,総数,小学生男子,女子,中学生男子,女子,高校生男子,女子,その他
＊＊【　総　数　】＊＊,3441    ,15.5    ,15.9    ,19.0    ,19.6    ,14.3    ,15.0    ,0.7    
神奈川県,207    ,13.0    ,18.8    ,19.3    ,22.2    ,10.6    ,15.0    ,1.0    
新潟県,66    ,12.1    ,16.7    ,18.2    ,24.2    ,16.7    ,12.1    ,-
富山県,52    ,11.5    ,13.5    ,21.2    ,23.1    ,9.6    ,21.2    ,-
石川県,28    ,7.1    ,14.3    ,25.0    ,14.3    ,21.4    ,17.9    ,-
福井県,34    ,8.8    ,8.8    ,20.6    ,32.4    ,14.7    ,14.7    ,-
山梨県,41    ,14.6    ,17.1    ,17.1    ,17.1    ,22.0    ,12.2    ,-
長野県,58    ,15.5    ,19.0    ,19.0    ,22.4    ,19.0    ,5.2    ,-
岐阜県,56    ,12.5    ,14.3    ,16.1    ,32.1    ,7.1    ,17.9    ,-
静岡県,104    ,14.4    ,10.6    ,18.3    ,15.4    ,23.1    ,18.3    ,-
愛知県,241    ,14.1    ,15.4    ,22.0    ,19.1    ,14.5    ,13.3    ,1.7    
三重県,54    ,20.4    ,7.4    ,20.4    ,29.6    ,13.0    ,9.3    ,-
滋賀県,44    ,25.0    ,6.8    ,34.1    ,11.4    ,11.4    ,11.4    ,-
京都府,72    ,20.8    ,12.5    ,26.4    ,22.2    ,6.9    ,11.1    ,-
大阪府,233    ,13.7    ,20.6    ,15.9    ,21.9    ,14.6    ,13.3    ,-
兵庫県,147    ,26.5    ,15.0    ,16.3    ,16.3    ,9.5    ,15.6    ,0.7    
奈良県,31    ,22.6    ,6.5    ,6.5    ,25.8    ,22.6    ,16.1    ,-
和歌山県,27    ,14.8    ,18.5    ,14.8    ,18.5    ,18.5    ,14.8    ,-
鳥取県,14    ,14.3    ,7.1    ,35.7    ,21.4    ,7.1    ,14.3    ,-
島根県,21    ,9.5    ,14.3    ,4.8    ,33.3    ,19.0    ,19.0    ,-
岡山県,65    ,16.9    ,6.2    ,29.2    ,30.8    ,4.6    ,12.3    ,-
広島県,72    ,18.1    ,6.9    ,13.9    ,15.3    ,13.9    ,31.9    ,-
山口県,45    ,13.3    ,17.8    ,17.8    ,15.6    ,20.0    ,13.3    ,2.2    
徳島県,26    ,19.2    ,15.4    ,26.9    ,19.2    ,3.8    ,15.4    ,-
香川県,33    ,12.1    ,27.3    ,15.2    ,21.2    ,12.1    ,12.1    ,-
愛媛県,34    ,23.5    ,14.7    ,20.6    ,2.9    ,17.6    ,20.6    ,-
高知県,16    ,6.3    ,25.0    ,18.8    ,18.8    ,-,31.3    ,-
福岡県,155    ,14.8    ,16.8    ,18.7    ,16.8    ,19.4    ,11.6    ,1.9    
佐賀県,20    ,15.0    ,20.0    ,20.0    ,10.0    ,5.0    ,30.0    ,-
長崎県,44    ,34.1    ,22.7    ,9.1    ,15.9    ,4.5    ,13.6    ,-
熊本県,43    ,16.3    ,14.0    ,20.9    ,14.0    ,23.3    ,11.6    ,-
大分県,31    ,19.4    ,22.6    ,19.4    ,9.7    ,19.4    ,9.7    ,-
宮崎県,40    ,10.0    ,17.5    ,15.0    ,20.0    ,22.5    ,12.5    ,2.5    
鹿児島県,33    ,21.2    ,12.1    ,27.3    ,15.2    ,6.1    ,18.2    ,-
沖縄県,47    ,6.4    ,12.8    ,25.5    ,25.5    ,19.1    ,10.6    ,-
Ｑ１〔機器の利用状況〕,,,,,,,,
スマートフォン,1541    ,4.0    ,4.2    ,14.1    ,18.0    ,28.0    ,30.2    ,1.4    
格安スマートフォン,22    ,9.1    ,4.5    ,27.3    ,31.8    ,18.2    ,4.5    ,4.5    
機能限定・子供向けスマートフォン,60    ,15.0    ,35.0    ,20.0    ,16.7    ,6.7    ,6.7    ,-
契約切れスマートフォン,100    ,15.0    ,16.0    ,26.0    ,23.0    ,12.0    ,8.0    ,-
携帯電話,392    ,10.5    ,19.4    ,22.4    ,34.2    ,6.4    ,6.6    ,0.5    
機能限定電話・子ども向け携帯電話,307    ,34.5    ,42.3    ,9.1    ,12.4    ,0.3    ,1.3    ,-
ノートパソコン,846    ,13.1    ,10.8    ,19.4    ,20.8    ,16.2    ,19.5    ,0.2    
デスクトップパソコン,409    ,10.8    ,11.2    ,19.6    ,18.3    ,17.1    ,22.5    ,0.5    
タブレット,483    ,18.0    ,13.9    ,24.0    ,23.0    ,9.7    ,11.2    ,0.2    
学習用タブレット,202    ,14.4    ,18.3    ,26.2    ,32.7    ,3.5    ,5.0    ,-
子供向け娯楽用タブレット,9    ,44.4    ,22.2    ,11.1    ,22.2    ,-,-,-
携帯音楽プレイヤー,875    ,4.3    ,7.8    ,20.2    ,26.9    ,17.1    ,22.7    ,0.9    
携帯ゲーム機,1495    ,22.1    ,18.2    ,22.7    ,15.2    ,13.6    ,7.7    ,0.5    
据置型ゲーム機,891    ,23.2    ,14.9    ,24.6    ,14.8    ,14.5    ,7.7    ,0.2    
インターネット接続テレビ,114    ,11.4    ,11.4    ,25.4    ,19.3    ,8.8    ,23.7    ,-
利用している（計）,3142    ,14.4    ,14.5    ,18.7    ,20.0    ,15.3    ,16.3    ,0.8    
いずれも利用していない,299    ,26.8    ,30.4    ,22.4    ,15.4    ,3.7    ,1.3    ,-
Ａスマートフォン（計）,1678    ,5.0    ,6.0    ,14.8    ,18.4    ,26.3    ,28.1    ,1.4    
Ｂ携帯電話（計）,694    ,21.0    ,29.7    ,16.6    ,24.5    ,3.6    ,4.3    ,0.3    
Ｃパソコン（計）,1202    ,12.6    ,11.1    ,19.4    ,20.0    ,16.4    ,20.3    ,0.3    
Ｄタブレット（計）,666    ,16.8    ,15.8    ,24.3    ,25.7    ,8.0    ,9.3    ,0.2    
Ｅ携帯音楽プレイヤー,875    ,4.3    ,7.8    ,20.2    ,26.9    ,17.1    ,22.7    ,0.9    
Ｆゲーム機（計）,1679    ,21.5    ,17.3    ,23.3    ,15.4    ,13.7    ,8.2    ,0.5    
Ｇインターネット接続テレビ,114    ,11.4    ,11.4    ,25.4    ,19.3    ,8.8    ,23.7    ,-
Ａ・Ｂスマートフォン・携帯電話（計）,2285    ,9.4    ,12.4    ,15.4    ,19.8    ,20.2    ,21.8    ,1.1    
Ａ・Ｂ機能限定や子供向け（計）,367    ,31.3    ,41.1    ,10.9    ,13.1    ,1.4    ,2.2    ,-
Ａ・Ｂ機能限定や子供向け以外（計）,1966    ,5.7    ,7.4    ,16.2    ,21.1    ,23.3    ,25.1    ,1.3    
【全数】Ｑ２〔ネット利用状況（ネット利用まとめ）〕,,,,,,,,
スマートフォン,1475    ,3.1    ,3.6    ,14.5    ,18.2    ,28.5    ,30.8    ,1.4    
格安スマートフォン,19    ,10.5    ,5.3    ,26.3    ,31.6    ,15.8    ,5.3    ,5.3    
