,,,,,,,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,,,,,,,
Ｆ１・Ｆ２〔性・年齢別〕,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,
,総数,男性１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,女性１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳
長野県,58    ,1.7    ,10.3    ,3.4    ,6.9    ,6.9    ,8.6    ,10.3    ,5.2    ,8.6    ,6.9    ,8.6    ,3.4    ,5.2    ,8.6    ,1.7    ,3.4    
岐阜県,56    ,3.6    ,5.4    ,8.9    ,8.9    ,1.8    ,-,3.6    ,3.6    ,5.4    ,5.4    ,7.1    ,7.1    ,14.3    ,10.7    ,3.6    ,10.7    
静岡県,104    ,5.8    ,4.8    ,6.7    ,5.8    ,7.7    ,4.8    ,11.5    ,8.7    ,1.9    ,5.8    ,3.8    ,5.8    ,4.8    ,10.6    ,5.8    ,5.8    
愛知県,241    ,4.6    ,4.6    ,7.1    ,9.1    ,6.6    ,6.6    ,5.0    ,7.5    ,4.6    ,5.8    ,7.9    ,5.8    ,5.0    ,7.1    ,5.8    ,7.1    
三重県,54    ,5.6    ,13.0    ,3.7    ,5.6    ,9.3    ,3.7    ,9.3    ,3.7    ,-,5.6    ,1.9    ,9.3    ,11.1    ,9.3    ,5.6    ,3.7    
滋賀県,44    ,9.1    ,9.1    ,15.9    ,6.8    ,11.4    ,9.1    ,4.5    ,4.5    ,2.3    ,-,9.1    ,2.3    ,2.3    ,2.3    ,6.8    ,4.5    
京都府,72    ,8.3    ,5.6    ,8.3    ,11.1    ,6.9    ,8.3    ,2.8    ,2.8    ,5.6    ,2.8    ,6.9    ,2.8    ,11.1    ,6.9    ,4.2    ,5.6    
大阪府,233    ,3.4    ,5.2    ,6.0    ,5.2    ,3.9    ,7.7    ,6.0    ,6.9    ,6.9    ,8.2    ,8.6    ,6.9    ,7.7    ,6.0    ,7.3    ,4.3    
兵庫県,147    ,10.2    ,8.2    ,10.2    ,4.1    ,6.1    ,4.1    ,6.8    ,2.7    ,6.1    ,2.7    ,7.5    ,4.1    ,6.8    ,6.1    ,6.8    ,7.5    
奈良県,31    ,6.5    ,12.9    ,3.2    ,-,3.2    ,9.7    ,9.7    ,6.5    ,3.2    ,3.2    ,6.5    ,6.5    ,6.5    ,6.5    ,6.5    ,9.7    
和歌山県,27    ,3.7    ,11.1    ,-,-,3.7    ,11.1    ,7.4    ,11.1    ,-,14.8    ,3.7    ,3.7    ,7.4    ,7.4    ,-,14.8    
鳥取県,14    ,-,7.1    ,14.3    ,14.3    ,14.3    ,-,7.1    ,-,7.1    ,-,7.1    ,7.1    ,7.1    ,-,-,14.3    
島根県,21    ,4.8    ,4.8    ,-,-,4.8    ,9.5    ,4.8    ,4.8    ,4.8    ,-,9.5    ,-,19.0    ,19.0    ,4.8    ,9.5    
岡山県,65    ,1.5    ,4.6    ,12.3    ,9.2    ,12.3    ,6.2    ,3.1    ,1.5    ,3.1    ,1.5    ,3.1    ,13.8    ,12.3    ,4.6    ,4.6    ,6.2    
広島県,72    ,5.6    ,2.8    ,9.7    ,5.6    ,4.2    ,5.6    ,9.7    ,2.8    ,1.4    ,4.2    ,5.6    ,4.2    ,4.2    ,6.9    ,11.1    ,16.7    
山口県,45    ,8.9    ,2.2    ,4.4    ,-,13.3    ,6.7    ,11.1    ,6.7    ,4.4    ,4.4    ,11.1    ,6.7    ,2.2    ,4.4    ,2.2    ,11.1    
徳島県,26    ,3.8    ,7.7    ,7.7    ,7.7    ,7.7    ,11.5    ,-,3.8    ,7.7    ,3.8    ,7.7    ,7.7    ,3.8    ,3.8    ,3.8    ,11.5    
香川県,33    ,6.1    ,6.1    ,-,6.1    ,6.1    ,3.0    ,9.1    ,3.0    ,6.1    ,9.1    ,12.1    ,6.1    ,12.1    ,6.1    ,3.0    ,6.1    
愛媛県,34    ,11.8    ,8.8    ,11.8    ,8.8    ,-,2.9    ,5.9    ,11.8    ,8.8    ,-,5.9    ,2.9    ,-,-,-,20.6    
高知県,16    ,-,6.3    ,-,6.3    ,6.3    ,6.3    ,-,-,6.3    ,6.3    ,12.5    ,12.5    ,-,6.3    ,12.5    ,18.8    
福岡県,155    ,5.8    ,5.8    ,4.5    ,9.7    ,6.5    ,4.5    ,10.3    ,6.5    ,3.9    ,7.1    ,7.7    ,5.8    ,7.1    ,3.2    ,7.7    ,3.9    
佐賀県,20    ,5.0    ,10.0    ,5.0    ,10.0    ,-,5.0    ,5.0    ,-,10.0    ,5.0    ,5.0    ,5.0    ,5.0    ,5.0    ,5.0    ,20.0    
長崎県,44    ,9.1    ,11.4    ,13.6    ,4.5    ,4.5    ,-,2.3    ,2.3    ,13.6    ,6.8    ,4.5    ,6.8    ,4.5    ,2.3    ,11.4    ,2.3    
熊本県,43    ,7.0    ,7.0    ,4.7    ,2.3    ,11.6    ,4.7    ,11.6    ,11.6    ,4.7    ,4.7    ,4.7    ,4.7    ,9.3    ,2.3    ,4.7    ,4.7    
大分県,31    ,-,6.5    ,12.9    ,9.7    ,6.5    ,3.2    ,9.7    ,9.7    ,9.7    ,6.5    ,6.5    ,6.5    ,-,3.2    ,6.5    ,3.2    
宮崎県,40    ,-,7.5    ,5.0    ,5.0    ,2.5    ,5.0    ,12.5    ,12.5    ,7.5    ,7.5    ,7.5    ,7.5    ,5.0    ,2.5    ,7.5    ,5.0    
鹿児島県,33    ,6.1    ,12.1    ,9.1    ,12.1    ,6.1    ,3.0    ,3.0    ,3.0    ,6.1    ,3.0    ,12.1    ,3.0    ,-,3.0    ,12.1    ,6.1    
沖縄県,47    ,-,6.4    ,-,12.8    ,8.5    ,4.3    ,2.1    ,17.0    ,4.3    ,2.1    ,8.5    ,8.5    ,10.6    ,4.3    ,-,10.6    
Ｑ１〔機器の利用状況〕,,,,,,,,,,,,,,,,,
スマートフォン,1541    ,1.0    ,2.0    ,2.0    ,3.6    ,5.1    ,8.5    ,13.0    ,11.7    ,0.9    ,1.6    ,3.4    ,4.9    ,6.9    ,7.9    ,12.7    ,14.9    
格安スマートフォン,22    ,-,4.5    ,9.1    ,9.1    ,4.5    ,13.6    ,4.5    ,9.1    ,-,-,4.5    ,9.1    ,18.2    ,4.5    ,9.1    ,-
機能限定・子供向けスマートフォン,60    ,6.7    ,6.7    ,5.0    ,8.3    ,6.7    ,3.3    ,3.3    ,1.7    ,13.3    ,10.0    ,15.0    ,6.7    ,6.7    ,1.7    ,5.0    ,-
契約切れスマートフォン,100    ,4.0    ,9.0    ,3.0    ,8.0    ,9.0    ,9.0    ,4.0    ,7.0    ,4.0    ,4.0    ,11.0    ,6.0    ,9.0    ,6.0    ,2.0    ,5.0    
携帯電話,392    ,2.6    ,4.3    ,6.4    ,7.9    ,8.4    ,4.8    ,2.6    ,2.3    ,4.1    ,5.6    ,13.0    ,9.9    ,12.2    ,9.4    ,1.8    ,4.6    
機能限定電話・子ども向け携帯電話,307    ,12.7    ,12.4    ,10.1    ,4.2    ,3.6    ,0.7    ,0.3    ,-,17.9    ,15.0    ,12.4    ,5.5    ,3.6    ,0.3    ,0.3    ,1.0    
ノートパソコン,846    ,3.5    ,5.3    ,6.3    ,5.6    ,7.1    ,6.6    ,7.0    ,7.4    ,2.8    ,2.8    ,7.1    ,5.9    ,7.7    ,7.8    ,7.0    ,10.0    
デスクトップパソコン,409    ,2.9    ,5.1    ,5.4    ,6.8    ,5.4    ,6.8    ,8.6    ,6.6    ,2.9    ,4.9    ,6.4    ,4.2    ,6.8    ,7.6    ,8.8    ,10.8    
タブレット,483    ,3.9    ,7.7    ,7.9    ,8.5    ,8.9    ,7.0    ,4.3    ,3.7    ,4.3    ,5.0    ,7.7    ,7.2    ,8.1    ,5.6    ,5.0    ,5.2    
学習用タブレット,202    ,5.9    ,5.9    ,5.9    ,10.9    ,8.9    ,4.0    ,2.5    ,-,4.0    ,11.4    ,7.4    ,12.9    ,10.9    ,5.9    ,3.5    ,-
子供向け娯楽用タブレット,9    ,22.2    ,22.2    ,-,11.1    ,-,-,-,-,11.1    ,-,11.1    ,-,22.2    ,-,-,-
携帯音楽プレイヤー,875    ,0.7    ,1.7    ,3.7    ,4.9    ,8.5    ,7.3    ,8.5    ,6.9    ,1.5    ,2.5    ,6.7    ,7.7    ,9.8    ,8.5    ,10.6    ,10.6    
携帯ゲーム機,1495    ,6.7    ,9.0    ,9.5    ,8.3    ,7.0    ,6.2    ,6.1    ,6.0    ,6.1    ,6.6    ,7.8    ,5.6    ,5.2    ,3.1    ,3.3    ,3.7    
据置型ゲーム機,891    ,6.8    ,9.0    ,10.4    ,9.1    ,7.6    ,7.0    ,6.7    ,5.8    ,5.2    ,5.2    ,6.5    ,4.4    ,5.6    ,3.8    ,3.8    ,3.0    
インターネット接続テレビ,114    ,3.5    ,4.4    ,7.0    ,8.8    ,9.6    ,3.5    ,5.3    ,3.5    ,3.5    ,3.5    ,6.1    ,3.5    ,7.9    ,9.6    ,13.2    ,7.0    
利用している（計）,3142    ,4.3    ,5.9    ,6.4    ,6.4    ,6.2    ,6.2    ,7.0    ,6.3    ,4.9    ,5.0    ,7.0    ,6.0    ,7.4    ,6.1    ,6.9    ,8.1    
いずれも利用していない,299    ,13.0    ,8.7    ,8.4    ,5.7    ,8.7    ,5.7    ,2.0    ,0.7    ,13.4    ,10.4    ,8.4    ,5.7    ,5.7    ,2.3    ,0.7    ,0.7    
Ａスマートフォン（計）,1678    ,1.4    ,2.5    ,2.3    ,4.1    ,5.1    ,8.3    ,12.2    ,11.0    ,1.5    ,1.9    ,4.4    ,5.1    ,6.9    ,7.6    ,11.9    ,13.8    
Ｂ携帯電話（計）,694    ,7.1    ,7.8    ,8.1    ,6.2    ,6.3    ,3.0    ,1.4    ,1.3    ,10.2    ,9.8    ,12.8    ,7.9    ,8.4    ,5.5    ,1.2    ,3.0    
