,,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,,
Ｆ４　あなたに、1人以上、兄または姉はいますか。（１つだけ）,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,
,総数,１人以上いる,いない,小学生（計）,１人以上いる,いない,中学生（計）,１人以上いる,いない,高校生（計）,１人以上いる,いない
＊＊【　総　数　】＊＊,3441    ,53.6    ,46.4    ,31.4    ,14.9    ,16.5    ,38.6    ,21.5    ,17.1    ,29.3    ,16.8    ,12.4    
  いない,569    ,-,100.0    ,100.0    ,-,100.0    ,-,-,-,-,-,-
中学生（計）,1329    ,55.7    ,44.3    ,-,-,-,100.0    ,55.7    ,44.3    ,-,-,-
  １人以上いる,740    ,100.0    ,-,-,-,-,100.0    ,100.0    ,-,-,-,-
  いない,589    ,-,100.0    ,-,-,-,100.0    ,-,100.0    ,-,-,-
高校生（計）,1007    ,57.5    ,42.5    ,-,-,-,-,-,-,100.0    ,57.5    ,42.5    
  １人以上いる,579    ,100.0    ,-,-,-,-,-,-,-,100.0    ,100.0    ,-
  いない,428    ,-,100.0    ,-,-,-,-,-,-,100.0    ,-,100.0    
〔地域〕,,,,,,,,,,,,
北海道・東北,430    ,54.4    ,45.6    ,30.5    ,14.4    ,16.0    ,36.7    ,20.2    ,16.5    ,31.6    ,19.1    ,12.6    
北関東,540    ,51.9    ,48.1    ,30.6    ,12.6    ,18.0    ,38.1    ,20.6    ,17.6    ,30.0    ,18.0    ,12.0    
南関東,485    ,56.3    ,43.7    ,33.6    ,17.1    ,16.5    ,38.4    ,21.4    ,16.9    ,27.4    ,17.3    ,10.1    
東海・北陸・信越,693    ,51.4    ,48.6    ,27.6    ,12.7    ,14.9    ,42.1    ,22.2    ,19.9    ,29.7    ,16.0    ,13.7    
近畿,554    ,53.8    ,46.2    ,35.6    ,17.3    ,18.2    ,37.9    ,22.7    ,15.2    ,26.4    ,13.5    ,12.8    
