,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
〔回答票１〕Ｑ１　あなたは、下記の機器を利用していますか。この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,スマートフォン,格安スマートフォン,機能限定・子供向けスマートフォン,契約切れスマートフォン,携帯電話,機能限定電話・子ども向け携帯電話,ノートパソコン,デスクトップパソコン,タブレット,学習用タブレット,子供向け娯楽用タブレット,携帯音楽プレイヤー,携帯ゲーム機,据置型ゲーム機,インターネット接続テレビ,利用している（計）,いずれも利用していない,Ａスマートフォン（計）,Ｂ携帯電話（計）,Ｃパソコン（計）,Ｄタブレット（計）,Ｅ携帯音楽プレイヤー,Ｆゲーム機（計）,Ｇインターネット接続テレビ,Ａ・Ｂスマートフォン・携帯電話（計）,Ａ・Ｂ機能限定や子供向け（計）,Ａ・Ｂ機能限定や子供向け以外（計）,回答計
  説明を受けたり学んだりした,1266    ,37.8    ,0.9    ,1.6    ,3.6    ,16.8    ,5.0    ,25.9    ,11.8    ,17.4    ,9.2    ,0.2    ,31.0    ,42.7    ,26.6    ,3.7    ,91.9    ,8.1    ,42.1    ,21.6    ,36.1    ,25.6    ,31.0    ,49.1    ,3.7    ,60.7    ,6.6    ,55.5    ,242.3    
  教えてもらったり学んだりしたことはない,49    ,28.6    ,4.1    ,4.1    ,4.1    ,14.3    ,4.1    ,18.4    ,6.1    ,12.2    ,4.1    ,-,30.6    ,36.7    ,16.3    ,4.1    ,83.7    ,16.3    ,38.8    ,18.4    ,22.4    ,14.3    ,30.6    ,42.9    ,4.1    ,55.1    ,8.2    ,46.9    ,204.1    
  わからない,14    ,28.6    ,-,-,7.1    ,14.3    ,7.1    ,21.4    ,14.3    ,7.1    ,7.1    ,-,28.6    ,57.1    ,42.9    ,14.3    ,78.6    ,21.4    ,35.7    ,21.4    ,35.7    ,14.3    ,28.6    ,64.3    ,14.3    ,50.0    ,7.1    ,42.9    ,271.4    
高校生（計）,1007    ,89.1    ,0.5    ,0.8    ,2.0    ,5.1    ,0.5    ,30.0    ,16.1    ,10.0    ,1.7    ,-,34.7    ,31.7    ,19.7    ,3.7    ,98.5    ,1.5    ,90.7    ,5.5    ,43.8    ,11.4    ,34.7    ,36.5    ,3.7    ,95.2    ,1.3    ,94.5    ,246.9    
  説明を受けたり学んだりした,955    ,89.5    ,0.5    ,0.7    ,2.0    ,4.7    ,0.4    ,30.7    ,16.3    ,10.2    ,1.8    ,-,35.6    ,32.0    ,20.2    ,3.8    ,98.6    ,1.4    ,91.1    ,5.0    ,44.7    ,11.6    ,35.6    ,37.1    ,3.8    ,95.3    ,1.2    ,94.6    ,249.8    
  教えてもらったり学んだりしたことはない,46    ,78.3    ,-,2.2    ,2.2    ,13.0    ,-,17.4    ,13.0    ,6.5    ,-,-,19.6    ,26.1    ,8.7    ,-,95.7    ,4.3    ,80.4    ,13.0    ,28.3    ,6.5    ,19.6    ,28.3    ,-,93.5    ,2.2    ,93.5    ,191.3    
  わからない,6    ,100.0    ,-,-,-,-,16.7    ,16.7    ,-,16.7    ,-,-,-,16.7    ,16.7    ,16.7    ,100.0    ,-,100.0    ,16.7    ,16.7    ,16.7    ,-,16.7    ,16.7    ,100.0    ,16.7    ,100.0    ,200.0    
〔家庭のルール・学校種別〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  ルールを決めている（計）,1651    ,53.0    ,0.8    ,2.2    ,3.6    ,12.0    ,8.1    ,34.1    ,16.1    ,19.5    ,8.7    ,0.4    ,31.0    ,48.8    ,31.5    ,4.4    ,100.0    ,-,57.8    ,19.9    ,48.3    ,27.3    ,31.0    ,54.6    ,4.4    ,74.0    ,10.3    ,66.0    ,274.1    
  特にルールを決めていない,937    ,65.0    ,0.6    ,0.9    ,3.8    ,10.2    ,4.6    ,27.9    ,14.0    ,13.8    ,4.1    ,-,30.8    ,42.5    ,23.9    ,3.7    ,100.0    ,-,68.7    ,14.7    ,39.6    ,17.2    ,30.8    ,47.2    ,3.7    ,81.2    ,5.4    ,76.6    ,245.8    
