,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＜全員に＞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
〔回答票１〕Ｑ１　あなたは、下記の機器を利用していますか。この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,スマートフォン,格安スマートフォン,機能限定・子供向けスマートフォン,契約切れスマートフォン,携帯電話,機能限定電話・子ども向け携帯電話,ノートパソコン,デスクトップパソコン,タブレット,学習用タブレット,子供向け娯楽用タブレット,携帯音楽プレイヤー,携帯ゲーム機,据置型ゲーム機,インターネット接続テレビ,利用している（計）,いずれも利用していない,Ａスマートフォン（計）,Ｂ携帯電話（計）,Ｃパソコン（計）,Ｄタブレット（計）,Ｅ携帯音楽プレイヤー,Ｆゲーム機（計）,Ｇインターネット接続テレビ,Ａ・Ｂスマートフォン・携帯電話（計）,Ａ・Ｂ機能限定や子供向け（計）,Ａ・Ｂ機能限定や子供向け以外（計）,回答計
ニュース,13    ,30.8    ,-,7.7    ,-,15.4    ,15.4    ,38.5    ,7.7    ,23.1    ,100.0    ,-,46.2    ,61.5    ,46.2    ,-,100.0    ,-,38.5    ,30.8    ,46.2    ,100.0    ,46.2    ,76.9    ,-,69.2    ,23.1    ,46.2    ,392.3    
情報検索,64    ,28.1    ,-,3.1    ,1.6    ,9.4    ,10.9    ,35.9    ,12.5    ,9.4    ,100.0    ,-,34.4    ,64.1    ,40.6    ,1.6    ,100.0    ,-,32.8    ,20.3    ,46.9    ,100.0    ,34.4    ,70.3    ,1.6    ,51.6    ,14.1    ,39.1    ,351.6    
地図・ナビゲーション,9    ,22.2    ,-,11.1    ,11.1    ,11.1    ,-,11.1    ,33.3    ,11.1    ,100.0    ,-,33.3    ,66.7    ,33.3    ,-,100.0    ,-,44.4    ,11.1    ,44.4    ,100.0    ,33.3    ,77.8    ,-,55.6    ,11.1    ,44.4    ,344.4    
音楽視聴,22    ,36.4    ,-,-,-,18.2    ,9.1    ,22.7    ,9.1    ,4.5    ,100.0    ,-,50.0    ,63.6    ,45.5    ,-,100.0    ,-,36.4    ,27.3    ,31.8    ,100.0    ,50.0    ,63.6    ,-,59.1    ,9.1    ,54.5    ,359.1    
動画視聴,47    ,25.5    ,-,2.1    ,-,10.6    ,8.5    ,25.5    ,8.5    ,6.4    ,100.0    ,2.1    ,38.3    ,66.0    ,34.0    ,-,100.0    ,-,27.7    ,19.1    ,34.0    ,100.0    ,38.3    ,70.2    ,-,44.7    ,10.6    ,36.2    ,327.7    
電子書籍,10    ,30.0    ,-,10.0    ,-,20.0    ,10.0    ,30.0    ,20.0    ,10.0    ,100.0    ,-,60.0    ,80.0    ,60.0    ,-,100.0    ,-,40.0    ,30.0    ,50.0    ,100.0    ,60.0    ,90.0    ,-,70.0    ,20.0    ,50.0    ,430.0    
ゲーム,19    ,21.1    ,-,5.3    ,-,5.3    ,10.5    ,26.3    ,10.5    ,15.8    ,100.0    ,-,26.3    ,78.9    ,52.6    ,-,100.0    ,-,26.3    ,15.8    ,36.8    ,100.0    ,26.3    ,84.2    ,-,36.8    ,15.8    ,26.3    ,352.6    
ショッピング・オークション,1    ,100.0    ,-,-,-,-,-,100.0    ,-,-,100.0    ,-,-,-,-,-,100.0    ,-,100.0    ,-,100.0    ,100.0    ,-,-,-,100.0    ,-,100.0    ,300.0    
その他,49    ,34.7    ,-,4.1    ,6.1    ,14.3    ,14.3    ,20.4    ,20.4    ,16.3    ,100.0    ,2.0    ,38.8    ,87.8    ,42.9    ,4.1    ,100.0    ,-,40.8    ,28.6    ,38.8    ,100.0    ,38.8    ,89.8    ,4.1    ,63.3    ,18.4    ,49.0    ,406.1    
わからない,4    ,25.0    ,-,-,-,-,-,25.0    ,50.0    ,25.0    ,100.0    ,-,25.0    ,100.0    ,50.0    ,-,100.0    ,-,25.0    ,-,75.0    ,100.0    ,25.0    ,100.0    ,-,25.0    ,-,25.0    ,400.0    
Ｑ３〔ネット利用項目（Ｄ３娯楽用タブレット／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,1    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,100.0    ,100.0    ,-,100.0    ,-,-,-,-,100.0    ,-,100.0    ,-,-,-,-,300.0    
ニュース,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
情報検索,3    ,33.3    ,-,-,-,-,33.3    ,33.3    ,-,-,33.3    ,100.0    ,33.3    ,100.0    ,-,-,100.0    ,-,33.3    ,33.3    ,33.3    ,100.0    ,33.3    ,100.0    ,-,66.7    ,33.3    ,33.3    ,366.7    
地図・ナビゲーション,1    ,-,-,-,-,-,100.0    ,-,-,-,-,100.0    ,-,100.0    ,-,-,100.0    ,-,-,100.0    ,-,100.0    ,-,100.0    ,-,100.0    ,100.0    ,-,300.0    
音楽視聴,1    ,-,-,-,-,-,-,-,-,-,-,100.0    ,-,100.0    ,-,-,100.0    ,-,-,-,-,100.0    ,-,100.0    ,-,-,-,-,200.0    
動画視聴,4    ,50.0    ,-,-,-,-,25.0    ,75.0    ,-,25.0    ,25.0    ,100.0    ,50.0    ,100.0    ,25.0    ,-,100.0    ,-,50.0    ,25.0    ,75.0    ,100.0    ,50.0    ,100.0    ,-,75.0    ,25.0    ,50.0    ,475.0    
電子書籍,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ゲーム,1    ,100.0    ,-,-,-,-,-,100.0    ,-,100.0    ,-,100.0    ,-,100.0    ,100.0    ,-,100.0    ,-,100.0    ,-,100.0    ,100.0    ,-,100.0    ,-,100.0    ,-,100.0    ,600.0    
ショッピング・オークション,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ｑ３〔ネット利用項目（Ｅ１携帯音楽プレイヤー／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,104    ,23.1    ,-,1.0    ,1.0    ,24.0    ,5.8    ,31.7    ,17.3    ,16.3    ,7.7    ,1.0    ,100.0    ,45.2    ,35.6    ,6.7    ,100.0    ,-,25.0    ,29.8    ,44.2    ,23.1    ,100.0    ,51.9    ,6.7    ,53.8    ,6.7    ,47.1    ,316.3    
ニュース,38    ,31.6    ,-,-,-,23.7    ,7.9    ,31.6    ,21.1    ,13.2    ,15.8    ,2.6    ,100.0    ,44.7    ,44.7    ,13.2    ,100.0    ,-,31.6    ,31.6    ,47.4    ,28.9    ,100.0    ,52.6    ,13.2    ,63.2    ,7.9    ,55.3    ,350.0    
情報検索,94    ,25.5    ,-,1.1    ,1.1    ,22.3    ,5.3    ,34.0    ,19.1    ,21.3    ,8.5    ,1.1    ,100.0    ,46.8    ,39.4    ,5.3    ,100.0    ,-,27.7    ,27.7    ,50.0    ,28.7    ,100.0    ,55.3    ,5.3    ,53.2    ,6.4    ,47.9    ,330.9    
地図・ナビゲーション,32    ,21.9    ,-,-,-,28.1    ,6.3    ,34.4    ,25.0    ,18.8    ,9.4    ,-,100.0    ,50.0    ,34.4    ,15.6    ,100.0    ,-,21.9    ,34.4    ,50.0    ,28.1    ,100.0    ,56.3    ,15.6    ,56.3    ,6.3    ,50.0    ,343.8    
音楽視聴,281    ,45.6    ,0.4    ,0.7    ,2.5    ,15.3    ,5.3    ,35.9    ,15.7    ,16.4    ,7.8    ,0.7    ,100.0    ,47.7    ,33.8    ,6.0    ,100.0    ,-,47.0    ,20.6    ,48.4    ,23.1    ,100.0    ,55.5    ,6.0    ,66.2    ,6.0    ,60.9    ,333.8    
動画視聴,144    ,33.3    ,-,0.7    ,2.1    ,16.7    ,6.9    ,32.6    ,15.3    ,15.3    ,9.0    ,0.7    ,100.0    ,49.3    ,36.8    ,6.3    ,100.0    ,-,34.7    ,23.6    ,44.4    ,22.2    ,100.0    ,56.9    ,6.3    ,56.9    ,7.6    ,50.0    ,325.0    
電子書籍,20    ,25.0    ,-,-,-,40.0    ,-,25.0    ,10.0    ,15.0    ,-,-,100.0    ,40.0    ,30.0    ,20.0    ,100.0    ,-,25.0    ,40.0    ,35.0    ,15.0    ,100.0    ,45.0    ,20.0    ,65.0    ,-,65.0    ,305.0    
ゲーム,128    ,22.7    ,-,0.8    ,1.6    ,20.3    ,8.6    ,29.7    ,12.5    ,16.4    ,9.4    ,0.8    ,100.0    ,49.2    ,38.3    ,7.0    ,100.0    ,-,24.2    ,28.9    ,38.3    ,24.2    ,100.0    ,57.0    ,7.0    ,52.3    ,9.4    ,43.8    ,317.2    
ショッピング・オークション,10    ,20.0    ,-,-,-,10.0    ,20.0    ,30.0    ,10.0    ,30.0    ,-,-,100.0    ,40.0    ,30.0    ,10.0    ,100.0    ,-,20.0    ,30.0    ,40.0    ,30.0    ,100.0    ,40.0    ,10.0    ,50.0    ,20.0    ,30.0    ,300.0    
その他,7    ,42.9    ,-,-,-,42.9    ,14.3    ,28.6    ,14.3    ,28.6    ,14.3    ,14.3    ,100.0    ,28.6    ,14.3    ,-,100.0    ,-,42.9    ,57.1    ,42.9    ,42.9    ,100.0    ,28.6    ,-,100.0    ,14.3    ,85.7    ,342.9    
わからない,5    ,60.0    ,-,-,-,-,20.0    ,60.0    ,40.0    ,20.0    ,20.0    ,-,100.0    ,60.0    ,40.0    ,-,100.0    ,-,60.0    ,20.0    ,80.0    ,20.0    ,100.0    ,60.0    ,-,60.0    ,20.0    ,60.0    ,420.0    
Ｑ３〔ネット利用項目（Ｆ１携帯ゲーム／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,89    ,31.5    ,-,-,4.5    ,14.6    ,12.4    ,30.3    ,11.2    ,19.1    ,12.4    ,1.1    ,30.3    ,100.0    ,51.7    ,5.6    ,100.0    ,-,34.8    ,27.0    ,40.4    ,30.3    ,30.3    ,100.0    ,5.6    ,53.9    ,12.4    ,44.9    ,324.7    
ニュース,13    ,38.5    ,-,-,7.7    ,15.4    ,7.7    ,38.5    ,15.4    ,15.4    ,23.1    ,-,23.1    ,100.0    ,53.8    ,7.7    ,100.0    ,-,38.5    ,23.1    ,53.8    ,30.8    ,23.1    ,100.0    ,7.7    ,46.2    ,7.7    ,46.2    ,346.2    
情報検索,87    ,29.9    ,-,-,4.6    ,12.6    ,11.5    ,42.5    ,10.3    ,24.1    ,17.2    ,-,39.1    ,100.0    ,56.3    ,8.0    ,100.0    ,-,33.3    ,24.1    ,51.7    ,39.1    ,39.1    ,100.0    ,8.0    ,50.6    ,11.5    ,42.5    ,356.3    
地図・ナビゲーション,6    ,33.3    ,-,-,-,33.3    ,-,16.7    ,16.7    ,50.0    ,50.0    ,-,50.0    ,100.0    ,50.0    ,16.7    ,100.0    ,-,33.3    ,33.3    ,33.3    ,66.7    ,50.0    ,100.0    ,16.7    ,66.7    ,-,66.7    ,416.7    
音楽視聴,91    ,34.1    ,-,1.1    ,2.2    ,19.8    ,7.7    ,35.2    ,15.4    ,17.6    ,18.7    ,1.1    ,29.7    ,100.0    ,50.5    ,5.5    ,100.0    ,-,37.4    ,27.5    ,49.5    ,34.1    ,29.7    ,100.0    ,5.5    ,58.2    ,8.8    ,52.7    ,338.5    
動画視聴,147    ,30.6    ,-,0.7    ,5.4    ,17.7    ,8.8    ,35.4    ,18.4    ,15.0    ,13.6    ,-,27.9    ,100.0    ,49.0    ,5.4    ,100.0    ,-,34.7    ,26.5    ,50.3    ,25.9    ,27.9    ,100.0    ,5.4    ,55.1    ,9.5    ,48.3    ,327.9    
電子書籍,7    ,28.6    ,-,-,-,28.6    ,14.3    ,57.1    ,-,28.6    ,28.6    ,-,71.4    ,100.0    ,57.1    ,-,100.0    ,-,28.6    ,42.9    ,57.1    ,42.9    ,71.4    ,100.0    ,-,71.4    ,14.3    ,57.1    ,414.3    
ゲーム,555    ,36.9    ,0.2    ,1.4    ,5.0    ,14.4    ,8.8    ,33.7    ,16.8    ,16.9    ,11.0    ,0.2    ,27.9    ,100.0    ,51.9    ,6.8    ,100.0    ,-,41.4    ,23.2    ,48.3    ,26.1    ,27.9    ,100.0    ,6.8    ,59.6    ,10.3    ,51.7    ,332.1    
ショッピング・オークション,19    ,36.8    ,-,-,5.3    ,21.1    ,5.3    ,26.3    ,21.1    ,15.8    ,10.5    ,-,21.1    ,100.0    ,73.7    ,21.1    ,100.0    ,-,36.8    ,26.3    ,42.1    ,21.1    ,21.1    ,100.0    ,21.1    ,52.6    ,5.3    ,52.6    ,357.9    
その他,12    ,41.7    ,-,-,-,16.7    ,16.7    ,41.7    ,25.0    ,25.0    ,25.0    ,-,8.3    ,100.0    ,58.3    ,8.3    ,100.0    ,-,41.7    ,33.3    ,66.7    ,41.7    ,8.3    ,100.0    ,8.3    ,58.3    ,16.7    ,58.3    ,366.7    
わからない,13    ,38.5    ,-,7.7    ,-,-,7.7    ,30.8    ,23.1    ,23.1    ,23.1    ,-,23.1    ,100.0    ,30.8    ,-,100.0    ,-,46.2    ,7.7    ,53.8    ,46.2    ,23.1    ,100.0    ,-,53.8    ,15.4    ,38.5    ,307.7    
Ｑ３〔ネット利用項目（Ｆ２据置型ゲーム／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,21    ,52.4    ,-,-,-,4.8    ,14.3    ,28.6    ,19.0    ,23.8    ,9.5    ,4.8    ,38.1    ,81.0    ,100.0    ,19.0    ,100.0    ,-,52.4    ,19.0    ,47.6    ,38.1    ,38.1    ,100.0    ,19.0    ,66.7    ,14.3    ,57.1    ,395.2    
ニュース,3    ,33.3    ,-,-,-,-,-,33.3    ,66.7    ,-,33.3    ,-,66.7    ,66.7    ,100.0    ,33.3    ,100.0    ,-,33.3    ,-,100.0    ,33.3    ,66.7    ,100.0    ,33.3    ,33.3    ,-,33.3    ,433.3    
情報検索,18    ,44.4    ,-,-,11.1    ,5.6    ,16.7    ,38.9    ,22.2    ,27.8    ,11.1    ,-,55.6    ,66.7    ,100.0    ,11.1    ,100.0    ,-,50.0    ,22.2    ,55.6    ,38.9    ,55.6    ,100.0    ,11.1    ,61.1    ,16.7    ,50.0    ,411.1    
地図・ナビゲーション,1    ,-,-,-,-,100.0    ,-,-,100.0    ,-,-,-,100.0    ,100.0    ,100.0    ,100.0    ,100.0    ,-,-,100.0    ,100.0    ,-,100.0    ,100.0    ,100.0    ,100.0    ,-,100.0    ,600.0    
音楽視聴,20    ,70.0    ,-,-,15.0    ,30.0    ,10.0    ,30.0    ,30.0    ,10.0    ,10.0    ,-,55.0    ,85.0    ,100.0    ,15.0    ,100.0    ,-,75.0    ,40.0    ,60.0    ,20.0    ,55.0    ,100.0    ,15.0    ,85.0    ,10.0    ,85.0    ,460.0    
動画視聴,46    ,60.9    ,-,2.2    ,8.7    ,15.2    ,2.2    ,37.0    ,26.1    ,21.7    ,13.0    ,-,43.5    ,73.9    ,100.0    ,10.9    ,100.0    ,-,65.2    ,17.4    ,58.7    ,34.8    ,43.5    ,100.0    ,10.9    ,73.9    ,4.3    ,71.7    ,415.2    
電子書籍,1    ,-,-,-,-,-,-,-,-,-,-,-,-,100.0    ,100.0    ,-,100.0    ,-,-,-,-,-,-,100.0    ,-,-,-,-,200.0    
ゲーム,231    ,49.8    ,0.4    ,1.3    ,3.5    ,10.8    ,10.0    ,37.2    ,24.2    ,21.6    ,10.4    ,-,34.2    ,79.2    ,100.0    ,10.8    ,100.0    ,-,52.4    ,20.8    ,57.6    ,30.7    ,34.2    ,100.0    ,10.8    ,65.4    ,11.3    ,58.9    ,393.5    
ショッピング・オークション,13    ,53.8    ,-,-,7.7    ,15.4    ,7.7    ,38.5    ,7.7    ,15.4    ,-,-,30.8    ,92.3    ,100.0    ,15.4    ,100.0    ,-,53.8    ,23.1    ,46.2    ,15.4    ,30.8    ,100.0    ,15.4    ,61.5    ,7.7    ,61.5    ,384.6    
その他,4    ,50.0    ,-,-,-,25.0    ,-,25.0    ,25.0    ,25.0    ,25.0    ,-,25.0    ,100.0    ,100.0    ,25.0    ,100.0    ,-,50.0    ,25.0    ,50.0    ,50.0    ,25.0    ,100.0    ,25.0    ,75.0    ,-,75.0    ,425.0    
わからない,11    ,54.5    ,-,-,9.1    ,18.2    ,-,27.3    ,-,36.4    ,18.2    ,-,27.3    ,81.8    ,100.0    ,-,100.0    ,-,54.5    ,18.2    ,27.3    ,54.5    ,27.3    ,100.0    ,-,63.6    ,-,63.6    ,372.7    
Ｑ３〔ネット利用項目（Ｇ１ネットテレビ／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,1    ,-,-,-,-,100.0    ,-,-,100.0    ,-,-,-,100.0    ,100.0    ,100.0    ,100.0    ,100.0    ,-,-,100.0    ,100.0    ,-,100.0    ,100.0    ,100.0    ,100.0    ,-,100.0    ,600.0    
ニュース,9    ,66.7    ,-,-,11.1    ,11.1    ,-,33.3    ,44.4    ,11.1    ,-,-,55.6    ,44.4    ,33.3    ,100.0    ,100.0    ,-,66.7    ,11.1    ,77.8    ,11.1    ,55.6    ,66.7    ,100.0    ,77.8    ,-,77.8    ,411.1    
情報検索,11    ,72.7    ,-,-,18.2    ,18.2    ,-,-,72.7    ,27.3    ,9.1    ,-,36.4    ,90.9    ,45.5    ,100.0    ,100.0    ,-,72.7    ,18.2    ,72.7    ,36.4    ,36.4    ,90.9    ,100.0    ,90.9    ,-,90.9    ,490.9    
地図・ナビゲーション,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音楽視聴,10    ,60.0    ,-,-,10.0    ,10.0    ,-,50.0    ,50.0    ,20.0    ,-,-,70.0    ,60.0    ,40.0    ,100.0    ,100.0    ,-,60.0    ,10.0    ,80.0    ,20.0    ,70.0    ,70.0    ,100.0    ,70.0    ,-,70.0    ,470.0    
動画視聴,30    ,60.0    ,-,-,3.3    ,16.7    ,-,33.3    ,50.0    ,26.7    ,3.3    ,-,43.3    ,56.7    ,40.0    ,100.0    ,100.0    ,-,60.0    ,16.7    ,73.3    ,26.7    ,43.3    ,73.3    ,100.0    ,76.7    ,-,76.7    ,433.3    
電子書籍,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ゲーム,6    ,16.7    ,-,-,33.3    ,33.3    ,-,50.0    ,16.7    ,16.7    ,-,-,33.3    ,83.3    ,50.0    ,100.0    ,100.0    ,-,33.3    ,33.3    ,66.7    ,16.7    ,33.3    ,100.0    ,100.0    ,50.0    ,-,50.0    ,433.3    
ショッピング・オークション,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他,6    ,33.3    ,-,-,-,50.0    ,-,50.0    ,50.0    ,16.7    ,-,-,66.7    ,66.7    ,50.0    ,100.0    ,100.0    ,-,33.3    ,50.0    ,83.3    ,16.7    ,66.7    ,66.7    ,100.0    ,83.3    ,-,83.3    ,483.3    
わからない,5    ,60.0    ,20.0    ,20.0    ,20.0    ,-,40.0    ,40.0    ,20.0    ,20.0    ,-,-,40.0    ,40.0    ,40.0    ,100.0    ,100.0    ,-,80.0    ,40.0    ,60.0    ,20.0    ,40.0    ,40.0    ,100.0    ,80.0    ,60.0    ,60.0    ,460.0    
Ｑ４〔ネット利用時間（Ａ１～Ｇ１の合計時間〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
使っていない,69    ,7.2    ,-,2.9    ,-,18.8    ,17.4    ,37.7    ,20.3    ,20.3    ,5.8    ,-,23.2    ,55.1    ,34.8    ,-,100.0    ,-,10.1    ,36.2    ,56.5    ,24.6    ,23.2    ,59.4    ,-,46.4    ,20.3    ,26.1    ,243.5    
３０分未満,184    ,28.3    ,1.1    ,3.3    ,2.7    ,17.9    ,19.6    ,39.1    ,12.0    ,16.8    ,7.6    ,0.5    ,21.2    ,49.5    ,32.1    ,2.2    ,100.0    ,-,35.3    ,37.0    ,50.5    ,24.5    ,21.2    ,52.7    ,2.2    ,67.9    ,22.8    ,47.8    ,253.8    
３０分以上１時間未満,324    ,39.8    ,0.3    ,1.9    ,3.7    ,17.0    ,12.0    ,27.5    ,14.5    ,17.0    ,12.3    ,0.3    ,27.8    ,42.6    ,22.2    ,3.7    ,100.0    ,-,44.4    ,28.7    ,41.0    ,29.0    ,27.8    ,49.7    ,3.7    ,69.1    ,13.9    ,57.7    ,242.6    
１時間以上２時間未満,647    ,51.8    ,0.6    ,2.5    ,3.2    ,9.7    ,7.0    ,29.1    ,13.6    ,18.4    ,8.3    ,0.5    ,28.1    ,46.2    ,29.2    ,3.1    ,100.0    ,-,56.7    ,16.7    ,41.0    ,26.6    ,28.1    ,51.2    ,3.1    ,70.2    ,9.4    ,62.9    ,251.3    
２時間以上３時間未満,486    ,64.6    ,0.8    ,1.0    ,4.7    ,9.9    ,3.3    ,30.0    ,12.6    ,16.3    ,5.1    ,0.2    ,29.6    ,46.5    ,28.6    ,2.9    ,100.0    ,-,69.1    ,13.2    ,40.9    ,20.8    ,29.6    ,52.7    ,2.9    ,78.6    ,4.3    ,75.5    ,256.2    
３時間以上４時間未満,343    ,72.3    ,-,0.9    ,2.9    ,9.3    ,2.6    ,32.7    ,14.9    ,19.0    ,6.4    ,-,31.8    ,45.8    ,27.1    ,3.5    ,100.0    ,-,75.2    ,11.7    ,45.5    ,23.3    ,31.8    ,49.9    ,3.5    ,84.3    ,3.5    ,82.2    ,269.1    
４時間以上５時間未満,171    ,73.7    ,0.6    ,0.6    ,2.3    ,7.6    ,3.5    ,35.1    ,19.9    ,21.1    ,2.9    ,-,41.5    ,40.9    ,28.7    ,7.6    ,100.0    ,-,75.4    ,10.5    ,52.0    ,22.8    ,41.5    ,48.0    ,7.6    ,84.8    ,4.1    ,82.5    ,286.0    
５時間以上６時間未満,129    ,87.6    ,0.8    ,-,5.4    ,9.3    ,0.8    ,35.7    ,18.6    ,13.2    ,3.1    ,0.8    ,38.8    ,44.2    ,28.7    ,13.2    ,100.0    ,-,89.9    ,10.1    ,51.2    ,15.5    ,38.8    ,50.4    ,13.2    ,97.7    ,0.8    ,96.9    ,300.0    
６時間以上９時間未満,124    ,83.1    ,2.4    ,0.8    ,4.8    ,6.5    ,1.6    ,36.3    ,26.6    ,21.8    ,6.5    ,-,42.7    ,50.0    ,37.9    ,8.9    ,100.0    ,-,87.1    ,8.1    ,57.3    ,26.6    ,42.7    ,58.9    ,8.9    ,92.7    ,2.4    ,91.1    ,329.8    
９時間以上１２時間未満,24    ,75.0    ,4.2    ,4.2    ,8.3    ,25.0    ,-,54.2    ,16.7    ,8.3    ,8.3    ,-,45.8    ,66.7    ,37.5    ,8.3    ,100.0    ,-,83.3    ,25.0    ,66.7    ,12.5    ,45.8    ,66.7    ,8.3    ,95.8    ,4.2    ,95.8    ,362.5    
１２時間以上１５時間未満,17    ,94.1    ,-,-,5.9    ,-,-,29.4    ,41.2    ,17.6    ,-,-,52.9    ,58.8    ,35.3    ,5.9    ,100.0    ,-,94.1    ,-,52.9    ,17.6    ,52.9    ,64.7    ,5.9    ,94.1    ,-,94.1    ,341.2    
１５時間以上１８時間未満,4    ,100.0    ,-,-,25.0    ,-,-,-,50.0    ,-,-,-,25.0    ,25.0    ,-,25.0    ,100.0    ,-,100.0    ,-,50.0    ,-,25.0    ,25.0    ,25.0    ,100.0    ,-,100.0    ,250.0    
１８時間以上２１時間未満,4    ,75.0    ,-,-,25.0    ,-,-,25.0    ,75.0    ,-,-,-,75.0    ,25.0    ,-,-,100.0    ,-,100.0    ,-,75.0    ,-,75.0    ,25.0    ,-,100.0    ,-,100.0    ,300.0    
２１時間以上２４時間未満,3    ,100.0    ,-,-,-,-,-,66.7    ,-,33.3    ,-,-,100.0    ,66.7    ,66.7    ,33.3    ,100.0    ,-,100.0    ,-,66.7    ,33.3    ,100.0    ,66.7    ,33.3    ,100.0    ,-,100.0    ,466.7    
２４時間以上,1    ,100.0    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0    ,-,100.0    ,-,-,-,-,-,-,100.0    ,-,100.0    ,100.0    
わからない,85    ,27.1    ,3.5    ,5.9    ,4.7    ,12.9    ,15.3    ,24.7    ,11.8    ,10.6    ,4.7    ,-,23.5    ,54.1    ,25.9    ,1.2    ,100.0    ,-,38.8    ,28.2    ,36.5    ,12.9    ,23.5    ,56.5    ,1.2    ,64.7    ,21.2    ,45.9    ,225.9    
２時間以上（計）,1306    ,72.7    ,0.8    ,0.8    ,4.2    ,9.1    ,2.6    ,32.9    ,16.8    ,17.6    ,5.1    ,0.2    ,34.8    ,46.1    ,29.2    ,5.5    ,100.0    ,-,76.2    ,11.6    ,46.9    ,21.4    ,34.8    ,51.9    ,5.5    ,84.8    ,3.4    ,82.6    ,278.3    
５時間以上（計）,306    ,85.3    ,1.6    ,0.7    ,5.9    ,8.5    ,1.0    ,36.6    ,23.9    ,16.3    ,4.6    ,0.3    ,42.5    ,48.7    ,33.0    ,10.8    ,100.0    ,-,88.9    ,9.5    ,55.2    ,19.6    ,42.5    ,55.2    ,10.8    ,95.4    ,1.6    ,94.4    ,319.6    
６時間以上（計）,177    ,83.6    ,2.3    ,1.1    ,6.2    ,7.9    ,1.1    ,37.3    ,27.7    ,18.6    ,5.6    ,-,45.2    ,52.0    ,36.2    ,9.0    ,100.0    ,-,88.1    ,9.0    ,58.2    ,22.6    ,45.2    ,58.8    ,9.0    ,93.8    ,2.3    ,92.7    ,333.9    
１２時間以上（計）,29    ,93.1    ,-,-,10.3    ,-,-,27.6    ,41.4    ,13.8    ,-,-,55.2    ,48.3    ,27.6    ,10.3    ,100.0    ,-,96.6    ,-,55.2    ,13.8    ,55.2    ,51.7    ,10.3    ,96.6    ,-,96.6    ,327.6    
１８時間以上（計）,8    ,87.5    ,-,-,12.5    ,-,-,37.5    ,37.5    ,12.5    ,-,-,75.0    ,37.5    ,25.0    ,12.5    ,100.0    ,-,100.0    ,-,62.5    ,12.5    ,75.0    ,37.5    ,12.5    ,100.0    ,-,100.0    ,337.5    
Ｑ４〔ネット利用時間（Ａ１スマホ）〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
使っていない,12    ,100.0    ,8.3    ,-,16.7    ,16.7    ,25.0    ,58.3    ,8.3    ,33.3    ,16.7    ,-,41.7    ,50.0    ,41.7    ,16.7    ,100.0    ,-,100.0    ,41.7    ,66.7    ,41.7    ,41.7    ,50.0    ,16.7    ,100.0    ,25.0    ,100.0    ,433.3    
３０分未満,78    ,100.0    ,-,1.3    ,1.3    ,9.0    ,6.4    ,28.2    ,11.5    ,21.8    ,5.1    ,-,26.9    ,48.7    ,35.9    ,5.1    ,100.0    ,-,100.0    ,14.1    ,39.7    ,25.6    ,26.9    ,56.4    ,5.1    ,100.0    ,7.7    ,100.0    ,301.3    
３０分以上１時間未満,164    ,100.0    ,-,-,1.8    ,3.0    ,3.7    ,26.2    ,12.8    ,7.9    ,4.3    ,-,28.0    ,31.1    ,22.0    ,2.4    ,100.0    ,-,100.0    ,6.7    ,37.2    ,12.2    ,28.0    ,38.4    ,2.4    ,100.0    ,3.7    ,100.0    ,243.3    
