,,,
＜全員に＞,,,
Ｆ１　あなたの性別を教えて下さい。（１つだけ）,,,
,,,
,,,
,青少年分析軸,,
,総数,男性,女性
その他,1    ,-,100.0    
わからない,-,-,-
Ｑ３〔ネット利用項目（Ａ３子供スマホ／ＭＡ）〕,,,
コミニュケーション,17    ,29.4    ,70.6    
ニュース,2    ,50.0    ,50.0    
情報検索,12    ,16.7    ,83.3    
地図・ナビゲーション,6    ,33.3    ,66.7    
音楽視聴,9    ,33.3    ,66.7    
動画視聴,10    ,30.0    ,70.0    
電子書籍,1    ,-,100.0    
ゲーム,12    ,8.3    ,91.7    
ショッピング・オークション,-,-,-
その他,3    ,33.3    ,66.7    
わからない,3    ,66.7    ,33.3    
Ｑ３〔ネット利用項目（Ａ４契約切れスマホ／ＭＡ）〕,,,
コミニュケーション,31    ,41.9    ,58.1    
ニュース,11    ,45.5    ,54.5    
情報検索,33    ,51.5    ,48.5    
地図・ナビゲーション,7    ,42.9    ,57.1    
音楽視聴,33    ,42.4    ,57.6    
動画視聴,43    ,51.2    ,48.8    
電子書籍,3    ,33.3    ,66.7    
ゲーム,50    ,56.0    ,44.0    
ショッピング・オークション,4    ,75.0    ,25.0    
その他,1    ,-,100.0    
わからない,1    ,100.0    ,-
Ｑ３〔ネット利用項目（Ｂ１携帯電話／ＭＡ）〕,,,
コミニュケーション,109    ,30.3    ,69.7    
ニュース,11    ,45.5    ,54.5    
情報検索,20    ,25.0    ,75.0    
地図・ナビゲーション,7    ,28.6    ,71.4    
音楽視聴,16    ,31.3    ,68.8    
動画視聴,9    ,44.4    ,55.6    
電子書籍,3    ,-,100.0    
ゲーム,14    ,50.0    ,50.0    
ショッピング・オークション,2    ,50.0    ,50.0    
その他,5    ,-,100.0    
わからない,2    ,50.0    ,50.0    
Ｑ３〔ネット利用項目（Ｂ２子ども向け携帯等／ＭＡ）〕,,,
コミニュケーション,19    ,42.1    ,57.9    
ニュース,1    ,100.0    ,-
情報検索,5    ,60.0    ,40.0    
地図・ナビゲーション,-,-,-
音楽視聴,3    ,66.7    ,33.3    
動画視聴,2    ,50.0    ,50.0    
電子書籍,1    ,100.0    ,-
ゲーム,4    ,75.0    ,25.0    
ショッピング・オークション,-,-,-
その他,1    ,100.0    ,-
わからない,3    ,66.7    ,33.3    
Ｑ３〔ネット利用項目（Ｃ１ノートＰＣ／ＭＡ）〕,,,
コミニュケーション,176    ,46.6    ,53.4    
ニュース,163    ,58.3    ,41.7    
情報検索,529    ,48.8    ,51.2    
地図・ナビゲーション,84    ,44.0    ,56.0    
音楽視聴,291    ,41.6    ,58.4    
動画視聴,482    ,49.0    ,51.0    
電子書籍,30    ,56.7    ,43.3    
ゲーム,224    ,58.0    ,42.0    
ショッピング・オークション,80    ,40.0    ,60.0    
その他,51    ,49.0    ,51.0    
わからない,10    ,10.0    ,90.0    
Ｑ３〔ネット利用項目（Ｃ２デスクトップＰＣ／ＭＡ）〕,,,
コミニュケーション,67    ,49.3    ,50.7    
ニュース,66    ,56.1    ,43.9    
情報検索,254    ,45.3    ,54.7    
地図・ナビゲーション,39    ,51.3    ,48.7    
音楽視聴,130    ,38.5    ,61.5    
動画視聴,219    ,47.0    ,53.0    
電子書籍,15    ,40.0    ,60.0    
ゲーム,117    ,52.1    ,47.9    
ショッピング・オークション,44    ,50.0    ,50.0    
その他,28    ,39.3    ,60.7    
わからない,10    ,70.0    ,30.0    
Ｑ３〔ネット利用項目（Ｄ１タブレット／ＭＡ）〕,,,
コミニュケーション,123    ,48.8    ,51.2    
ニュース,71    ,59.2    ,40.8    
情報検索,247    ,50.2    ,49.8    
地図・ナビゲーション,62    ,59.7    ,40.3    
音楽視聴,177    ,48.6    ,51.4    
動画視聴,278    ,52.9    ,47.1    
電子書籍,37    ,48.6    ,51.4    
ゲーム,251    ,61.8    ,38.2    
ショッピング・オークション,22    ,54.5    ,45.5    
その他,15    ,20.0    ,80.0    
わからない,6    ,66.7    ,33.3    
Ｑ３〔ネット利用項目（Ｄ２学習用タブレット／ＭＡ）〕,,,
コミニュケーション,23    ,39.1    ,60.9    
ニュース,13    ,46.2    ,53.8    
情報検索,64    ,48.4    ,51.6    
地図・ナビゲーション,9    ,55.6    ,44.4    
音楽視聴,22    ,22.7    ,77.3    
動画視聴,47    ,46.8    ,53.2    
電子書籍,10    ,60.0    ,40.0    
ゲーム,19    ,52.6    ,47.4    
ショッピング・オークション,1    ,-,100.0    
その他,49    ,51.0    ,49.0    
わからない,4    ,25.0    ,75.0    
Ｑ３〔ネット利用項目（Ｄ３娯楽用タブレット／ＭＡ）〕,,,
コミニュケーション,1    ,100.0    ,-
ニュース,-,-,-
情報検索,3    ,66.7    ,33.3    
地図・ナビゲーション,1    ,100.0    ,-
音楽視聴,1    ,100.0    ,-
動画視聴,4    ,75.0    ,25.0    
電子書籍,-,-,-
ゲーム,1    ,100.0    ,-
ショッピング・オークション,-,-,-
その他,-,-,-
