都道府県,01総数,01スマートフォン,01格安スマートフォン,01機能限定・子供向けスマートフォン,01契約切れスマートフォン,01携帯電話,01機能限定電話・子ども向け携帯電話,01ノートパソコン,01デスクトップパソコン,01タブレット,01学習用タブレット,01子供向け娯楽用タブレット,01携帯音楽プレイヤー,01携帯ゲーム機,01据置型ゲーム機,01インターネット接続テレビ,01利用している（計）,01いずれも利用していない,01Ａスマートフォン（計）,01Ｂ携帯電話（計）,01Ｃパソコン（計）,01Ｄタブレット（計）,01Ｅ携帯音楽プレイヤー,01Ｆゲーム機（計）,01Ｇインターネット接続テレビ,01Ａ・Ｂスマートフォン・携帯電話（計）,01Ａ・Ｂ機能限定や子供向け（計）,01Ａ・Ｂ機能限定や子供向け以外（計）,01回答計,01総数_1,01スマートフォン_2,01格安スマートフォン_3,01機能限定・子供向けスマートフォン_4,01契約切れスマートフォン_5,01携帯電話_6,01機能限定電話・子ども向け携帯電話_7,01ノートパソコン_8,01デスクトップパソコン_9,01タブレット_10,01学習用タブレット_11,01子供向け娯楽用タブレット_12,01携帯音楽プレイヤー_13,01携帯ゲーム機_14,01据置型ゲーム機_15,01インターネット接続テレビ_16,01利用している（計）_17,01いずれも利用していない_18,01Ａスマートフォン（計）_19,01Ｂ携帯電話（計）_20,01Ｃパソコン（計）_21,01Ｄタブレット（計）_22,01Ｅ携帯音楽プレイヤー_23,01Ｆゲーム機（計）_24,01Ｇインターネット接続テレビ_25,01Ａ・Ｂスマートフォン・携帯電話（計）_26,01Ａ・Ｂ機能限定や子供向け（計）_27,01Ａ・Ｂ機能限定や子供向け以外（計）_28,01回答計_29,02該当数,02スマートフォン,02格安スマートフォン,02機能限定・子供向けスマートフォン,02契約切れスマートフォン,02携帯電話,02機能限定電話・子ども向け携帯電話,02ノートパソコン,02デスクトップパソコン,02タブレット,02学習用タブレット,02子供向け娯楽用タブレット,02携帯音楽プレイヤー,02携帯ゲーム機,02据置型ゲーム機,02インターネット接続テレビ,02インターネット利用（計）,02インターネット非利用,02モバイル機器（計）,02据置型機器（計）,02Ａスマートフォン（計）,02Ｂ携帯電話（計）,02Ｃパソコン（計）,02Ｄタブレット（計）,02Ｅ携帯音楽プレイヤー,02Ｆゲーム機（計）,02Ｇインターネット接続テレビ,02Ａ・Ｂスマートフォン・携帯電話（計）,02Ａ・Ｂ機能限定や子供向け（計）,02Ａ・Ｂ機能限定や子供向け以外（計）,37該当数,37コミニュケーション,37ニュース,37情報検索,37地図・ナビゲーション,37音楽視聴,37動画視聴,37電子書籍,37ゲーム,37ショッピング・オークション,37その他,37わからない,52全体 該当者,52使っていない,52３０分未満,52３０分以上１時間未満,52１時間以上２時間未満,52２時間以上３時間未満,52３時間以上４時間未満,52４時間以上５時間未満,52５時間以上６時間未満,52６時間以上９時間未満,52９時間以上１２時間未満,52１２時間以上１５時間未満,52１５時間以上１８時間未満,52１８時間以上２１時間未満,52２１時間以上２４時間未満,52２４時間以上,52わからない,52２時間以上（計）,52５時間以上（計）,52６時間以上（計）,52１２時間以上（計）,52１８時間以上（計）,52平均（分）,52標準偏差,68該当数,68スマートフォン,68格安スマートフォン,68機能限定・子供向けスマートフォン,68契約切れスマートフォン,68携帯電話,68機能限定電話・子ども向け携帯電話,68ノートパソコン,68デスクトップパソコン,68タブレット,68学習用タブレット,68子供向け娯楽用タブレット,68携帯音楽プレイヤー,68携帯ゲーム機,68据置型ゲーム機,68インターネット接続テレビ,68無線ＬＡＮ利用（計）,68無線ＬＡＮ非利用,68Ａスマートフォン（計）,68Ｂ携帯電話（計）,68Ｃパソコン（計）,68Ｄタブレット（計）,68Ｅ携帯音楽プレイヤー,68Ｆゲーム機（計）,68Ｇインターネット接続テレビ,68Ａ・Ｂスマートフォン・携帯電話（計）,68Ａ・Ｂ機能限定や子供向け（計）,68Ａ・Ｂ機能限定や子供向け以外（計）,85該当数,85悪口等のメール・メッセージ送られた,85悪口等のメール・メッセージ送った,85掲示板で自分や他人の情報書き込んだ,85親に話しにくいサイトを見た,85ゲームなどでお金を使いすぎた,85差別内容掲載サイトにアクセスする,85知らない人や、お店からメール来た,85迷惑メッセージ・メールを送られた,85ネットで知り合った人とメール等した,85ネットで知り合った同性と会った,85ネットで知り合った異性と会った,85ネットで知り合った人との関係悩んだ,85ネットにのめりこんで勉強できない,85その他困ったことがある,85あてはまるものがある（計）,85あてはまるものはない,85わからない,85回答計,86該当数,86利用する時間を決めている,86利用する場所を決めている,86メール・メッセージを送る相手の制限,86利用サイト・アプリ内容を決めている,86送信・投稿内容を決めている,86利用者情報を漏れないようにしている,86料金上限や課金方法を決めている,86困ったときはすぐに保護者に連絡する,86その他,86ルールを決めている（計）,86特にルールを決めていない,86わからない,86回答計,87総数,87学校で教えてもらった,87親（保護者）から教えてもらった,87兄弟・姉妹から教えてもらった,87機器の購入時に販売員より説明された,87機器の購入時に資料をもらった,87友だちから教えてもらった,87テレビや本・パンフレットで知った,87インターネットで知った,87その他,87説明を受けたり学んだりした（計）,87教えてもらったり学んだりしない,87わからない,87回答計,88総数,88男性,88女性,89総数,89１０歳,89１１歳,89１２歳,89１３歳,89１４歳,89１５歳,89１６歳,89１７歳,89平均,89標準偏差,90総数,90男性１０歳,90１１歳,90１２歳,90１３歳,90１４歳,90１５歳,90１６歳,90１７歳,90女性１０歳,90１１歳_30,90１２歳_31,90１３歳_32,90１４歳_33,90１５歳_34,90１６歳_35,90１７歳_36,91総数,91小学４年生,91小学５年生,91小学６年生,91中学１年生,91中学２年生,91中学３年生,91高校１年生,91高校２年生,91高校３年生,91専門学校、各種学校等,91中学校卒業,91高校中退,91専門学校、各種学校等中退・卒業,91小学生（計）,91中学生（計）,91高校生（計）,91その他（計）,92総数,92小学生男子,92女子,92中学生男子,92女子_37,92高校生男子,92女子_38,92その他,93総数,93１人以上いる,93いない,暴力件数,いじめ件数,不登校件数
北海道,160,54.4,2.5,0.6,5,7.5,7.5,27.5,24.4,24.4,3.1,0.6,34.4,55,31.3,6.3,98.8,1.3,60.6,15,45.6,26.9,34.4,59.4,6.3,74.4,8.1,66.9,285.6,160,54.4,2.5,0.6,5,7.5,7.5,27.5,24.4,24.4,3.1,0.6,34.4,55,31.3,6.3,98.8,1.3,60.6,15,45.6,26.9,34.4,59.4,6.3,74.4,8.1,66.9,285.6,158,53.8,2.5,0.6,5.1,3.8,1.3,25.9,22.2,22.8,1.9,0.6,13.3,31.6,17.1,3.8,94.9,5.1,92.4,38,60.1,5.1,43,24.7,13.3,36.1,3.8,65.2,1.9,63.3,150,68.7,24.7,62.7,24.7,64.7,80.7,12.7,78,14.7,2.7,1.3,150,1.3,4,6,19.3,18.7,16,12,8.7,8,3.3,1.3,0.7,0,0,0,0.7,68.7,22,13.3,2,0,199.05,165.2,150,49.3,2,0.7,4.7,0,0,20.7,14.7,20,2,0,9.3,26,14,2.7,78,22,54.7,0,32.7,21.3,9.3,29.3,2.7,54.7,0.7,54,150,0.7,0,1.3,1.3,1.3,0.7,10.7,16,11.3,1.3,0.7,1.3,12,4,34,66,0,128.7,150,23.3,18.7,6,12.7,13.3,19.3,25.3,29.3,4,62,36,2,190,160,90.6,36.9,5.6,4.4,3.1,10.6,13.1,11.3,0,93.8,5,1.3,181.9,160,53.1,46.9,160,8.8,10.6,11.3,14.4,13.8,10,16.9,14.4,13.83,2.2,160,6.3,5,5.6,6.3,9.4,4.4,8.1,8.1,2.5,5.6,5.6,8.1,4.4,5.6,8.8,6.3,160,5.6,8.8,13.1,10,16.3,9.4,16.3,12.5,7.5,0,0,0.6,0,27.5,35.6,36.3,0.6,160,15.6,11.9,18.8,16.9,18.1,18.1,0.6,160,52.5,47.5,2.4,11.3,10.3 
青森県,41,53.7,2.4,0,4.9,4.9,9.8,17.1,4.9,24.4,4.9,2.4,22,48.8,26.8,0,100,0,61,14.6,22,31.7,22,53.7,0,75.6,9.8,65.9,226.8,41,53.7,2.4,0,4.9,4.9,9.8,17.1,4.9,24.4,4.9,2.4,22,48.8,26.8,0,100,0,61,14.6,22,31.7,22,53.7,0,75.6,9.8,65.9,226.8,41,53.7,2.4,0,2.4,0,0,12.2,2.4,22,4.9,0,4.9,17.1,4.9,0,78,22,78,7.3,58.5,0,14.6,26.8,4.9,17.1,0,58.5,0,58.5,32,56.3,25,65.6,31.3,75,90.6,18.8,68.8,18.8,9.4,3.1,32,3.1,0,3.1,18.8,25,18.8,15.6,6.3,6.3,0,0,3.1,0,0,0,0,75,15.6,9.4,3.1,0,185,160.6,32,56.3,3.1,0,3.1,0,0,9.4,3.1,25,3.1,0,6.3,21.9,6.3,0,84.4,15.6,62.5,0,12.5,28.1,6.3,21.9,0,62.5,0,62.5,32,0,0,0,0,3.1,0,18.8,28.1,3.1,0,0,0,15.6,0,40.6,59.4,0,128.1,32,34.4,15.6,15.6,15.6,3.1,12.5,6.3,15.6,0,65.6,34.4,0,153.1,41,80.5,26.8,2.4,2.4,2.4,9.8,12.2,7.3,2.4,87.8,7.3,4.9,158.5,41,36.6,63.4,41,4.9,9.8,7.3,14.6,17.1,9.8,14.6,22,14.27,2.2,41,0,2.4,4.9,2.4,9.8,2.4,4.9,9.8,4.9,7.3,2.4,12.2,7.3,7.3,9.8,12.2,41,4.9,4.9,12.2,7.3,19.5,9.8,12.2,22,7.3,0,0,0,0,22,36.6,41.5,0,41,7.3,14.6,14.6,22,14.6,26.8,0,41,51.2,48.8,3,8.8,10.6 
岩手県,35,37.1,2.9,2.9,2.9,0,5.7,14.3,8.6,28.6,8.6,0,8.6,34.3,11.4,0,91.4,8.6,45.7,5.7,22.9,37.1,8.6,34.3,0,51.4,8.6,42.9,174.3,35,37.1,2.9,2.9,2.9,0,5.7,14.3,8.6,28.6,8.6,0,8.6,34.3,11.4,0,91.4,8.6,45.7,5.7,22.9,37.1,8.6,34.3,0,51.4,8.6,42.9,174.3,32,37.5,3.1,3.1,0,0,0,9.4,6.3,25,3.1,0,3.1,25,0,0,90.6,9.4,87.5,6.3,43.8,0,15.6,28.1,3.1,25,0,43.8,3.1,40.6,29,51.7,13.8,65.5,10.3,48.3,51.7,10.3,72.4,10.3,3.4,0,29,0,0,13.8,44.8,20.7,6.9,10.3,0,0,0,0,0,0,0,0,3.4,37.9,0,0,0,0,107.86,69.4,29,37.9,0,3.4,0,0,0,6.9,6.9,24.1,3.4,0,0,13.8,0,0,75.9,24.1,41.4,0,13.8,27.6,0,13.8,0,41.4,3.4,37.9,29,3.4,0,0,0,0,0,6.9,3.4,0,0,0,0,13.8,0,24.1,75.9,0,103.4,29,27.6,10.3,6.9,6.9,0,6.9,6.9,6.9,6.9,48.3,51.7,0,131,35,97.1,20,8.6,0,0,2.9,8.6,0,5.7,97.1,2.9,0,145.7,35,57.1,42.9,35,17.1,11.4,5.7,2.9,17.1,14.3,20,11.4,13.71,2.5,35,5.7,5.7,2.9,0,8.6,8.6,14.3,11.4,11.4,5.7,2.9,2.9,8.6,5.7,5.7,0,35,5.7,20,8.6,0,17.1,17.1,17.1,14.3,0,0,0,0,0,34.3,34.3,31.4,0,35,14.3,20,17.1,17.1,25.7,5.7,0,35,60,40,2,24.5,11.7 
宮城県,79,39.2,0,2.5,0,12.7,7.6,13.9,5.1,8.9,2.5,0,17.7,46.8,31.6,2.5,86.1,13.9,41.8,20.3,19,11.4,17.7,51.9,2.5,62,10.1,51.9,205.1,79,39.2,0,2.5,0,12.7,7.6,13.9,5.1,8.9,2.5,0,17.7,46.8,31.6,2.5,86.1,13.9,41.8,20.3,19,11.4,17.7,51.9,2.5,62,10.1,51.9,205.1,68,41.2,0,1.5,0,7.4,1.5,14.7,5.9,10.3,2.9,0,11.8,39.7,13.2,1.5,82.4,17.6,82.4,17.6,42.6,8.8,20.6,13.2,11.8,42.6,1.5,51.5,2.9,48.5,56,53.6,7.1,42.9,10.7,55.4,37.5,3.6,75,8.9,5.4,8.9,56,5.4,8.9,8.9,25,17.9,19.6,7.1,5.4,0,0,0,0,0,0,0,1.8,50,5.4,0,0,0,113.84,85.2,56,41.1,0,0,0,5.4,1.8,14.3,3.6,8.9,3.6,0,10.7,33.9,14.3,0,76.8,23.2,41.1,7.1,17.9,12.5,10.7,37.5,0,48.2,1.8,46.4,56,0,0,0,0,0,0,0,1.8,0,0,0,0,1.8,3.6,7.1,92.9,0,100,56,32.1,14.3,10.7,3.6,5.4,7.1,12.5,8.9,3.6,48.2,51.8,0,150,79,69.6,35.4,2.5,3.8,0,2.5,12.7,2.5,0,74.7,22.8,2.5,154.4,79,53.2,46.8,79,11.4,12.7,17.7,13.9,12.7,10.1,15.2,6.3,13.27,2.1,79,3.8,5.1,8.9,8.9,7.6,5.1,8.9,5.1,7.6,7.6,8.9,5.1,5.1,5.1,6.3,1.3,79,7.6,11.4,12.7,20.3,11.4,13.9,15.2,5.1,1.3,0,0,1.3,0,31.6,45.6,21.5,1.3,79,12.7,19,25.3,20.3,13.9,7.6,1.3,79,64.6,35.4,4.4,70.8,17.6 
秋田県,27,33.3,0,0,3.7,7.4,7.4,25.9,0,22.2,3.7,0,29.6,70.4,48.1,0,96.3,3.7,37,14.8,25.9,25.9,29.6,74.1,0,51.9,7.4,44.4,255.6,27,33.3,0,0,3.7,7.4,7.4,25.9,0,22.2,3.7,0,29.6,70.4,48.1,0,96.3,3.7,37,14.8,25.9,25.9,29.6,74.1,0,51.9,7.4,44.4,255.6,26,34.6,0,0,0,3.8,3.8,23.1,0,19.2,0,0,11.5,61.5,34.6,0,92.3,7.7,88.5,34.6,34.6,7.7,23.1,19.2,11.5,65.4,0,42.3,3.8,38.5,24,50,20.8,33.3,20.8,20.8,70.8,4.2,83.3,8.3,0,4.2,24,12.5,8.3,8.3,29.2,25,8.3,4.2,0,0,0,0,0,0,0,0,4.2,37.5,0,0,0,0,88.04,65,24,33.3,0,0,0,0,0,12.5,0,12.5,0,0,12.5,54.2,29.2,0,83.3,16.7,33.3,0,12.5,12.5,12.5,58.3,0,33.3,0,33.3,24,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,4.2,95.8,0,100,24,20.8,12.5,12.5,8.3,12.5,8.3,16.7,16.7,4.2,62.5,37.5,0,150,27,88.9,29.6,3.7,0,0,3.7,3.7,0,0,92.6,7.4,0,137,27,59.3,40.7,27,7.4,22.2,14.8,22.2,11.1,18.5,3.7,0,12.78,1.7,27,3.7,11.1,11.1,11.1,7.4,11.1,3.7,0,3.7,11.1,3.7,11.1,3.7,7.4,0,0,27,7.4,14.8,18.5,22.2,11.1,14.8,7.4,3.7,0,0,0,0,0,40.7,48.1,11.1,0,27,22.2,18.5,25.9,22.2,11.1,0,0,27,51.9,48.1,0.6,17.8,10.0 
山形県,32,37.5,0,0,3.1,6.3,0,12.5,9.4,18.8,9.4,0,25,56.3,9.4,3.1,100,0,40.6,6.3,21.9,28.1,25,59.4,3.1,46.9,0,46.9,190.6,32,37.5,0,0,3.1,6.3,0,12.5,9.4,18.8,9.4,0,25,56.3,9.4,3.1,100,0,40.6,6.3,21.9,28.1,25,59.4,3.1,46.9,0,46.9,190.6,32,31.3,0,0,3.1,0,0,12.5,6.3,15.6,3.1,0,3.1,21.9,6.3,0,68.8,31.3,65.6,9.4,34.4,0,18.8,18.8,3.1,25,0,34.4,0,34.4,22,68.2,9.1,59.1,13.6,63.6,63.6,9.1,72.7,13.6,0,0,22,0,4.5,13.6,13.6,36.4,9.1,4.5,4.5,4.5,4.5,0,0,0,0,0,4.5,63.6,13.6,9.1,0,0,149.29,125.2,22,36.4,0,0,4.5,0,0,9.1,4.5,13.6,0,0,4.5,22.7,4.5,0,68.2,31.8,40.9,0,13.6,13.6,4.5,22.7,0,40.9,0,40.9,22,0,0,4.5,0,9.1,0,4.5,9.1,13.6,0,0,0,9.1,0,27.3,63.6,9.1,122.7,22,27.3,18.2,18.2,18.2,18.2,13.6,18.2,36.4,0,59.1,36.4,4.5,209.1,32,81.3,75,12.5,6.3,3.1,12.5,9.4,3.1,0,93.8,6.3,0,209.4,32,37.5,62.5,32,3.1,28.1,18.8,9.4,6.3,15.6,12.5,6.3,13.16,2.1,32,0,9.4,6.3,3.1,3.1,6.3,6.3,3.1,3.1,18.8,12.5,6.3,3.1,9.4,6.3,3.1,32,3.1,12.5,34.4,6.3,9.4,6.3,21.9,6.3,0,0,0,0,0,50,21.9,28.1,0,32,15.6,34.4,9.4,12.5,12.5,15.6,0,32,50,50,0.8,48.4,11.8 
福島県,60,36.7,1.7,1.7,1.7,10,6.7,21.7,5,11.7,3.3,0,26.7,48.3,13.3,1.7,93.3,6.7,41.7,16.7,25,15,26.7,53.3,1.7,55,8.3,50,196.7,60,36.7,1.7,1.7,1.7,10,6.7,21.7,5,11.7,3.3,0,26.7,48.3,13.3,1.7,93.3,6.7,41.7,16.7,25,15,26.7,53.3,1.7,55,8.3,50,196.7,56,37.5,1.8,1.8,1.8,7.1,0,23.2,5.4,10.7,0,0,14.3,30.4,8.9,1.8,78.6,21.4,76.8,14.3,42.9,7.1,26.8,10.7,14.3,32.1,1.8,50,1.8,48.2,44,56.8,25,54.5,18.2,68.2,75,13.6,72.7,20.5,0,6.8,44,0,6.8,2.3,36.4,20.5,11.4,11.4,0,2.3,2.3,0,0,0,0,0,6.8,47.7,4.5,4.5,0,0,136.83,117.1,44,45.5,2.3,0,2.3,0,0,22.7,2.3,9.1,0,0,13.6,27.3,9.1,2.3,86.4,13.6,50,0,25,9.1,13.6,29.5,2.3,50,0,50,44,0,0,4.5,6.8,6.8,2.3,2.3,9.1,13.6,4.5,4.5,0,13.6,0,31.8,63.6,4.5,136.4,44,29.5,13.6,9.1,9.1,22.7,27.3,27.3,34.1,0,68.2,29.5,2.3,204.5,60,86.7,38.3,1.7,8.3,5,10,25,13.3,0,93.3,1.7,5,195,60,65,35,60,10,6.7,8.3,11.7,16.7,23.3,11.7,11.7,13.93,2.1,60,8.3,0,5,10,8.3,18.3,8.3,6.7,1.7,6.7,3.3,1.7,8.3,5,3.3,5,60,8.3,6.7,6.7,10,13.3,26.7,10,15,3.3,0,0,0,0,21.7,50,28.3,0,60,13.3,8.3,31.7,18.3,20,8.3,0,60,51.7,48.3,1.2,5.8,11.6 
茨城県,82,54.9,1.2,2.4,2.4,2.4,8.5,20.7,6.1,17.1,1.2,0,18.3,42.7,18.3,3.7,92.7,7.3,61,11,26.8,18.3,18.3,47.6,3.7,69.5,11,61,207.3,82,54.9,1.2,2.4,2.4,2.4,8.5,20.7,6.1,17.1,1.2,0,18.3,42.7,18.3,3.7,92.7,7.3,61,11,26.8,18.3,18.3,47.6,3.7,69.5,11,61,207.3,76,59.2,1.3,1.3,2.6,0,0,21.1,6.6,18.4,1.3,0,5.3,27.6,9.2,2.6,88.2,11.8,86.8,18.4,64.5,0,27.6,19.7,5.3,28.9,2.6,64.5,1.3,63.2,67,61.2,28.4,58.2,22.4,58.2,77.6,13.4,79.1,13.4,3,3,67,4.5,4.5,4.5,23.9,16.4,7.5,16.4,9,6,0,1.5,0,0,0,0,6,56.7,16.4,7.5,1.5,0,167.86,133.8,67,49.3,1.5,0,3,0,0,20.9,6,17.9,1.5,0,4.5,23.9,10.4,3,77.6,22.4,53.7,0,26.9,19.4,4.5,25.4,3,53.7,0,53.7,67,4.5,0,3,1.5,1.5,0,13.4,16.4,17.9,4.5,3,1.5,14.9,0,38.8,59.7,1.5,143.3,67,25.4,20.9,9,16.4,16.4,26.9,17.9,17.9,1.5,67.2,31.3,1.5,185.1,82,90.2,35.4,6.1,4.9,2.4,6.1,15.9,9.8,1.2,95.1,3.7,1.2,176.8,82,56.1,43.9,82,11,7.3,11,12.2,15.9,22,12.2,8.5,13.72,2.1,82,7.3,3.7,4.9,9.8,8.5,9.8,7.3,4.9,3.7,3.7,6.1,2.4,7.3,12.2,4.9,3.7,82,6.1,7.3,8.5,17.1,15.9,18.3,15.9,8.5,2.4,0,0,0,0,22,51.2,26.8,0,82,12.2,9.8,26.8,24.4,17.1,9.8,0,82,50,50,4.4,21.1,10.3 
栃木県,62,41.9,1.6,3.2,3.2,6.5,9.7,40.3,12.9,22.6,8.1,0,29,62.9,37.1,6.5,93.5,6.5,48.4,16.1,50,27.4,29,66.1,6.5,64.5,12.9,53.2,291.9,62,41.9,1.6,3.2,3.2,6.5,9.7,40.3,12.9,22.6,8.1,0,29,62.9,37.1,6.5,93.5,6.5,48.4,16.1,50,27.4,29,66.1,6.5,64.5,12.9,53.2,291.9,58,39.7,1.7,1.7,1.7,3.4,0,39.7,13.8,22.4,5.2,0,15.5,36.2,19,5.2,89.7,10.3,86.2,29.3,44.8,3.4,50,25.9,15.5,37.9,5.2,48.3,1.7,46.6,52,51.9,25,76.9,11.5,57.7,69.2,7.7,84.6,11.5,7.7,9.6,52,5.8,7.7,9.6,25,19.2,13.5,5.8,3.8,7.7,0,0,0,0,0,0,1.9,50,11.5,7.7,0,0,135.29,118.4,52,42.3,1.9,0,0,0,0,34.6,3.8,19.2,1.9,0,5.8,19.2,5.8,0,75,25,44.2,0,34.6,21.2,5.8,19.2,0,44.2,0,44.2,52,0,0,0,1.9,0,0,5.8,13.5,5.8,1.9,1.9,0,11.5,0,23.1,75,1.9,119.2,52,26.9,25,9.6,11.5,11.5,21.2,32.7,30.8,1.9,73.1,21.2,5.8,198.1,62,100,56.5,8.1,3.2,4.8,4.8,19.4,9.7,0,100,0,0,206.5,62,46.8,53.2,62,9.7,12.9,17.7,14.5,12.9,14.5,8.1,9.7,13.32,2.1,62,1.6,3.2,8.1,11.3,1.6,6.5,6.5,8.1,8.1,9.7,9.7,3.2,11.3,8.1,1.6,1.6,62,3.2,16.1,14.5,17.7,14.5,11.3,9.7,6.5,6.5,0,0,0,0,33.9,43.5,22.6,0,62,11.3,22.6,19.4,24.2,16.1,6.5,0,62,53.2,46.8,3.6,13.6,15.2 
群馬県,60,41.7,0,1.7,0,8.3,11.7,18.3,8.3,16.7,5,0,20,46.7,13.3,0,91.7,8.3,43.3,20,25,21.7,20,48.3,0,63.3,13.3,50,200,60,41.7,0,1.7,0,8.3,11.7,18.3,8.3,16.7,5,0,20,46.7,13.3,0,91.7,8.3,43.3,20,25,21.7,20,48.3,0,63.3,13.3,50,200,55,43.6,0,1.8,0,0,1.8,18.2,9.1,18.2,1.8,0,10.9,29.1,5.5,0,90.9,9.1,87.3,14.5,45.5,1.8,25.5,20,10.9,30.9,0,47.3,3.6,43.6,50,54,16,74,28,64,70,12,72,4,2,2,50,0,2,28,18,24,14,4,2,0,0,0,0,0,0,0,8,44,2,0,0,0,103.91,70.5,50,44,0,2,0,0,0,16,10,16,0,0,8,24,6,0,90,10,46,0,24,16,8,26,0,46,2,44,50,2,0,2,0,2,0,6,12,0,0,0,0,12,0,28,68,4,108,50,30,30,12,10,12,16,28,24,4,70,26,4,196,60,83.3,31.7,1.7,10,10,1.7,10,3.3,0,91.7,3.3,5,160,60,56.7,43.3,60,11.7,10,10,8.3,18.3,5,18.3,18.3,13.92,2.4,60,5,8.3,8.3,5,8.3,3.3,8.3,10,6.7,1.7,1.7,3.3,10,1.7,10,8.3,60,6.7,10,11.7,8.3,20,3.3,20,15,5,0,0,0,0,28.3,31.7,40,0,60,18.3,10,18.3,13.3,20,20,0,60,53.3,46.7,1.2,8.7,13.2 
埼玉県,216,55.6,0.9,2.8,3.2,10.2,6.9,21.8,8.8,15.7,7.9,0,18.1,43.5,19.9,3.7,93.1,6.9,61.6,17.1,29.2,22.7,18.1,45.4,3.7,75.5,9.7,66.7,225.9,216,55.6,0.9,2.8,3.2,10.2,6.9,21.8,8.8,15.7,7.9,0,18.1,43.5,19.9,3.7,93.1,6.9,61.6,17.1,29.2,22.7,18.1,45.4,3.7,75.5,9.7,66.7,225.9,201,57.7,1,1,2.5,3,0.5,22.4,9,15.4,4,0,9,21.4,8.5,3,87.6,12.4,86.1,17.9,61.7,3.5,29.9,18.9,9,23.4,3,64.7,1.5,63.2,176,72.2,35.8,71.6,40.3,56.8,70.5,16.5,68.2,15.3,8,1.1,176,2.3,6.8,13.6,23.3,14.2,16.5,9.1,2.3,5.7,0.6,0,0,0,0,0,5.7,48.3,8.5,6.3,0,0,137.95,116.2,176,54.5,1.1,0.6,2.3,0.6,0,16.5,5.7,11.9,4,0,5.7,16.5,6.3,2.3,75.6,24.4,58,0.6,21,15.3,5.7,18.2,2.3,58.5,0.6,58,176,5.1,1.1,4,1.1,1.7,1.7,17.6,24.4,13.1,4.5,0.6,1.1,12.5,2.8,43.2,54,2.8,148.3,176,22.7,22.2,9.7,16.5,15.3,29.5,30.1,35.8,2.3,69.3,29.5,1.1,214.8,216,86.1,45.4,4.2,6.9,4.6,9.3,19,8.8,0.5,92.1,6.5,1.4,192.6,216,47.7,52.3,216,9.7,14.8,8.8,14.4,13.4,12,15.7,11.1,13.62,2.2,216,4.2,7.4,4.2,7.9,4.6,6.5,7.9,5.1,5.6,7.4,4.6,6.5,8.8,5.6,7.9,6,216,5.6,10.6,15.7,11.6,13,10.6,18.1,12,2.8,0,0,0,0,31.9,35.2,32.9,0,216,14.8,17.1,16.7,18.5,16.2,16.7,0,216,45.4,54.6,2.7,6.2,11.0 
千葉県,137,51.8,0.7,5.8,5.1,9.5,10.9,16.8,10.2,11.7,3.6,0.7,19,35.8,25.5,2.2,92.7,7.3,62,20.4,25.5,16.1,19,40.1,2.2,79.6,16.8,63.5,216.8,137,51.8,0.7,5.8,5.1,9.5,10.9,16.8,10.2,11.7,3.6,0.7,19,35.8,25.5,2.2,92.7,7.3,62,20.4,25.5,16.1,19,40.1,2.2,79.6,16.8,63.5,216.8,127,52,0.8,4.7,4.7,1.6,1.6,17.3,10.2,11,2.4,0,7.1,10.2,6.3,1.6,81.1,18.9,80.3,15,60.6,3.1,26,13.4,7.1,15,1.6,63.8,6.3,57.5,103,78.6,39.8,67,49.5,73.8,73.8,22.3,69.9,22.3,6.8,2.9,103,1,10.7,9.7,20.4,20.4,12.6,8.7,5.8,4.9,1.9,1.9,0,0,0,0,1.9,56.3,14.6,8.7,1.9,0,158.04,150.2,103,50.5,1,4.9,5.8,0,1,12.6,7.8,9.7,2.9,0,5.8,6.8,5.8,1.9,73.8,26.2,60.2,1,19.4,12.6,5.8,11.7,1.9,61.2,5.8,55.3,103,1.9,1,2.9,2.9,2.9,0,20.4,23.3,10.7,4.9,2.9,0,13.6,1,46.6,52.4,1,141.7,103,15.5,18.4,9.7,15.5,13.6,15.5,25.2,23.3,2.9,60.2,38.8,1,179.6,137,78.8,27,0,3.6,2.2,6.6,13.9,8.8,1.5,85.4,11.7,2.9,156.9,137,53.3,46.7,137,13.1,5.1,14.6,15.3,10.9,10.9,13.9,16.1,13.74,2.3,137,8,1.5,9.5,7.3,5.8,6.6,6.6,8,5.1,3.6,5.1,8,5.1,4.4,7.3,8,137,9.5,6.6,12.4,16.8,9.5,8,14.6,13.1,8,0,1.5,0,0,28.5,34.3,35.8,1.5,137,16.8,11.7,16.8,17.5,19,16.8,1.5,137,46.7,53.3,5.7,45.6,14.3 
