0,02Ａスマートフォン（計）,02Ｂ携帯電話（計）,02Ｃパソコン（計）,02Ｄタブレット（計）,02Ｅ携帯音楽プレイヤー,02Ｆゲーム機（計）,02Ｇインターネット接続テレビ,37コミニュケーション,37ニュース,37情報検索,37地図・ナビゲーション,37音楽視聴,37動画視聴,37電子書籍,37ゲーム,37ショッピング・オークション,52平均（分）,68無線ＬＡＮ利用（計）,85悪口等のメール・メッセージ送られた,85悪口等のメール・メッセージ送った,85掲示板で自分や他人の情報書き込んだ,85親に話しにくいサイトを見た,85ゲームなどでお金を使いすぎた,85差別内容掲載サイトにアクセスする,85知らない人や、お店からメール来た,85迷惑メッセージ・メールを送られた,85ネットで知り合った人とメール等した,85ネットで知り合った同性と会った,85ネットで知り合った異性と会った,85ネットで知り合った人との関係悩んだ,85ネットにのめりこんで勉強できない,85その他困ったことがある,86利用する時間を決めている,86利用する場所を決めている,86メール・メッセージを送る相手の制限,86利用サイト・アプリ内容を決めている,86送信・投稿内容を決めている,86利用者情報を漏れないようにしている,86料金上限や課金方法を決めている,86困ったときはすぐに保護者に連絡する,86その他,87学校で教えてもらった,87親（保護者）から教えてもらった,87兄弟・姉妹から教えてもらった,87機器の購入時に販売員より説明された,87機器の購入時に資料をもらった,87友だちから教えてもらった,87テレビや本・パンフレットで知った,87インターネットで知った,87その他,88男性,89平均,93１人以上いる
37地図・ナビゲーション,0.4302055963771186,-0.07927989438343164,-0.18128430226401873,0.16809402803891837,-0.1389628111341932,0.034146829896478485,0.16571323830342538,0.489211848618514,0.6269439983997647,0.5478617649480011,1.0,0.4191205735422643,0.38099178185630017,0.3980852123154935,0.11166235141843993,0.4062678907478025,0.38767105459049417,0.12616303535636833,0.051103994265170045,0.13619832160209597,0.0638065684571039,0.22049171482097016,0.18441592896340353,0.1520775707151597,0.31576260173034704,0.3627597294060776,0.26843544242468603,0.17787527980170986,0.08988787074148712,0.18280757222375585,0.22573859323004783,0.16062101633362907,-0.07255194653006104,-0.04240574989030701,0.20271458361941813,0.09330046725385939,0.10604315469966966,0.14705311910695879,0.17193333052723553,0.1649891241087013,0.03787044343904351,0.03239903343177798,0.11629548571185609,-0.11152086482302022,0.18156108852046396,0.16588679511087995,0.1343081601375206,0.1308872437875668,0.2412770712428615,0.0809196474322976,-0.027649471589345644,0.24187559995590863,-0.1678451721193221
37音楽視聴,0.31801563147426504,-0.16778894885916246,-0.2238453419004926,0.02764950714098818,-0.0826829307467615,-0.2047464745770196,0.2863682661467843,0.5349288446607179,0.4503504933558657,0.36461002807142195,0.4191205735422643,1.0,0.5126130216835925,0.43637301470204537,0.039473176216613205,0.4445877246973202,0.19234186792867305,0.1247062180586741,0.035510801204831896,0.1900705837628836,0.03937986885525334,0.16890274752392784,0.193790192541629,0.12390374293672911,0.23931158118911527,0.2887440980732004,0.34035342302469185,0.32212286004328755,0.20098796259598461,0.13354503712925628,0.24127441164491334,0.029449442907150562,-0.04361653053360637,0.046968262483555866,0.10971396963371952,-0.005584139816742232,0.09280810649234644,0.10355452657799645,0.20803757530147024,0.12286429196344673,-0.09207966038877671,0.016098073417676297,0.1475685996713577,-0.07685767734781897,-0.004805654038584804,0.06994249258788557,0.20658291219605837,0.18176764984229118,0.15319277131974363,-0.04838838422868559,-0.25643671923839656,0.2679770097707277,0.011204283193328534
37動画視聴,0.30954963258514645,-0.14100018155471616,-0.14626630632482315,0.22541786885678405,-0.14954009929278206,0.028007965438715983,0.3245929018465175,0.34177490547060335,0.4317184026466941,0.36231163596824645,0.38099178185630017,0.5126130216835925,1.0,0.36815634937951863,0.14987744670906047,0.3424706507523913,0.26810925366789184,0.014260569122756103,0.06788341422131415,0.16279289525342736,-0.0559125700310204,0.19735087770724025,0.1940836171586092,0.09454001099522652,0.23447171677620723,0.2358814207702846,0.2582941686502596,0.22738993123371015,0.03317454480722851,0.16241686599987057,0.21870449844359233,-0.04166862141125676,-0.11504157120211089,0.05823986276792524,0.2263492623465363,0.0708905817799763,0.09828987389877403,0.17609169159530094,0.2216427866103594,0.12640240555635257,0.041866942740933936,0.08403081639209553,0.20142628276071853,-0.027237725305570976,0.09047074068632693,0.01995953729993084,0.26714470321030653,0.2645409273490517,0.2839931999207687,-0.057625914537451826,-0.09022415702765144,0.0992849235518984,-0.14786511785594672
37電子書籍,0.2548715353851248,0.03774644497597183,-0.06169165007947571,0.09222853673238293,-0.0980595546780611,-0.030896044704211614,0.3058955772733147,0.35854669363454433,0.45226384619533916,0.27174392049353496,0.3980852123154935,0.43637301470204537,0.36815634937951863,1.0,0.20847946453035748,0.32663979425720774,0.16387019684740053,0.046024955244529715,-0.024531453507628274,0.08928634046570198,-0.014626491380699875,0.0790196241707525,0.1261478276044226,0.05610030946094234,0.13745306374441774,0.15872848651303462,0.17047149037826692,0.15484089058245482,-0.06118431353241366,0.1338163185280259,0.05572814712381696,-0.009800445461649633,-0.10955314293436096,0.1030249003991896,0.17561678365903124,-0.03892545243157744,-0.016213756915276357,0.004756081259228093,0.22999910823988454,0.12715003073500808,0.03511407205565513,0.09917154443885545,0.11274605028805722,0.028432258832840077,0.016760031626099438,0.1188760584052447,-0.008953953530312461,0.18696148240782523,0.07881097411991426,0.052246949785145505,-0.12992374946610202,0.1482957602869673,-0.03879190941258117
37ゲーム,0.04744932624069067,0.008428548677722157,-0.05855480323750879,0.1295773274196204,0.16894611163818463,0.43531397840707575,0.23699452368532714,0.13134256027330554,0.08404007677227353,0.024930306826865384,0.11166235141843993,0.039473176216613205,0.14987744670906047,0.20847946453035748,1.0,0.15149465837343468,0.2594561196463901,-0.022944491003940318,-0.04906259838200672,0.04438657598726496,-0.050857842235149546,-0.021361003581737585,0.17098578753681345,0.07325618232813468,0.054840766214186515,0.04790400719518284,0.13222931864685505,0.014124242769741297,-0.057544993568804007,0.19552294136302303,0.1832212776537897,-0.01251333901394639,-0.1748348471031011,0.008509440408601883,0.06656261599352219,-0.0021551779711236033,0.07916682856532935,0.17218057945274978,0.23347195676808907,0.1557757975475725,0.03677133297540098,0.06003044250434989,-0.053063103162025956,0.0720640226146714,0.079402813252155,0.16098798162403818,0.10436575126802637,0.09418133994658585,0.23714673361342808,0.008503835251217949,0.14345463840996628,0.01802014699750304,-0.16446506102470843
37ショッピング・オークション,0.18544526035075556,-0.1181504226447716,-0.20206206950075764,-0.0033798703782948196,-0.14173641249194005,0.04458394677578496,0.2329035234433696,0.41478817782607813,0.34425654294219704,0.32241471634646757,0.4062678907478025,0.4445877246973202,0.3424706507523913,0.32663979425720774,0.15149465837343468,1.0,0.36257141045019203,0.04294110533052857,0.07423503673619658,0.23166620165409166,0.04895443462683811,0.1011733921374721,0.27454004132160015,0.40513600601595373,0.24449066055199126,0.3218229100436256,0.501611332445097,0.4952413112406712,0.21599360848757168,0.40370084826524777,0.1826806093493209,-0.08705423984887875,-0.15222383613474164,-0.025825620197599795,0.06952991590333936,0.015518001376576442,-0.0060116628455449805,0.11741638433236026,0.18828608061819732,0.14291737612069544,-0.023825861814239374,0.16852275905538763,0.07977934705102734,0.02315751065088438,0.17365492266366891,0.16477439844093214,0.14700113649158073,0.2540422585598865,0.3232115068057975,0.038411848926025186,-0.2214015243961739,0.09741726005261188,-0.02186107720129708
52平均（分）,0.4392137535783069,-0.06257106284940273,-0.04149551906993581,-0.015518908991221164,0.005001374343893903,0.15631046960102957,0.24767353674237888,0.39010307915246223,0.22965447822963433,0.29951988091197296,0.38767105459049417,0.19234186792867305,0.26810925366789184,0.16387019684740053,0.2594561196463901,0.36257141045019203,1.0,0.22479471383161584,0.1857275624645489,0.28301978217254453,-0.0010841633523533884,0.12928215805217386,0.27633069576543107,0.37253740482080044,0.2671694329359941,0.41557197536179347,0.411285827973828,0.34352529162084655,0.12440621566528451,0.2977056243699494,0.2666981959557117,0.057923021738944716,-0.3313990299394225,-0.17262958820956134,0.1559509805816516,0.13763844180213483,0.15675738850557064,0.2687832121965742,0.21376341511638594,0.1898609179834911,-0.11534192028942612,-0.014394477608391878,0.0591750721933703,0.07162030733150741,0.19979814114864727,0.13444886253274332,0.11321004253290647,0.15315913957426064,0.34848659332642845,-0.06902037452783864,0.026251456163496563,0.3139424807114455,-0.03873772710528564
68無線ＬＡＮ利用（計）,0.06301491552638323,0.060974856821123344,0.15765990056066703,-0.08073195311093913,0.08110845965381576,0.0191707355630407,0.12639600600244363,0.15757997759397546,0.10376882579370533,0.10565795184912427,0.12616303535636833,0.1247062180586741,0.014260569122756103,0.046024955244529715,-0.022944491003940318,0.04294110533052857,0.22479471383161584,1.0,0.17146678011046929,0.12596496566674215,-0.0156884298760642,0.11645932506047825,0.0908801703058983,0.04663205561698175,0.24369604030936856,0.24452994817511975,0.12074811696663712,0.1804843959352632,0.14364626800264996,0.1539646858205583,0.21061037897225618,0.03265011715856887,-0.05017047826096599,-0.026884844725883685,-0.05619682787768369,0.055590797653634574,0.08937182393087222,0.06413418049435003,0.10825540341993062,0.07038150672983771,-0.09538891234291592,-0.05782031711482083,0.06275063601605373,-0.05570005507359664,-0.0017379964170062124,0.08554900144083126,-0.030033891330336477,0.08238366781041641,-0.013054771921527118,-0.14316655539607603,0.10894455136570161,0.19139191438991704,-0.04147744741443008
85悪口等のメール・メッセージ送られた,0.21604884427731613,0.033252046707806966,0.11554532297862127,0.018705773345979976,0.14892401082282208,0.030484415621520072,0.15012316870911155,0.11764253902698156,0.0003864199887009191,0.08263925590552525,0.051103994265170045,0.035510801204831896,0.06788341422131415,-0.024531453507628274,-0.04906259838200672,0.07423503673619658,0.1857275624645489,0.17146678011046929,1.0,0.4861094471154601,0.049578300831146976,0.1620194491565579,0.14562542625817018,0.179501068104871,0.2984720189021384,0.3222442216454077,0.3405629392362561,0.26699727239403864,0.15004855335272477,0.17513910586200063,0.28619923662227703,0.10565983273378401,-0.10474845953249111,-0.01540833467251811,-0.001935997562151982,0.12618779962528406,-0.0018524265843386733,0.17009482347791854,0.15384546802532423,0.09063501205667623,-0.08697461721612158,-0.013685138312488493,0.1405524614020516,0.13460270811477285,0.07067907241901566,0.015853072233668174,0.22626471836754256,0.18206942878720692,0.15135218680734275,0.09692615539843426,-0.10037928348502106,0.11806342664188847,0.026515448293928545
85悪口等のメール・メッセージ送った,0.2334792861931178,-0.09178283699320543,0.03864427563950402,-0.03710366424638246,0.15834857049529455,-0.0681387499395774,0.07997237220045014,0.10413787339031816,0.03333422027695425,0.11433998015680749,0.13619832160209597,0.1900705837628836,0.16279289525342736,0.08928634046570198,0.04438657598726496,0.23166620165409166,0.28301978217254453,0.12596496566674215,0.4861094471154601,1.0,0.10726670241288605,0.10949771359643652,0.2878651446140112,0.3042961105064696,0.2316461362712292,0.3035358336382504,0.44214975103206783,0.4818520674831262,0.3356467093771945,0.3067057328843685,0.30732544644831633,0.02666102543388084,-0.11682171904376884,-0.05862372095230864,0.05020726495490136,-0.04500328722901645,-0.0067575987204930455,-0.004126752711587648,0.09261501885769613,0.11308470904784287,-0.023680674316299215,-0.05099641598331799,0.09068853813301145,-0.06238261599796334,0.04159972076251988,-0.04299106137284887,0.1252299090527382,0.18343568290888335,0.10178554930432605,0.06618134928344424,-0.20313029679435432,0.19224199544804385,0.01545204921402462
