,85悪口等のメール・メッセージ送った,85掲示板で自分や他人の情報書き込んだ,85親に話しにくいサイトを見た,85ゲームなどでお金を使いすぎた,85差別内容掲載サイトにアクセスする,85ネットで知り合った人とメール等した,85ネットで知り合った異性と会った,86利用する時間を決めている,86メール・メッセージを送る相手の制限,86送信・投稿内容を決めている,86料金上限や課金方法を決めている,87親（保護者）から教えてもらった,87兄弟・姉妹から教えてもらった,87機器の購入時に販売員より説明された
170,7.1,7.1,0.0,0.0,0.0,21.4,7.1,21.4,0.0,14.3,21.4,42.9,4.8,4.8
171,0.0,0.0,0.0,3.5,1.8,8.8,0.0,22.8,5.3,10.5,31.6,44.6,9.2,4.6
172,1.6,3.2,1.6,1.6,0.0,17.7,0.0,25.8,8.1,16.1,22.6,52.8,1.4,4.2
173,0.0,0.0,3.2,0.0,0.0,9.7,3.2,16.1,3.2,3.2,6.5,26.7,4.4,11.1
174,0.0,0.0,0.0,0.0,5.6,11.1,5.6,11.1,16.7,0.0,27.8,42.3,7.7,3.8
175,0.0,0.0,0.0,3.7,0.0,7.4,0.0,11.1,0.0,14.8,7.4,21.2,3.0,0.0
176,0.0,4.8,0.0,4.8,0.0,4.8,0.0,23.8,4.8,19.0,33.3,26.5,8.8,2.9
177,11.1,0.0,0.0,11.1,11.1,55.6,0.0,0.0,11.1,0.0,55.6,50.0,0.0,6.3
178,0.0,0.0,0.0,0.0,1.0,7.7,1.0,27.9,4.8,11.5,26.0,40.0,4.5,2.6
179,0.0,6.7,0.0,0.0,0.0,6.7,0.0,40.0,6.7,13.3,20.0,40.0,0.0,5.0
180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,12.0,12.0,16.0,22.7,2.3,4.5
181,2.9,0.0,0.0,5.9,0.0,5.9,2.9,26.5,0.0,8.8,23.5,18.6,2.3,2.3
182,0.0,0.0,6.7,0.0,0.0,6.7,0.0,40.0,6.7,6.7,13.3,35.5,9.7,0.0
183,0.0,3.6,3.6,3.6,0.0,10.7,0.0,32.1,7.1,14.3,14.3,30.0,7.5,5.0
184,0.0,0.0,0.0,0.0,0.0,13.6,0.0,40.9,0.0,4.5,9.1,33.3,3.0,0.0
185,5.9,2.9,0.0,5.9,0.0,11.8,2.9,17.6,5.9,11.8,14.7,40.4,2.1,4.3
