,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,
〔回答票５〕Ｑ５〔D-2学習用タブレット〕あなたは、インターネットを利用する場合に、Ｗｉ-Ｆｉ（ワイファイ）などの無線ＬＡＮ（ラン）機能（きのう）を使うことがありますか。インターネットを利用している機器のそれぞれについて、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,
,,,,
,,,,
,青少年分析軸,,,
,該当数,使っている,使うことはない,わからない
非該当,89    ,66.3    ,16.9    ,16.9    
【全数】Ｑ２〔ネット利用状況（Ｆ１携帯ゲーム）〕,,,,
使っている,62    ,72.6    ,11.3    ,16.1    
使える機種・設定で、使っていない,21    ,95.2    ,4.8    ,-
使えない機種・設定で、使っていない,12    ,58.3    ,25.0    ,16.7    
わからない,4    ,75.0    ,25.0    ,-
非該当,40    ,72.5    ,12.5    ,15.0    
【全数】Ｑ２〔ネット利用状況（Ｆ２据置型ゲーム）〕,,,,
使っている,24    ,75.0    ,12.5    ,12.5    
使える機種・設定で、使っていない,21    ,85.7    ,14.3    ,-
使えない機種・設定で、使っていない,9    ,55.6    ,11.1    ,33.3    
わからない,6    ,83.3    ,16.7    ,-
非該当,79    ,73.4    ,11.4    ,15.2    
【全数】Ｑ２〔ネット利用状況（Ｇ１ネットテレビ）〕,,,,
使っている,2    ,50.0    ,50.0    ,-
使える機種・設定で、使っていない,-,-,-,-
使えない機種・設定で、使っていない,1    ,100.0    ,-,-
わからない,-,-,-,-
非該当,136    ,75.0    ,11.8    ,13.2    
Ｑ３〔ネット利用項目（Ａ１スマホ～Ｇ１インターネット接続テレビ計）〕,,,,
コミニュケーション（計）,68    ,85.3    ,8.8    ,5.9    
ニュース（計）,41    ,82.9    ,9.8    ,7.3    
情報検索（計）,98    ,76.5    ,10.2    ,13.3    
地図・ナビゲーション（計）,33    ,81.8    ,9.1    ,9.1    
音楽視聴（計）,68    ,83.8    ,8.8    ,7.4    
動画視聴（計）,93    ,76.3    ,10.8    ,12.9    
電子書籍（計）,21    ,81.0    ,19.0    ,-
ゲーム（計）,93    ,78.5    ,11.8    ,9.7    
ショッピング・オークション（計）,11    ,90.9    ,-,9.1    
その他（計）,54    ,72.2    ,14.8    ,13.0    
わからない（計）,7    ,42.9    ,-,57.1    
Ｑ３〔ネット利用項目（Ａ１スマホ／ＭＡ）〕,,,,
コミニュケーション,31    ,83.9    ,9.7    ,6.5    
ニュース,17    ,82.4    ,5.9    ,11.8    
情報検索,29    ,79.3    ,10.3    ,10.3    
地図・ナビゲーション,17    ,82.4    ,5.9    ,11.8    
音楽視聴,32    ,78.1    ,12.5    ,9.4    
動画視聴,35    ,77.1    ,14.3    ,8.6    
電子書籍,11    ,81.8    ,18.2    ,-
ゲーム,35    ,77.1    ,17.1    ,5.7    
ショッピング・オークション,3    ,100.0    ,-,-
その他,2    ,100.0    ,-,-
わからない,-,-,-,-
Ｑ３〔ネット利用項目（Ａ２格安スマホ／ＭＡ）〕,,,,
コミニュケーション,-,-,-,-
ニュース,-,-,-,-
情報検索,-,-,-,-
地図・ナビゲーション,-,-,-,-
音楽視聴,-,-,-,-
動画視聴,-,-,-,-
電子書籍,-,-,-,-
ゲーム,-,-,-,-
ショッピング・オークション,-,-,-,-
その他,-,-,-,-
わからない,-,-,-,-
Ｑ３〔ネット利用項目（Ａ３子供スマホ／ＭＡ）〕,,,,
コミニュケーション,-,-,-,-
ニュース,-,-,-,-
情報検索,-,-,-,-
地図・ナビゲーション,-,-,-,-
音楽視聴,-,-,-,-
動画視聴,-,-,-,-
電子書籍,-,-,-,-
ゲーム,-,-,-,-
ショッピング・オークション,-,-,-,-
その他,1    ,100.0    ,-,-
わからない,-,-,-,-
Ｑ３〔ネット利用項目（Ａ４契約切れスマホ／ＭＡ）〕,,,,
コミニュケーション,-,-,-,-
ニュース,-,-,-,-
情報検索,1    ,100.0    ,-,-
地図・ナビゲーション,1    ,100.0    ,-,-
音楽視聴,-,-,-,-
動画視聴,-,-,-,-
電子書籍,-,-,-,-
ゲーム,1    ,-,-,100.0    
ショッピング・オークション,-,-,-,-
その他,-,-,-,-
わからない,-,-,-,-
Ｑ３〔ネット利用項目（Ｂ１携帯電話／ＭＡ）〕,,,,
コミニュケーション,5    ,80.0    ,-,20.0    
ニュース,2    ,50.0    ,-,50.0    
情報検索,1    ,100.0    ,-,-
地図・ナビゲーション,-,-,-,-
音楽視聴,-,-,-,-
動画視聴,-,-,-,-
電子書籍,-,-,-,-
ゲーム,1    ,100.0    ,-,-
ショッピング・オークション,-,-,-,-
その他,-,-,-,-
わからない,-,-,-,-
Ｑ３〔ネット利用項目（Ｂ２子ども向け携帯等／ＭＡ）〕,,,,
コミニュケーション,-,-,-,-
ニュース,-,-,-,-
情報検索,-,-,-,-
地図・ナビゲーション,-,-,-,-
音楽視聴,-,-,-,-
動画視聴,-,-,-,-
電子書籍,-,-,-,-
ゲーム,-,-,-,-
ショッピング・オークション,-,-,-,-
その他,-,-,-,-
わからない,1    ,-,-,100.0    
Ｑ３〔ネット利用項目（Ｃ１ノートＰＣ／ＭＡ）〕,,,,
