,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 【全数ベース】＜Ｑ１のいずれかの機器を利用している（Ｑ１で「１」～「１５」のいずれかを回答）方に＞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【全数ベース】〔回答票２〕Ｑ２（ネット利用まとめ：1使っている）あなたは、Ｑ１で回答した機器でインターネットを使っていますか。それぞれの機器について、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,スマートフォン,格安スマートフォン,機能限定・子供向けスマートフォン,契約切れスマートフォン,携帯電話,機能限定電話・子ども向け携帯電話,ノートパソコン,デスクトップパソコン,タブレット,学習用タブレット,子供向け娯楽用タブレット,携帯音楽プレイヤー,携帯ゲーム機,据置型ゲーム機,インターネット接続テレビ,インターネット利用（計）,インターネット非利用,モバイル機器（計）,据置型機器（計）,Ａスマートフォン（計）,Ｂ携帯電話（計）,Ｃパソコン（計）,Ｄタブレット（計）,Ｅ携帯音楽プレイヤー,Ｆゲーム機（計）,Ｇインターネット接続テレビ,Ａ・Ｂスマートフォン・携帯電話（計）,Ａ・Ｂ機能限定や子供向け（計）,Ａ・Ｂ機能限定や子供向け以外（計）
  １人以上いる,511    ,8.8    ,0.2    ,0.8    ,2.5    ,1.8    ,1.4    ,17.2    ,8.2    ,11.5    ,2.3    ,0.2    ,3.7    ,23.7    ,7.6    ,0.8    ,51.5    ,48.5    ,48.3    ,14.7    ,12.3    ,3.1    ,24.7    ,13.7    ,3.7    ,25.0    ,0.8    ,14.5    ,2.2    ,12.7    
  いない,569    ,9.3    ,0.4    ,1.1    ,2.3    ,2.6    ,1.9    ,17.6    ,7.7    ,12.8    ,3.9    ,0.5    ,2.5    ,26.0    ,7.6    ,1.2    ,54.3    ,45.7    ,52.2    ,14.4    ,12.7    ,4.6    ,24.6    ,16.7    ,2.5    ,26.9    ,1.2    ,16.7    ,3.0    ,13.9    
中学生（計）,1329    ,36.3    ,0.8    ,0.8    ,2.8    ,5.0    ,0.8    ,24.1    ,10.7    ,15.8    ,6.8    ,0.2    ,13.5    ,19.0    ,8.5    ,2.3    ,79.4    ,20.6    ,76.9    ,18.1    ,39.8    ,5.8    ,33.4    ,22.0    ,13.5    ,22.3    ,2.3    ,44.9    ,1.6    ,43.6    
  １人以上いる,740    ,34.5    ,1.1    ,0.8    ,2.8    ,5.3    ,0.9    ,23.5    ,10.3    ,15.1    ,5.3    ,-,13.9    ,16.2    ,6.1    ,1.9    ,78.4    ,21.6    ,75.9    ,15.7    ,38.4    ,6.2    ,32.2    ,20.1    ,13.9    ,18.9    ,1.9    ,43.9    ,1.8    ,42.6    
  いない,589    ,38.7    ,0.5    ,0.7    ,2.7    ,4.6    ,0.7    ,24.8    ,11.2    ,16.6    ,8.7    ,0.3    ,12.9    ,22.6    ,11.5    ,2.7    ,80.6    ,19.4    ,78.1    ,21.2    ,41.6    ,5.3    ,35.0    ,24.4    ,12.9    ,26.5    ,2.7    ,46.2    ,1.4    ,45.0    
高校生（計）,1007    ,86.8    ,0.4    ,0.8    ,1.0    ,2.9    ,0.1    ,28.1    ,14.9    ,9.0    ,1.5    ,-,11.1    ,11.0    ,6.9    ,1.7    ,95.8    ,4.2    ,95.2    ,20.9    ,88.2    ,3.0    ,41.2    ,10.2    ,11.1    ,13.6    ,1.7    ,91.0    ,0.9    ,90.4    
  １人以上いる,579    ,87.4    ,0.2    ,1.2    ,1.0    ,2.6    ,0.2    ,25.6    ,15.5    ,8.1    ,1.2    ,-,11.6    ,11.1    ,5.4    ,2.2    ,95.5    ,4.5    ,95.0    ,20.6    ,88.6    ,2.8    ,38.9    ,9.3    ,11.6    ,12.6    ,2.2    ,91.0    ,1.4    ,90.2    
  いない,428    ,86.0    ,0.7    ,0.2    ,0.9    ,3.3    ,-,31.5    ,14.0    ,10.3    ,1.9    ,-,10.5    ,11.0    ,8.9    ,0.9    ,96.3    ,3.7    ,95.6    ,21.3    ,87.6    ,3.3    ,44.4    ,11.4    ,10.5    ,15.0    ,0.9    ,90.9    ,0.2    ,90.7    
〔地域〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道・東北,430    ,40.7    ,0.5    ,0.9    ,0.9    ,4.2    ,0.9    ,20.7    ,12.1    ,10.2    ,2.3    ,0.5    ,9.1    ,24.4    ,11.2    ,1.9    ,75.1    ,24.9    ,73.3    ,22.1    ,42.3    ,5.1    ,31.9    ,13.0    ,9.1    ,27.9    ,1.9    ,46.5    ,1.9    ,45.6    
北関東,540    ,45.2    ,0.4    ,0.6    ,1.3    ,3.9    ,0.7    ,23.5    ,10.7    ,11.9    ,4.8    ,0.2    ,8.9    ,18.3    ,5.7    ,0.9    ,76.7    ,23.3    ,74.6    ,15.7    ,47.4    ,4.6    ,33.0    ,15.9    ,8.9    ,19.6    ,0.9    ,51.3    ,1.3    ,50.2    
南関東,485    ,45.8    ,1.0    ,1.9    ,2.5    ,3.9    ,0.8    ,24.1    ,12.2    ,15.3    ,3.7    ,0.2    ,7.4    ,18.4    ,8.5    ,2.7    ,78.1    ,21.9    ,76.1    ,19.2    ,50.1    ,4.7    ,35.3    ,18.1    ,7.4    ,21.4    ,2.7    ,54.6    ,2.7    ,52.0    
東海・北陸・信越,693    ,41.4    ,0.6    ,0.9    ,1.6    ,1.4    ,0.7    ,25.5    ,10.2    ,12.7    ,6.1    ,-,12.3    ,21.6    ,7.6    ,1.4    ,79.2    ,20.8    ,77.3    ,16.9    ,43.7    ,2.2    ,34.5    ,18.5    ,12.3    ,23.5    ,1.4    ,45.6    ,1.6    ,44.2    
近畿,554    ,43.9    ,0.5    ,0.5    ,4.5    ,3.8    ,0.9    ,24.5    ,11.9    ,12.6    ,3.2    ,0.2    ,9.7    ,18.6    ,7.6    ,2.3    ,76.5    ,23.5    ,74.4    ,18.2    ,48.6    ,4.7    ,34.3    ,15.9    ,9.7    ,20.6    ,2.3    ,52.2    ,1.4    ,51.4    
中国・四国,326    ,41.7    ,0.9    ,-,1.2    ,6.4    ,1.5    ,24.2    ,13.5    ,15.0    ,3.4    ,0.3    ,9.8    ,13.2    ,4.9    ,1.5    ,76.4    ,23.6    ,74.8    ,17.5    ,43.6    ,8.0    ,35.9    ,18.4    ,9.8    ,15.0    ,1.5    ,50.9    ,1.5    ,49.4    
九州・沖縄,413    ,40.7    ,-,0.7    ,2.4    ,2.4    ,0.7    ,16.5    ,7.3    ,10.9    ,3.4    ,-,8.0    ,11.9    ,8.5    ,1.0    ,67.1    ,32.9    ,65.1    ,15.3    ,43.1    ,3.1    ,23.5    ,13.6    ,8.0    ,15.3    ,1.0    ,46.2    ,1.5    ,44.8    
〔都市規模〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大都市（政令指定都市）,850    ,47.1    ,0.8    ,0.9    ,1.9    ,4.7    ,1.1    ,27.3    ,13.4    ,13.8    ,4.6    ,0.4    ,10.0    ,20.2    ,8.0    ,2.7    ,80.0    ,20.0    ,78.2    ,21.1    ,49.6    ,5.8    ,38.8    ,17.8    ,10.0    ,22.4    ,2.7    ,55.1    ,2.0    ,53.4    
人口２０万人以上の市,894    ,41.3    ,0.2    ,1.1    ,1.9    ,2.6    ,1.0    ,20.9    ,10.9    ,13.2    ,3.1    ,0.1    ,8.4    ,16.8    ,7.5    ,2.2    ,72.9    ,27.1    ,70.9    ,17.7    ,43.8    ,3.6    ,30.5    ,16.3    ,8.4    ,19.5    ,2.2    ,46.5    ,2.1    ,45.1    
人口１０万人以上の市,592    ,40.2    ,1.7    ,0.7    ,3.2    ,2.7    ,0.5    ,22.3    ,10.8    ,12.2    ,5.6    ,0.3    ,9.3    ,21.3    ,7.1    ,1.4    ,75.0    ,25.0    ,73.6    ,16.2    ,45.1    ,3.2    ,32.4    ,17.2    ,9.3    ,23.3    ,1.4    ,47.6    ,1.2    ,46.6    
人口１０万人未満の市,796    ,41.8    ,-,0.6    ,2.0    ,3.5    ,0.9    ,22.7    ,9.7    ,12.8    ,4.0    ,-,11.1    ,18.1    ,8.8    ,0.9    ,76.4    ,23.6    ,74.1    ,16.8    ,44.2    ,4.4    ,31.0    ,16.6    ,11.1    ,21.0    ,0.9    ,48.2    ,1.5    ,46.7    
郡部（町村）,309    ,43.7    ,-,0.3    ,1.6    ,4.2    ,0.6    ,19.7    ,9.1    ,8.1    ,2.3    ,-,7.8    ,14.9    ,6.1    ,-,74.8    ,25.2    ,72.2    ,14.2    ,45.3    ,4.9    ,28.2    ,10.0    ,7.8    ,16.2    ,-,49.8    ,1.0    ,48.9    
〔都道府県〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道,162    ,43.2    ,-,0.6    ,1.2    ,1.9    ,0.6    ,19.8    ,19.1    ,12.3    ,3.7    ,0.6    ,6.8    ,25.3    ,9.9    ,2.5    ,74.1    ,25.9    ,71.0    ,27.8    ,45.1    ,2.5    ,38.3    ,16.7    ,6.8    ,28.4    ,2.5    ,47.5    ,1.2    ,46.3    
青森県,60    ,40.0    ,1.7    ,-,-,3.3    ,-,16.7    ,5.0    ,5.0    ,1.7    ,-,5.0    ,11.7    ,1.7    ,-,61.7    ,38.3    ,60.0    ,6.7    ,41.7    ,3.3    ,21.7    ,6.7    ,5.0    ,11.7    ,-,45.0    ,-,45.0    
岩手県,30    ,23.3    ,-,-,-,3.3    ,-,20.0    ,10.0    ,16.7    ,-,-,6.7    ,23.3    ,-,-,63.3    ,36.7    ,63.3    ,10.0    ,23.3    ,3.3    ,30.0    ,16.7    ,6.7    ,23.3    ,-,26.7    ,-,26.7    
宮城県,80    ,42.5    ,1.3    ,1.3    ,1.3    ,11.3    ,1.3    ,13.8    ,3.8    ,6.3    ,2.5    ,1.3    ,15.0    ,30.0    ,18.8    ,-,83.8    ,16.3    ,82.5    ,22.5    ,45.0    ,12.5    ,16.3    ,10.0    ,15.0    ,35.0    ,-,57.5    ,2.5    ,56.3    
秋田県,26    ,65.4    ,-,7.7    ,-,11.5    ,7.7    ,38.5    ,23.1    ,7.7    ,-,-,19.2    ,42.3    ,46.2    ,3.8    ,96.2    ,3.8    ,96.2    ,50.0    ,65.4    ,19.2    ,53.8    ,7.7    ,19.2    ,61.5    ,3.8    ,69.2    ,15.4    ,65.4    
山形県,29    ,34.5    ,-,-,-,-,-,17.2    ,10.3    ,10.3    ,-,-,17.2    ,24.1    ,-,-,79.3    ,20.7    ,75.9    ,10.3    ,34.5    ,-,27.6    ,10.3    ,17.2    ,24.1    ,-,34.5    ,-,34.5    
福島県,43    ,30.2    ,-,-,2.3    ,-,-,34.9    ,7.0    ,14.0    ,2.3    ,-,2.3    ,18.6    ,9.3    ,7.0    ,74.4    ,25.6    ,74.4    ,20.9    ,32.6    ,-,41.9    ,16.3    ,2.3    ,20.9    ,7.0    ,32.6    ,-,32.6    
茨城県,82    ,43.9    ,-,1.2    ,1.2    ,3.7    ,1.2    ,29.3    ,12.2    ,12.2    ,3.7    ,-,9.8    ,20.7    ,8.5    ,-,84.1    ,15.9    ,82.9    ,19.5    ,46.3    ,4.9    ,40.2    ,15.9    ,9.8    ,23.2    ,-,51.2    ,2.4    ,48.8    
栃木県,69    ,40.6    ,-,-,-,2.9    ,-,20.3    ,7.2    ,14.5    ,5.8    ,-,7.2    ,23.2    ,10.1    ,-,69.6    ,30.4    ,69.6    ,15.9    ,40.6    ,2.9    ,24.6    ,20.3    ,7.2    ,23.2    ,-,43.5    ,-,43.5    
群馬県,41    ,34.1    ,-,-,-,2.4    ,-,31.7    ,9.8    ,22.0    ,2.4    ,-,19.5    ,12.2    ,4.9    ,-,73.2    ,26.8    ,70.7    ,14.6    ,34.1    ,2.4    ,39.0    ,22.0    ,19.5    ,12.2    ,-,36.6    ,-,36.6    
埼玉県,174    ,44.3    ,0.6    ,0.6    ,3.4    ,2.3    ,0.6    ,18.4    ,11.5    ,9.2    ,5.2    ,0.6    ,6.3    ,15.5    ,5.7    ,1.1    ,70.1    ,29.9    ,67.2    ,16.1    ,48.9    ,2.9    ,29.3    ,13.8    ,6.3    ,18.4    ,1.1    ,50.6    ,1.1    ,50.0    
千葉県,174    ,51.1    ,0.6    ,0.6    ,-,6.3    ,1.1    ,25.3    ,10.9    ,10.9    ,5.2    ,-,9.2    ,19.5    ,2.9    ,1.7    ,83.3    ,16.7    ,81.0    ,13.8    ,52.3    ,7.5    ,35.1    ,14.9    ,9.2    ,19.5    ,1.7    ,58.6    ,1.7    ,56.9    
東京都,237    ,46.8    ,1.7    ,1.7    ,0.8    ,2.5    ,0.8    ,27.0    ,14.8    ,16.5    ,2.5    ,0.4    ,7.2    ,20.7    ,5.9    ,1.7    ,77.6    ,22.4    ,76.4    ,19.0    ,50.2    ,3.4    ,40.1    ,18.1    ,7.2    ,21.9    ,1.7    ,53.6    ,2.5    ,51.1    
神奈川県,207    ,44.0    ,0.5    ,2.4    ,4.3    ,5.8    ,1.0    ,21.3    ,10.1    ,16.4    ,4.3    ,-,9.2    ,17.4    ,11.6    ,3.9    ,80.2    ,19.8    ,76.8    ,20.3    ,49.8    ,6.8    ,30.9    ,19.8    ,9.2    ,22.2    ,3.9    ,56.0    ,3.4    ,52.7    
新潟県,66    ,34.8    ,1.5    ,-,1.5    ,1.5    ,-,24.2    ,6.1    ,10.6    ,9.1    ,-,12.1    ,24.2    ,3.0    ,-,72.7    ,27.3    ,72.7    ,7.6    ,36.4    ,1.5    ,28.8    ,18.2    ,12.1    ,25.8    ,-,37.9    ,-,37.9    
富山県,52    ,36.5    ,1.9    ,1.9    ,5.8    ,1.9    ,1.9    ,44.2    ,11.5    ,11.5    ,-,-,17.3    ,21.2    ,9.6    ,-,92.3    ,7.7    ,90.4    ,21.2    ,44.2    ,3.8    ,51.9    ,11.5    ,17.3    ,28.8    ,-,44.2    ,3.8    ,42.3    
石川県,28    ,53.6    ,-,-,-,-,-,14.3    ,17.9    ,17.9    ,-,-,14.3    ,25.0    ,17.9    ,3.6    ,85.7    ,14.3    ,78.6    ,28.6    ,53.6    ,-,32.1    ,17.9    ,14.3    ,28.6    ,3.6    ,53.6    ,-,53.6    
福井県,34    ,35.3    ,-,-,-,2.9    ,-,23.5    ,5.9    ,26.5    ,5.9    ,-,14.7    ,17.6    ,8.8    ,5.9    ,76.5    ,23.5    ,76.5    ,14.7    ,35.3    ,2.9    ,26.5    ,32.4    ,14.7    ,20.6    ,5.9    ,38.2    ,-,38.2    
山梨県,41    ,48.8    ,-,-,2.4    ,2.4    ,-,22.0    ,7.3    ,2.4    ,7.3    ,-,-,9.8    ,7.3    ,2.4    ,70.7    ,29.3    ,70.7    ,14.6    ,51.2    ,2.4    ,29.3    ,9.8    ,-,14.6    ,2.4    ,53.7    ,-,53.7    
長野県,58    ,31.0    ,-,1.7    ,-,-,-,17.2    ,12.1    ,13.8    ,1.7    ,-,15.5    ,22.4    ,6.9    ,1.7    ,74.1    ,25.9    ,70.7    ,19.0    ,32.8    ,-,29.3    ,15.5    ,15.5    ,22.4    ,1.7    ,32.8    ,1.7    ,31.0    
岐阜県,56    ,41.1    ,-,-,-,-,-,26.8    ,14.3    ,8.9    ,12.5    ,-,16.1    ,21.4    ,8.9    ,-,83.9    ,16.1    ,82.1    ,23.2    ,41.1    ,-,39.3    ,21.4    ,16.1    ,23.2    ,-,41.1    ,-,41.1    
静岡県,104    ,46.2    ,-,1.9    ,3.8    ,-,1.0    ,27.9    ,12.5    ,15.4    ,6.7    ,-,9.6    ,24.0    ,12.5    ,1.9    ,77.9    ,22.1    ,76.9    ,24.0    ,50.0    ,1.0    ,39.4    ,21.2    ,9.6    ,26.9    ,1.9    ,51.0    ,2.9    ,48.1    
愛知県,241    ,42.3    ,0.4    ,0.8    ,0.8    ,2.5    ,1.2    ,24.5    ,9.1    ,10.0    ,6.6    ,-,11.2    ,21.2    ,5.0    ,1.7    ,76.3    ,23.7    ,73.9    ,13.7    ,44.0    ,3.7    ,32.4    ,16.6    ,11.2    ,21.6    ,1.7    ,47.7    ,2.1    ,45.6    
三重県,54    ,50.0    ,1.9    ,-,1.9    ,1.9    ,-,24.1    ,7.4    ,14.8    ,5.6    ,-,7.4    ,16.7    ,7.4    ,-,88.9    ,11.1    ,88.9    ,11.1    ,53.7    ,1.9    ,31.5    ,20.4    ,7.4    ,18.5    ,-,55.6    ,-,55.6    
滋賀県,44    ,38.6    ,-,-,6.8    ,4.5    ,2.3    ,15.9    ,9.1    ,4.5    ,-,-,4.5    ,22.7    ,15.9    ,4.5    ,65.9    ,34.1    ,61.4    ,25.0    ,45.5    ,6.8    ,25.0    ,4.5    ,4.5    ,27.3    ,4.5    ,50.0    ,2.3    ,50.0    
京都府,72    ,40.3    ,-,-,1.4    ,8.3    ,-,30.6    ,8.3    ,13.9    ,1.4    ,-,12.5    ,13.9    ,5.6    ,1.4    ,80.6    ,19.4    ,77.8    ,11.1    ,41.7    ,8.3    ,36.1    ,15.3    ,12.5    ,15.3    ,1.4    ,50.0    ,-,50.0    
大阪府,233    ,47.2    ,0.9    ,1.3    ,4.7    ,3.9    ,0.9    ,22.7    ,13.3    ,14.2    ,5.2    ,-,9.0    ,18.9    ,7.3    ,2.6    ,79.8    ,20.2    ,77.7    ,18.9    ,53.2    ,4.7    ,33.9    ,19.3    ,9.0    ,20.6    ,2.6    ,56.7    ,2.1    ,54.9    
兵庫県,147    ,38.8    ,0.7    ,-,3.4    ,0.7    ,1.4    ,25.9    ,12.2    ,11.6    ,2.7    ,0.7    ,11.6    ,18.4    ,8.2    ,2.0    ,72.8    ,27.2    ,70.7    ,19.0    ,42.9    ,2.0    ,36.1    ,15.0    ,11.6    ,20.4    ,2.0    ,43.5    ,1.4    ,43.5    
奈良県,31    ,51.6    ,-,-,9.7    ,9.7    ,-,29.0    ,19.4    ,22.6    ,3.2    ,-,6.5    ,22.6    ,-,-,80.6    ,19.4    ,80.6    ,19.4    ,54.8    ,9.7    ,45.2    ,22.6    ,6.5    ,22.6    ,-,64.5    ,-,64.5    
和歌山県,27    ,51.9    ,-,-,7.4    ,-,-,25.9    ,3.7    ,3.7    ,-,-,11.1    ,18.5    ,7.4    ,3.7    ,70.4    ,29.6    ,70.4    ,14.8    ,55.6    ,-,25.9    ,3.7    ,11.1    ,22.2    ,3.7    ,55.6    ,-,55.6    
鳥取県,14    ,42.9    ,7.1    ,-,-,-,7.1    ,7.1    ,14.3    ,7.1    ,7.1    ,-,7.1    ,14.3    ,-,-,71.4    ,28.6    ,71.4    ,14.3    ,50.0    ,7.1    ,21.4    ,14.3    ,7.1    ,14.3    ,-,57.1    ,7.1    ,50.0    
島根県,21    ,52.4    ,4.8    ,-,-,-,-,4.8    ,-,-,-,-,4.8    ,9.5    ,-,-,66.7    ,33.3    ,66.7    ,-,57.1    ,-,4.8    ,-,4.8    ,9.5    ,-,57.1    ,-,57.1    
岡山県,65    ,44.6    ,-,-,1.5    ,15.4    ,3.1    ,33.8    ,18.5    ,26.2    ,6.2    ,-,12.3    ,16.9    ,6.2    ,4.6    ,87.7    ,12.3    ,86.2    ,23.1    ,46.2    ,18.5    ,47.7    ,30.8    ,12.3    ,20.0    ,4.6    ,63.1    ,3.1    ,60.0    
広島県,72    ,48.6    ,-,-,2.8    ,6.9    ,-,27.8    ,16.7    ,18.1    ,4.2    ,1.4    ,13.9    ,11.1    ,5.6    ,-,86.1    ,13.9    ,84.7    ,20.8    ,51.4    ,6.9    ,44.4    ,23.6    ,13.9    ,13.9    ,-,58.3    ,-,58.3    
山口県,45    ,33.3    ,2.2    ,-,-,6.7    ,2.2    ,15.6    ,17.8    ,11.1    ,2.2    ,-,8.9    ,8.9    ,4.4    ,-,68.9    ,31.1    ,64.4    ,20.0    ,35.6    ,8.9    ,33.3    ,13.3    ,8.9    ,11.1    ,-,44.4    ,2.2    ,42.2    
徳島県,26    ,23.1    ,-,-,-,11.5    ,-,26.9    ,11.5    ,19.2    ,-,-,7.7    ,19.2    ,11.5    ,-,69.2    ,30.8    ,69.2    ,19.2    ,23.1    ,11.5    ,34.6    ,19.2    ,7.7    ,19.2    ,-,30.8    ,-,30.8    
香川県,33    ,36.4    ,-,-,-,-,-,33.3    ,6.1    ,9.1    ,-,-,18.2    ,15.2    ,3.0    ,3.0    ,81.8    ,18.2    ,78.8    ,12.1    ,36.4    ,-,36.4    ,9.1    ,18.2    ,15.2    ,3.0    ,36.4    ,-,36.4    
愛媛県,34    ,38.2    ,-,-,-,-,2.9    ,20.6    ,8.8    ,11.8    ,5.9    ,-,-,8.8    ,2.9    ,-,61.8    ,38.2    ,61.8    ,11.8    ,38.2    ,2.9    ,29.4    ,17.6    ,-,11.8    ,-,41.2    ,2.9    ,38.2    
高知県,16    ,56.3    ,-,-,6.3    ,-,-,18.8    ,12.5    ,6.3    ,-,-,-,18.8    ,6.3    ,6.3    ,56.3    ,43.8    ,56.3    ,18.8    ,56.3    ,-,25.0    ,6.3    ,-,18.8    ,6.3    ,56.3    ,-,56.3    
福岡県,155    ,42.6    ,-,0.6    ,0.6    ,3.9    ,0.6    ,14.8    ,7.7    ,8.4    ,1.9    ,-,8.4    ,12.9    ,7.1    ,0.6    ,67.1    ,32.9    ,66.5    ,13.5    ,43.9    ,4.5    ,21.9    ,10.3    ,8.4    ,14.2    ,0.6    ,48.4    ,1.3    ,47.1    
佐賀県,20    ,35.0    ,-,-,-,-,-,30.0    ,5.0    ,5.0    ,15.0    ,-,5.0    ,10.0    ,15.0    ,-,75.0    ,25.0    ,70.0    ,20.0    ,35.0    ,-,35.0    ,20.0    ,5.0    ,15.0    ,-,35.0    ,-,35.0    
長崎県,44    ,25.0    ,-,2.3    ,6.8    ,6.8    ,-,11.4    ,9.1    ,13.6    ,2.3    ,-,-,4.5    ,4.5    ,4.5    ,56.8    ,43.2    ,54.5    ,15.9    ,34.1    ,6.8    ,20.5    ,15.9    ,-,9.1    ,4.5    ,40.9    ,2.3    ,38.6    
熊本県,43    ,51.2    ,-,-,2.3    ,-,-,18.6    ,11.6    ,23.3    ,11.6    ,-,23.3    ,20.9    ,23.3    ,-,79.1    ,20.9    ,76.7    ,32.6    ,51.2    ,-,30.2    ,27.9    ,23.3    ,32.6    ,-,51.2    ,-,51.2    
大分県,31    ,29.0    ,-,-,-,-,3.2    ,9.7    ,3.2    ,-,-,-,3.2    ,12.9    ,-,-,48.4    ,51.6    ,45.2    ,3.2    ,29.0    ,3.2    ,12.9    ,-,3.2    ,12.9    ,-,32.3    ,3.2    ,29.0    
宮崎県,40    ,42.5    ,-,2.5    ,-,2.5    ,-,17.5    ,7.5    ,17.5    ,5.0    ,-,12.5    ,5.0    ,12.5    ,2.5    ,70.0    ,30.0    ,67.5    ,20.0    ,45.0    ,2.5    ,25.0    ,22.5    ,12.5    ,12.5    ,2.5    ,47.5    ,2.5    ,45.0    
鹿児島県,33    ,45.5    ,-,-,3.0    ,-,3.0    ,21.2    ,3.0    ,9.1    ,-,-,6.1    ,21.2    ,9.1    ,-,66.7    ,33.3    ,66.7    ,12.1    ,45.5    ,3.0    ,24.2    ,9.1    ,6.1    ,24.2    ,-,48.5    ,3.0    ,45.5    
沖縄県,47    ,44.7    ,-,-,8.5    ,-,-,19.1    ,6.4    ,10.6    ,-,-,2.1    ,6.4    ,2.1    ,-,72.3    ,27.7    ,68.1    ,8.5    ,51.1    ,-,25.5    ,10.6    ,2.1    ,6.4    ,-,51.1    ,-,51.1    
Ｑ１〔機器の利用状況〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
スマートフォン,1541    ,95.7    ,0.1    ,0.2    ,1.0    ,0.6    ,0.3    ,26.3    ,13.2    ,10.5    ,2.6    ,0.1    ,9.5    ,15.1    ,8.4    ,2.2    ,96.9    ,3.1    ,96.8    ,20.9    ,95.7    ,0.8    ,37.7    ,12.7    ,9.5    ,17.7    ,2.2    ,95.8    ,0.5    ,95.8    
格安スマートフォン,22    ,9.1    ,86.4    ,-,-,9.1    ,-,22.7    ,13.6    ,4.5    ,-,-,4.5    ,4.5    ,4.5    ,4.5    ,90.9    ,9.1    ,90.9    ,22.7    ,86.4    ,9.1    ,36.4    ,4.5    ,4.5    ,9.1    ,4.5    ,90.9    ,-,90.9    
機能限定・子供向けスマートフォン,60    ,11.7    ,-,46.7    ,3.3    ,1.7    ,-,11.7    ,5.0    ,16.7    ,6.7    ,-,3.3    ,15.0    ,5.0    ,1.7    ,76.7    ,23.3    ,76.7    ,8.3    ,55.0    ,1.7    ,16.7    ,21.7    ,3.3    ,15.0    ,1.7    ,55.0    ,46.7    ,15.0    
契約切れスマートフォン,100    ,33.0    ,1.0    ,1.0    ,73.0    ,4.0    ,2.0    ,29.0    ,15.0    ,14.0    ,4.0    ,-,7.0    ,30.0    ,10.0    ,5.0    ,97.0    ,3.0    ,96.0    ,26.0    ,90.0    ,6.0    ,41.0    ,18.0    ,7.0    ,32.0    ,5.0    ,90.0    ,3.0    ,90.0    
携帯電話,392    ,8.2    ,0.5    ,0.5    ,3.3    ,30.6    ,-,27.0    ,13.8    ,18.6    ,4.3    ,-,11.7    ,22.4    ,7.7    ,2.6    ,75.0    ,25.0    ,70.9    ,19.6    ,11.7    ,30.6    ,39.8    ,21.9    ,11.7    ,23.7    ,2.6    ,39.0    ,0.5    ,38.8    
機能限定電話・子ども向け携帯電話,307    ,7.8    ,0.3    ,-,2.6    ,-,9.8    ,18.2    ,9.4    ,16.0    ,4.9    ,0.3    ,5.5    ,19.2    ,7.8    ,0.7    ,58.3    ,41.7    ,56.0    ,16.9    ,10.4    ,9.8    ,26.1    ,20.5    ,5.5    ,21.5    ,0.7    ,18.2    ,9.8    ,10.4    
ノートパソコン,846    ,49.3    ,0.5    ,0.4    ,2.7    ,4.7    ,0.9    ,93.7    ,5.4    ,14.2    ,5.1    ,0.4    ,13.8    ,25.8    ,11.5    ,2.4    ,97.6    ,2.4    ,97.6    ,17.1    ,51.7    ,5.7    ,94.0    ,18.8    ,13.8    ,29.2    ,2.4    ,56.7    ,1.3    ,55.7    
デスクトップパソコン,409    ,52.8    ,0.7    ,0.5    ,2.7    ,3.2    ,1.0    ,11.5    ,92.9    ,19.6    ,5.1    ,-,12.5    ,26.4    ,14.9    ,6.1    ,97.8    ,2.2    ,83.6    ,93.2    ,55.5    ,4.2    ,93.6    ,24.0    ,12.5    ,30.1    ,6.1    ,58.9    ,1.5    ,57.7    
タブレット,483    ,35.2    ,-,0.6    ,2.3    ,4.3    ,1.2    ,25.5    ,16.1    ,89.9    ,3.1    ,0.2    ,11.4    ,22.8    ,12.4    ,2.9    ,94.8    ,5.2    ,94.8    ,26.3    ,37.5    ,5.6    ,39.1    ,89.9    ,11.4    ,27.5    ,2.9    ,42.2    ,1.9    ,40.6    
学習用タブレット,202    ,28.2    ,-,0.5    ,1.5    ,4.0    ,1.5    ,27.7    ,14.9    ,11.9    ,68.8    ,0.5    ,11.9    ,35.6    ,13.4    ,1.0    ,90.1    ,9.9    ,89.6    ,25.2    ,30.2    ,5.4    ,41.6    ,73.3    ,11.9    ,38.1    ,1.0    ,35.1    ,2.0    ,33.7    
子供向け娯楽用タブレット,9    ,22.2    ,-,-,-,-,-,33.3    ,11.1    ,11.1    ,11.1    ,66.7    ,22.2    ,33.3    ,11.1    ,-,77.8    ,22.2    ,77.8    ,22.2    ,22.2    ,-,44.4    ,66.7    ,22.2    ,33.3    ,-,22.2    ,-,22.2    
