,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 【全数ベース】＜Ｑ１のいずれかの機器を利用している（Ｑ１で「１」～「１５」のいずれかを回答）方に＞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【全数ベース】〔回答票２〕Ｑ２（ネット利用まとめ：1使っている）あなたは、Ｑ１で回答した機器でインターネットを使っていますか。それぞれの機器について、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,スマートフォン,格安スマートフォン,機能限定・子供向けスマートフォン,契約切れスマートフォン,携帯電話,機能限定電話・子ども向け携帯電話,ノートパソコン,デスクトップパソコン,タブレット,学習用タブレット,子供向け娯楽用タブレット,携帯音楽プレイヤー,携帯ゲーム機,据置型ゲーム機,インターネット接続テレビ,インターネット利用（計）,インターネット非利用,モバイル機器（計）,据置型機器（計）,Ａスマートフォン（計）,Ｂ携帯電話（計）,Ｃパソコン（計）,Ｄタブレット（計）,Ｅ携帯音楽プレイヤー,Ｆゲーム機（計）,Ｇインターネット接続テレビ,Ａ・Ｂスマートフォン・携帯電話（計）,Ａ・Ｂ機能限定や子供向け（計）,Ａ・Ｂ機能限定や子供向け以外（計）
  説明を受けたり学んだりした,1266    ,36.8    ,0.8    ,0.6    ,2.8    ,4.9    ,0.8    ,24.4    ,10.9    ,16.1    ,7.0    ,0.2    ,13.3    ,19.4    ,8.6    ,2.1    ,79.9    ,20.1    ,77.4    ,18.5    ,40.1    ,5.7    ,34.0    ,22.5    ,13.3    ,22.7    ,2.1    ,45.1    ,1.4    ,44.0    
  教えてもらったり学んだりしたことはない,49    ,26.5    ,2.0    ,4.1    ,2.0    ,8.2    ,2.0    ,16.3    ,6.1    ,10.2    ,2.0    ,-,16.3    ,6.1    ,4.1    ,4.1    ,67.3    ,32.7    ,65.3    ,8.2    ,34.7    ,10.2    ,20.4    ,12.2    ,16.3    ,8.2    ,4.1    ,44.9    ,6.1    ,38.8    
  わからない,14    ,28.6    ,-,-,-,-,-,21.4    ,7.1    ,7.1    ,7.1    ,-,14.3    ,28.6    ,14.3    ,7.1    ,71.4    ,28.6    ,71.4    ,21.4    ,28.6    ,-,28.6    ,14.3    ,14.3    ,28.6    ,7.1    ,28.6    ,-,28.6    
高校生（計）,1007    ,86.8    ,0.4    ,0.8    ,1.0    ,2.9    ,0.1    ,28.1    ,14.9    ,9.0    ,1.5    ,-,11.1    ,11.0    ,6.9    ,1.7    ,95.8    ,4.2    ,95.2    ,20.9    ,88.2    ,3.0    ,41.2    ,10.2    ,11.1    ,13.6    ,1.7    ,91.0    ,0.9    ,90.4    
  説明を受けたり学んだりした,955    ,87.1    ,0.4    ,0.7    ,0.9    ,2.5    ,-,28.7    ,15.3    ,9.1    ,1.6    ,-,11.5    ,11.6    ,7.2    ,1.7    ,95.9    ,4.1    ,95.4    ,21.5    ,88.5    ,2.5    ,42.2    ,10.4    ,11.5    ,14.3    ,1.7    ,90.9    ,0.7    ,90.3    
  教えてもらったり学んだりしたことはない,46    ,78.3    ,-,2.2    ,2.2    ,10.9    ,-,17.4    ,8.7    ,6.5    ,-,-,4.3    ,-,-,-,93.5    ,6.5    ,91.3    ,8.7    ,80.4    ,10.9    ,23.9    ,6.5    ,4.3    ,-,-,91.3    ,2.2    ,91.3    
  わからない,6    ,100.0    ,-,-,-,-,16.7    ,16.7    ,-,16.7    ,-,-,-,-,-,16.7    ,100.0    ,-,100.0    ,16.7    ,100.0    ,16.7    ,16.7    ,16.7    ,-,-,16.7    ,100.0    ,16.7    ,100.0    
〔家庭のルール・学校種別〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  ルールを決めている（計）,1651    ,52.3    ,0.8    ,1.3    ,2.7    ,4.7    ,1.1    ,33.1    ,15.6    ,18.7    ,6.5    ,0.4    ,12.5    ,26.4    ,11.0    ,2.2    ,100.0    ,-,97.0    ,25.3    ,56.2    ,5.8    ,47.0    ,24.8    ,12.5    ,29.5    ,2.2    ,61.1    ,2.4    ,59.2    
  特にルールを決めていない,937    ,64.4    ,0.6    ,0.6    ,2.8    ,4.6    ,1.2    ,26.1    ,12.8    ,12.7    ,3.2    ,-,12.8    ,20.6    ,8.9    ,2.2    ,100.0    ,-,98.2    ,20.2    ,67.7    ,5.8    ,37.2    ,15.4    ,12.8    ,23.8    ,2.2    ,72.9    ,1.8    ,71.3    
