,,,,,,,,,,,,,,,,,,,,,,,,,
＜いずれかの機器でインターネットを使っている（Ｑ２で、1つ以上「１」を回答）方に＞,,,,,,,,,,,,,,,,,,,,,,,,,
〔回答票６〕Ｑ６　あなたは、インターネットを使っていて、このようなことがありますか。この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,,,,,,,,
,該当数,悪口等のメール・メッセージ送られた,悪口等のメール・メッセージ送った,掲示板で自分や他人の情報書き込んだ,親に話しにくいサイトを見た,ゲームなどでお金を使いすぎた,差別内容掲載サイトにアクセスする,知らない人や、お店からメール来た,迷惑メッセージ・メールを送られた,ネットで知り合った人とメール等した,ネットで知り合った同性と会った,ネットで知り合った異性と会った,ネットで知り合った人との関係悩んだ,ネットにのめりこんで勉強できない,その他困ったことがある,メール受信関連（計）,メール送信関連（計）,メール関連（計）,サイトアクセス関連（計）,ＳＮＳ等関連（計）,その他（計）,あてはまるものがある（計）,あてはまるものはない,わからない,回答計
  ルールを決めている（計）,1651    ,4.5    ,1.2    ,3.3    ,2.1    ,1.7    ,0.5    ,17.9    ,22.7    ,12.2    ,2.5    ,0.8    ,1.2    ,13.7    ,1.3    ,31.0    ,1.2    ,31.0    ,6.4    ,12.7    ,15.0    ,42.6    ,56.7    ,0.7    ,143.1    
  特にルールを決めていない,937    ,2.7    ,1.0    ,3.5    ,2.0    ,2.3    ,0.7    ,14.5    ,23.1    ,9.4    ,2.8    ,1.7    ,0.3    ,10.6    ,1.8    ,27.1    ,1.0    ,27.3    ,7.2    ,10.4    ,12.5    ,37.4    ,62.1    ,0.5    ,139.1    
  わからない,27    ,-,-,3.7    ,-,-,-,11.1    ,3.7    ,-,-,-,-,7.4    ,-,11.1    ,-,11.1    ,3.7    ,-,7.4    ,18.5    ,48.1    ,33.3    ,107.4    
小学生（計）,572    ,3.0    ,1.0    ,0.9    ,1.2    ,0.2    ,-,4.4    ,2.8    ,3.8    ,0.7    ,0.7    ,0.5    ,5.8    ,1.2    ,8.9    ,1.0    ,8.9    ,1.9    ,4.5    ,6.8    ,16.4    ,81.5    ,2.1    ,109.8    
  ルールを決めている（計）,424    ,4.0    ,1.4    ,0.7    ,1.4    ,0.2    ,-,5.2    ,2.8    ,4.7    ,0.2    ,0.2    ,0.7    ,6.4    ,0.9    ,10.6    ,1.4    ,10.6    ,1.9    ,5.0    ,7.1    ,17.5    ,81.1    ,1.4    ,111.6    
  特にルールを決めていない,135    ,-,-,1.5    ,0.7    ,-,-,2.2    ,3.0    ,1.5    ,2.2    ,2.2    ,-,3.7    ,2.2    ,4.4    ,-,4.4    ,2.2    ,3.7    ,5.9    ,14.1    ,84.4    ,1.5    ,105.2    
  わからない,13    ,-,-,-,-,-,-,-,-,-,-,-,-,7.7    ,-,-,-,-,-,-,7.7    ,7.7    ,61.5    ,30.8    ,100.0    
中学生（計）,1055    ,3.8    ,1.0    ,3.1    ,1.3    ,2.1    ,0.3    ,15.1    ,17.3    ,10.9    ,2.5    ,1.0    ,0.9    ,12.2    ,1.5    ,25.7    ,1.0    ,26.0    ,6.0    ,11.7    ,13.7    ,38.7    ,60.4    ,0.9    ,134.3    
  ルールを決めている（計）,731    ,4.4    ,1.1    ,3.0    ,1.6    ,2.2    ,0.4    ,16.3    ,18.2    ,12.0    ,2.6    ,1.1    ,1.2    ,13.3    ,1.6    ,28.0    ,1.1    ,28.2    ,6.2    ,12.9    ,14.9    ,42.0    ,57.5    ,0.5    ,137.1    
  特にルールを決めていない,315    ,2.5    ,1.0    ,3.5    ,0.6    ,1.9    ,-,12.7    ,15.6    ,8.6    ,2.2    ,1.0    ,-,10.2    ,1.3    ,21.0    ,1.0    ,21.6    ,5.7    ,9.2    ,11.4    ,32.1    ,67.3    ,0.6    ,128.9    
  わからない,9    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55.6    ,44.4    ,100.0    
高校生（計）,965    ,4.0    ,1.1    ,5.1    ,3.3    ,2.8    ,1.3    ,25.4    ,39.9    ,15.2    ,3.7    ,1.3    ,0.9    ,16.7    ,1.7    ,45.3    ,1.1    ,45.3    ,10.2    ,15.9    ,18.4    ,56.7    ,42.9    ,0.4    ,165.9    
  ルールを決めている（計）,488    ,4.9    ,1.0    ,5.9    ,3.5    ,2.3    ,1.2    ,31.6    ,46.5    ,18.9    ,4.5    ,1.0    ,1.2    ,20.7    ,1.2    ,52.9    ,1.0    ,52.9    ,10.7    ,19.3    ,21.9    ,65.4    ,34.2    ,0.4    ,179.1    
  特にルールを決めていない,472    ,3.2    ,1.3    ,4.0    ,3.2    ,3.4    ,1.5    ,18.6    ,33.3    ,11.7    ,3.0    ,1.7    ,0.6    ,12.5    ,2.1    ,37.3    ,1.3    ,37.3    ,9.5    ,12.5    ,14.8    ,47.5    ,52.3    ,0.2    ,152.5    
  わからない,5    ,-,-,20.0    ,-,-,-,60.0    ,20.0    ,-,-,-,-,20.0    ,-,60.0    ,-,60.0    ,20.0    ,-,20.0    ,80.0    ,-,20.0    ,140.0    
Ｑ２〔インターネット利用・学校種別〕,,,,,,,,,,,,,,,,,,,,,,,,,
  インターネット利用（計）,2615    ,3.8    ,1.1    ,3.4    ,2.1    ,1.9    ,0.6    ,16.6    ,22.6    ,11.1    ,2.6    ,1.1    ,0.8    ,12.5    ,1.5    ,29.4    ,1.1    ,29.5    ,6.6    ,11.7    ,14.0    ,40.5    ,58.5    ,1.0    ,141.3    
  インターネット非利用（含わからない）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
