,,,,,,,,,,,,,,,,,,,,,,,,,
＜いずれかの機器でインターネットを使っている（Ｑ２で、1つ以上「１」を回答）方に＞,,,,,,,,,,,,,,,,,,,,,,,,,
〔回答票６〕Ｑ６　あなたは、インターネットを使っていて、このようなことがありますか。この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,,,,,,,,,,,,,,
,該当数,悪口等のメール・メッセージ送られた,悪口等のメール・メッセージ送った,掲示板で自分や他人の情報書き込んだ,親に話しにくいサイトを見た,ゲームなどでお金を使いすぎた,差別内容掲載サイトにアクセスする,知らない人や、お店からメール来た,迷惑メッセージ・メールを送られた,ネットで知り合った人とメール等した,ネットで知り合った同性と会った,ネットで知り合った異性と会った,ネットで知り合った人との関係悩んだ,ネットにのめりこんで勉強できない,その他困ったことがある,メール受信関連（計）,メール送信関連（計）,メール関連（計）,サイトアクセス関連（計）,ＳＮＳ等関連（計）,その他（計）,あてはまるものがある（計）,あてはまるものはない,わからない,回答計
音楽視聴（計）,1607    ,4.9    ,1.6    ,5.1    ,2.6    ,2.2    ,0.9    ,22.3    ,30.7    ,15.6    ,3.6    ,1.5    ,1.2    ,16.1    ,1.1    ,38.4    ,1.6    ,38.5    ,8.8    ,16.4    ,17.1    ,50.7    ,48.7    ,0.6    ,158.7    
動画視聴（計）,1804    ,4.6    ,1.4    ,4.3    ,2.8    ,2.4    ,0.8    ,21.0    ,27.8    ,14.5    ,3.4    ,1.5    ,1.1    ,16.1    ,1.5    ,35.5    ,1.4    ,35.6    ,8.5    ,15.3    ,17.6    ,48.6    ,50.9    ,0.6    ,154.8    
電子書籍（計）,303    ,6.9    ,3.0    ,11.2    ,6.6    ,4.0    ,1.7    ,28.1    ,38.6    ,25.4    ,5.3    ,0.7    ,3.3    ,22.8    ,2.0    ,45.2    ,3.0    ,45.5    ,17.2    ,26.7    ,24.4    ,62.0    ,37.6    ,0.3    ,197.4    
ゲーム（計）,1856    ,4.1    ,1.3    ,3.7    ,2.5    ,2.5    ,0.8    ,18.9    ,25.2    ,13.0    ,2.6    ,1.4    ,1.1    ,14.6    ,1.3    ,32.7    ,1.3    ,32.8    ,7.7    ,13.5    ,15.8    ,44.0    ,55.2    ,0.9    ,149.0    
ショッピング・オークション（計）,299    ,7.0    ,3.0    ,6.7    ,4.3    ,4.3    ,3.3    ,28.4    ,45.2    ,26.4    ,7.7    ,3.7    ,2.7    ,21.1    ,1.3    ,50.8    ,3.0    ,50.8    ,14.0    ,27.4    ,22.4    ,63.9    ,35.8    ,0.3    ,201.3    
その他（計）,185    ,8.6    ,1.6    ,5.9    ,3.2    ,3.8    ,3.2    ,18.4    ,24.9    ,16.8    ,3.2    ,2.2    ,2.7    ,13.5    ,2.2    ,34.1    ,1.6    ,34.1    ,13.0    ,17.3    ,15.7    ,46.5    ,53.5    ,-,163.8    
わからない（計）,67    ,10.4    ,1.5    ,3.0    ,1.5    ,3.0    ,1.5    ,11.9    ,16.4    ,10.4    ,3.0    ,1.5    ,1.5    ,11.9    ,1.5    ,22.4    ,1.5    ,22.4    ,6.0    ,10.4    ,13.4    ,31.3    ,64.2    ,4.5    ,147.8    
Ｑ３〔ネット利用項目（Ａ１スマホ／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,1292    ,5.2    ,1.4    ,6.0    ,2.6    ,2.2    ,1.0    ,25.8    ,37.6    ,15.9    ,4.0    ,1.7    ,1.2    ,16.3    ,1.4    ,45.4    ,1.4    ,45.6    ,9.5    ,16.6    ,17.8    ,56.6    ,42.9    ,0.5    ,165.8    
ニュース,431    ,6.0    ,2.1    ,7.4    ,4.6    ,3.0    ,2.1    ,29.9    ,43.2    ,21.3    ,5.6    ,2.6    ,2.8    ,20.2    ,1.2    ,50.1    ,2.1    ,50.1    ,13.0    ,22.3    ,21.6    ,61.5    ,38.3    ,0.2    ,190.5    
情報検索,920    ,6.0    ,1.4    ,6.5    ,3.7    ,2.6    ,1.2    ,28.0    ,40.4    ,16.7    ,4.6    ,1.7    ,1.4    ,19.1    ,1.6    ,49.0    ,1.4    ,49.0    ,11.1    ,17.5    ,20.8    ,60.1    ,39.7    ,0.2    ,175.0    
地図・ナビゲーション,548    ,7.3    ,2.2    ,8.9    ,4.9    ,3.6    ,2.0    ,33.8    ,48.2    ,22.4    ,6.0    ,3.1    ,2.4    ,20.8    ,1.5    ,56.4    ,2.2    ,56.6    ,14.8    ,23.2    ,22.3    ,67.2    ,32.7    ,0.2    ,200.0    
音楽視聴,1052    ,5.8    ,1.8    ,6.6    ,2.9    ,2.6    ,1.2    ,27.1    ,39.8    ,17.2    ,4.4    ,2.0    ,1.5    ,17.6    ,1.1    ,47.1    ,1.8    ,47.1    ,10.6    ,18.0    ,18.7    ,57.8    ,41.9    ,0.3    ,173.9    
動画視聴,1068    ,5.8    ,1.6    ,6.3    ,3.3    ,2.7    ,1.1    ,27.8    ,39.0    ,17.2    ,4.2    ,1.9    ,1.2    ,17.7    ,1.3    ,47.3    ,1.6    ,47.5    ,10.8    ,17.9    ,18.9    ,58.6    ,41.1    ,0.3    ,172.6    
電子書籍,218    ,8.3    ,2.8    ,13.3    ,7.3    ,5.0    ,1.8    ,33.0    ,47.7    ,26.1    ,5.5    ,0.5    ,4.1    ,24.3    ,1.4    ,53.7    ,2.8    ,53.7    ,19.7    ,27.1    ,25.7    ,67.9    ,32.1    ,-,213.3    
ゲーム,1054    ,5.1    ,1.6    ,5.6    ,3.1    ,2.8    ,1.0    ,25.5    ,38.1    ,16.3    ,3.6    ,1.8    ,1.5    ,17.6    ,1.3    ,45.6    ,1.6    ,45.8    ,10.2    ,16.9    ,19.0    ,56.4    ,43.0    ,0.7    ,168.9    
ショッピング・オークション,177    ,9.6    ,4.0    ,9.0    ,6.8    ,6.2    ,5.1    ,31.1    ,49.7    ,27.7    ,9.0    ,3.4    ,3.4    ,19.2    ,0.6    ,53.1    ,4.0    ,53.1    ,19.2    ,28.2    ,19.8    ,63.3    ,36.2    ,0.6    ,221.5    
その他,39    ,2.6    ,2.6    ,7.7    ,5.1    ,10.3    ,5.1    ,30.8    ,30.8    ,25.6    ,2.6    ,-,2.6    ,25.6    ,5.1    ,43.6    ,2.6    ,43.6    ,23.1    ,28.2    ,30.8    ,74.4    ,25.6    ,-,182.1    
わからない,3    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66.7    ,33.3    ,100.0    
Ｑ３〔ネット利用項目（Ａ２格安スマホ／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,14    ,7.1    ,-,-,-,-,-,42.9    ,50.0    ,7.1    ,-,-,7.1    ,14.3    ,-,50.0    ,-,50.0    ,-,7.1    ,14.3    ,57.1    ,42.9    ,-,171.4    
ニュース,6    ,16.7    ,-,-,-,-,-,50.0    ,50.0    ,16.7    ,-,-,16.7    ,16.7    ,-,50.0    ,-,50.0    ,-,16.7    ,16.7    ,50.0    ,50.0    ,-,216.7    
情報検索,9    ,11.1    ,-,-,-,-,-,33.3    ,44.4    ,11.1    ,-,-,11.1    ,11.1    ,-,44.4    ,-,44.4    ,-,11.1    ,11.1    ,44.4    ,55.6    ,-,177.8    
地図・ナビゲーション,6    ,16.7    ,-,-,-,-,-,33.3    ,50.0    ,16.7    ,-,-,16.7    ,33.3    ,-,50.0    ,-,50.0    ,-,16.7    ,33.3    ,66.7    ,33.3    ,-,200.0    
音楽視聴,11    ,-,-,-,-,-,-,36.4    ,45.5    ,-,-,-,-,9.1    ,-,45.5    ,-,45.5    ,-,-,9.1    ,54.5    ,45.5    ,-,136.4    
動画視聴,11    ,9.1    ,-,-,-,-,-,36.4    ,45.5    ,9.1    ,-,-,9.1    ,27.3    ,-,45.5    ,-,45.5    ,-,9.1    ,27.3    ,63.6    ,36.4    ,-,172.7    
電子書籍,2    ,-,-,-,-,-,-,-,50.0    ,-,-,-,-,-,-,50.0    ,-,50.0    ,-,-,-,50.0    ,50.0    ,-,100.0    
ゲーム,14    ,7.1    ,-,-,-,-,-,35.7    ,42.9    ,7.1    ,-,-,7.1    ,21.4    ,-,42.9    ,-,42.9    ,-,7.1    ,21.4    ,57.1    ,42.9    ,-,164.3    
ショッピング・オークション,1    ,-,-,-,-,-,-,-,100.0    ,-,-,-,-,-,-,100.0    ,-,100.0    ,-,-,-,100.0    ,-,-,100.0    
その他,1    ,100.0    ,-,-,-,-,-,100.0    ,100.0    ,100.0    ,-,-,100.0    ,100.0    ,-,100.0    ,-,100.0    ,-,100.0    ,100.0    ,100.0    ,-,-,600.0    
わからない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ｑ３〔ネット利用項目（Ａ３子供スマホ／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,17    ,-,-,-,-,5.9    ,-,11.8    ,23.5    ,-,-,-,-,11.8    ,5.9    ,23.5    ,-,23.5    ,5.9    ,-,17.6    ,41.2    ,58.8    ,-,117.6    
ニュース,2    ,-,-,-,-,50.0    ,-,-,-,-,-,-,-,-,50.0    ,-,-,-,50.0    ,-,50.0    ,100.0    ,-,-,100.0    
情報検索,12    ,-,-,-,-,8.3    ,-,16.7    ,33.3    ,-,-,-,-,8.3    ,8.3    ,33.3    ,-,33.3    ,8.3    ,-,16.7    ,50.0    ,50.0    ,-,125.0    
地図・ナビゲーション,6    ,-,-,-,-,-,-,33.3    ,66.7    ,-,-,-,-,16.7    ,16.7    ,66.7    ,-,66.7    ,-,-,33.3    ,83.3    ,16.7    ,-,150.0    
音楽視聴,9    ,-,-,-,11.1    ,-,-,11.1    ,33.3    ,11.1    ,-,-,-,11.1    ,11.1    ,33.3    ,-,33.3    ,11.1    ,11.1    ,22.2    ,44.4    ,55.6    ,-,144.4    
動画視聴,10    ,-,-,-,10.0    ,10.0    ,-,20.0    ,40.0    ,10.0    ,-,-,-,20.0    ,10.0    ,40.0    ,-,40.0    ,20.0    ,10.0    ,30.0    ,60.0    ,40.0    ,-,160.0    
電子書籍,1    ,-,-,-,-,-,-,100.0    ,100.0    ,-,-,-,-,-,-,100.0    ,-,100.0    ,-,-,-,100.0    ,-,-,200.0    
ゲーム,12    ,-,-,-,-,-,-,16.7    ,33.3    ,-,-,-,-,8.3    ,-,33.3    ,-,33.3    ,-,-,8.3    ,33.3    ,66.7    ,-,125.0    
ショッピング・オークション,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他,3    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0    ,-,100.0    
わからない,3    ,-,-,-,-,-,-,-,-,-,-,-,-,-,33.3    ,-,-,-,-,-,33.3    ,33.3    ,66.7    ,-,100.0    
Ｑ３〔ネット利用項目（Ａ４契約切れスマホ／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,31    ,3.2    ,-,3.2    ,-,-,-,12.9    ,12.9    ,16.1    ,-,-,-,16.1    ,6.5    ,22.6    ,-,22.6    ,3.2    ,16.1    ,22.6    ,48.4    ,51.6    ,-,122.6    
ニュース,11    ,-,-,-,-,9.1    ,-,9.1    ,27.3    ,9.1    ,-,-,-,27.3    ,-,27.3    ,-,27.3    ,9.1    ,9.1    ,27.3    ,54.5    ,45.5    ,-,127.3    
情報検索,33    ,6.1    ,-,3.0    ,-,3.0    ,-,18.2    ,15.2    ,21.2    ,6.1    ,-,-,21.2    ,-,27.3    ,-,27.3    ,6.1    ,21.2    ,21.2    ,45.5    ,54.5    ,-,148.5    
地図・ナビゲーション,7    ,-,-,14.3    ,-,-,-,28.6    ,28.6    ,42.9    ,-,-,-,14.3    ,-,42.9    ,-,42.9    ,14.3    ,42.9    ,14.3    ,57.1    ,42.9    ,-,171.4    
音楽視聴,33    ,6.1    ,-,3.0    ,-,3.0    ,6.1    ,15.2    ,18.2    ,27.3    ,6.1    ,3.0    ,-,18.2    ,-,27.3    ,-,27.3    ,9.1    ,27.3    ,18.2    ,45.5    ,54.5    ,-,160.6    
動画視聴,43    ,2.3    ,-,2.3    ,-,7.0    ,2.3    ,18.6    ,14.0    ,23.3    ,4.7    ,-,-,25.6    ,-,25.6    ,-,25.6    ,9.3    ,23.3    ,25.6    ,51.2    ,48.8    ,-,148.8    
電子書籍,3    ,-,-,33.3    ,-,-,-,66.7    ,33.3    ,100.0    ,-,-,-,33.3    ,-,66.7    ,-,66.7    ,33.3    ,100.0    ,33.3    ,100.0    ,-,-,266.7    
ゲーム,50    ,2.0    ,-,2.0    ,-,4.0    ,2.0    ,14.0    ,10.0    ,16.0    ,4.0    ,2.0    ,-,18.0    ,-,20.0    ,-,20.0    ,8.0    ,16.0    ,18.0    ,36.0    ,64.0    ,-,138.0    
ショッピング・オークション,4    ,-,-,-,-,-,-,25.0    ,50.0    ,50.0    ,-,-,-,25.0    ,-,50.0    ,-,50.0    ,-,50.0    ,25.0    ,75.0    ,25.0    ,-,175.0    
その他,1    ,-,-,-,-,-,-,-,100.0    ,-,-,-,-,-,100.0    ,100.0    ,-,100.0    ,-,-,100.0    ,100.0    ,-,-,200.0    
わからない,1    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0    ,-,100.0    
Ｑ３〔ネット利用項目（Ｂ１携帯電話／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,109    ,4.6    ,-,2.8    ,5.5    ,0.9    ,0.9    ,15.6    ,16.5    ,9.2    ,1.8    ,0.9    ,-,10.1    ,2.8    ,30.3    ,-,30.3    ,8.3    ,10.1    ,11.9    ,41.3    ,58.7    ,-,130.3    
ニュース,11    ,-,-,-,9.1    ,-,-,9.1    ,18.2    ,18.2    ,-,-,-,-,-,18.2    ,-,18.2    ,9.1    ,18.2    ,-,45.5    ,54.5    ,-,109.1    
情報検索,20    ,5.0    ,-,5.0    ,10.0    ,-,5.0    ,15.0    ,35.0    ,15.0    ,5.0    ,-,-,10.0    ,5.0    ,45.0    ,-,45.0    ,15.0    ,20.0    ,15.0    ,60.0    ,40.0    ,-,150.0    
地図・ナビゲーション,7    ,28.6    ,-,-,-,-,-,28.6    ,14.3    ,14.3    ,-,-,-,14.3    ,-,42.9    ,-,42.9    ,-,14.3    ,14.3    ,57.1    ,42.9    ,-,142.9    
音楽視聴,16    ,6.3    ,-,-,6.3    ,6.3    ,-,6.3    ,12.5    ,18.8    ,-,-,-,12.5    ,-,18.8    ,-,18.8    ,12.5    ,18.8    ,12.5    ,43.8    ,56.3    ,-,125.0    
動画視聴,9    ,-,-,-,11.1    ,-,-,-,44.4    ,22.2    ,11.1    ,-,-,22.2    ,11.1    ,44.4    ,-,44.4    ,11.1    ,33.3    ,33.3    ,66.7    ,33.3    ,-,155.6    
電子書籍,3    ,33.3    ,-,-,-,-,-,33.3    ,-,-,-,-,-,-,-,33.3    ,-,33.3    ,-,-,-,33.3    ,66.7    ,-,133.3    
ゲーム,14    ,-,-,-,7.1    ,7.1    ,-,7.1    ,28.6    ,7.1    ,-,-,-,7.1    ,-,28.6    ,-,28.6    ,14.3    ,7.1    ,7.1    ,50.0    ,50.0    ,-,114.3    
ショッピング・オークション,2    ,-,-,-,-,-,-,-,50.0    ,50.0    ,-,-,-,-,-,50.0    ,-,50.0    ,-,50.0    ,-,100.0    ,-,-,100.0    
その他,5    ,-,-,-,-,-,-,-,20.0    ,-,-,-,-,-,-,20.0    ,-,20.0    ,-,-,-,20.0    ,80.0    ,-,100.0    
わからない,2    ,50.0    ,-,-,-,-,-,50.0    ,50.0    ,-,-,-,-,50.0    ,-,50.0    ,-,50.0    ,-,-,50.0    ,50.0    ,50.0    ,-,250.0    
Ｑ３〔ネット利用項目（Ｂ２子ども向け携帯等／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,19    ,-,-,-,-,-,-,5.3    ,-,-,-,-,-,5.3    ,-,5.3    ,-,5.3    ,-,-,5.3    ,5.3    ,94.7    ,-,105.3    
ニュース,1    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0    ,-,100.0    
情報検索,5    ,-,-,20.0    ,-,-,-,20.0    ,20.0    ,20.0    ,20.0    ,-,-,-,-,20.0    ,-,20.0    ,20.0    ,20.0    ,-,20.0    ,80.0    ,-,180.0    
地図・ナビゲーション,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音楽視聴,3    ,-,-,-,-,-,-,-,33.3    ,-,-,-,-,-,-,33.3    ,-,33.3    ,-,-,-,33.3    ,66.7    ,-,100.0    
動画視聴,2    ,-,-,-,-,-,-,-,50.0    ,-,-,-,-,-,-,50.0    ,-,50.0    ,-,-,-,50.0    ,50.0    ,-,100.0    
電子書籍,1    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0    ,-,100.0    
ゲーム,4    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0    ,-,100.0    
ショッピング・オークション,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他,1    ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0    ,-,100.0    
わからない,3    ,-,-,-,-,-,-,-,-,-,-,-,-,33.3    ,-,-,-,-,-,-,33.3    ,33.3    ,33.3    ,33.3    ,100.0    
Ｑ３〔ネット利用項目（Ｃ１ノートＰＣ／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,176    ,6.3    ,3.4    ,5.7    ,6.3    ,4.5    ,2.3    ,17.0    ,33.0    ,23.9    ,4.0    ,1.7    ,3.4    ,14.2    ,1.1    ,37.5    ,3.4    ,37.5    ,11.9    ,24.4    ,15.3    ,48.9    ,51.1    ,-,177.8    
ニュース,163    ,4.9    ,3.1    ,6.7    ,5.5    ,3.1    ,3.1    ,25.2    ,31.9    ,20.2    ,4.9    ,1.2    ,1.8    ,14.7    ,1.2    ,39.3    ,3.1    ,39.9    ,11.7    ,21.5    ,16.0    ,51.5    ,48.5    ,-,176.1    
情報検索,529    ,4.2    ,1.7    ,5.1    ,3.8    ,1.9    ,0.9    ,17.2    ,25.0    ,13.8    ,2.8    ,0.9    ,1.5    ,12.9    ,1.9    ,31.0    ,1.7    ,31.2    ,8.5    ,14.4    ,14.6    ,41.4    ,58.4    ,0.2    ,152.2    
地図・ナビゲーション,84    ,6.0    ,6.0    ,10.7    ,8.3    ,3.6    ,3.6    ,22.6    ,36.9    ,21.4    ,4.8    ,-,2.4    ,13.1    ,3.6    ,40.5    ,6.0    ,41.7    ,15.5    ,21.4    ,16.7    ,53.6    ,46.4    ,-,189.3    
音楽視聴,291    ,3.4    ,1.7    ,4.5    ,4.8    ,3.1    ,1.4    ,19.9    ,26.1    ,18.9    ,3.4    ,0.7    ,2.4    ,16.8    ,1.0    ,32.3    ,1.7    ,32.6    ,9.6    ,19.9    ,17.5    ,46.7    ,53.3    ,-,161.5    
動画視聴,482    ,3.5    ,1.7    ,5.0    ,3.5    ,1.9    ,1.0    ,17.4    ,24.9    ,16.4    ,4.1    ,1.7    ,1.7    ,13.9    ,1.2    ,30.1    ,1.7    ,30.5    ,8.7    ,17.4    ,15.1    ,42.7    ,57.1    ,0.2    ,155.2    
電子書籍,30    ,10.0    ,13.3    ,13.3    ,6.7    ,6.7    ,3.3    ,26.7    ,26.7    ,30.0    ,10.0    ,-,3.3    ,16.7    ,3.3    ,33.3    ,13.3    ,36.7    ,16.7    ,33.3    ,16.7    ,53.3    ,46.7    ,-,216.7    
ゲーム,224    ,3.6    ,1.3    ,1.8    ,3.1    ,3.6    ,1.3    ,14.3    ,18.8    ,15.2    ,4.0    ,1.3    ,1.3    ,12.9    ,1.3    ,24.6    ,1.3    ,24.6    ,7.1    ,16.5    ,13.8    ,37.9    ,62.1    ,-,146.0    
ショッピング・オークション,80    ,3.8    ,3.8    ,7.5    ,2.5    ,5.0    ,6.3    ,25.0    ,47.5    ,30.0    ,11.3    ,5.0    ,3.8    ,22.5    ,3.8    ,51.3    ,3.8    ,51.3    ,13.8    ,31.3    ,25.0    ,65.0    ,35.0    ,-,212.5    
その他,51    ,3.9    ,2.0    ,7.8    ,2.0    ,2.0    ,2.0    ,9.8    ,19.6    ,7.8    ,2.0    ,-,-,2.0    ,-,23.5    ,2.0    ,23.5    ,9.8    ,9.8    ,2.0    ,33.3    ,66.7    ,-,127.5    
わからない,10    ,-,-,-,-,10.0    ,-,10.0    ,10.0    ,10.0    ,-,-,-,-,-,20.0    ,-,20.0    ,10.0    ,10.0    ,-,30.0    ,60.0    ,10.0    ,110.0    
Ｑ３〔ネット利用項目（Ｃ２デスクトップＰＣ／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,67    ,7.5    ,-,9.0    ,9.0    ,4.5    ,6.0    ,22.4    ,50.7    ,43.3    ,9.0    ,3.0    ,6.0    ,28.4    ,3.0    ,55.2    ,-,55.2    ,22.4    ,43.3    ,31.3    ,73.1    ,26.9    ,-,228.4    
ニュース,66    ,7.6    ,-,3.0    ,6.1    ,1.5    ,6.1    ,28.8    ,45.5    ,31.8    ,7.6    ,3.0    ,4.5    ,24.2    ,1.5    ,53.0    ,-,53.0    ,13.6    ,33.3    ,25.8    ,65.2    ,34.8    ,-,206.1    
情報検索,254    ,4.7    ,0.8    ,3.5    ,4.3    ,2.8    ,2.0    ,19.3    ,27.6    ,17.7    ,3.5    ,1.6    ,2.0    ,16.1    ,1.6    ,33.9    ,0.8    ,33.9    ,10.2    ,18.1    ,17.7    ,45.3    ,53.9    ,0.8    ,162.2    
地図・ナビゲーション,39    ,2.6    ,2.6    ,2.6    ,2.6    ,2.6    ,7.7    ,12.8    ,33.3    ,28.2    ,5.1    ,2.6    ,10.3    ,25.6    ,2.6    ,41.0    ,2.6    ,41.0    ,10.3    ,28.2    ,28.2    ,53.8    ,46.2    ,-,187.2    
音楽視聴,130    ,6.9    ,1.5    ,9.2    ,7.7    ,3.8    ,3.8    ,22.3    ,40.0    ,26.9    ,3.1    ,0.8    ,3.8    ,25.4    ,1.5    ,45.4    ,1.5    ,45.4    ,18.5    ,26.9    ,26.9    ,61.5    ,37.7    ,0.8    ,195.4    
動画視聴,219    ,6.4    ,0.9    ,4.6    ,5.9    ,2.7    ,3.2    ,21.5    ,33.3    ,21.5    ,3.7    ,1.4    ,2.7    ,22.8    ,2.3    ,40.2    ,0.9    ,40.2    ,12.8    ,21.5    ,25.1    ,55.7    ,43.8    ,0.5    ,177.2    
電子書籍,15    ,-,6.7    ,13.3    ,-,-,13.3    ,20.0    ,40.0    ,26.7    ,-,-,6.7    ,26.7    ,6.7    ,40.0    ,6.7    ,40.0    ,20.0    ,26.7    ,33.3    ,66.7    ,33.3    ,-,193.3    
ゲーム,117    ,7.7    ,0.9    ,5.1    ,6.0    ,5.1    ,4.3    ,22.2    ,33.3    ,27.4    ,6.0    ,2.6    ,4.3    ,23.9    ,1.7    ,39.3    ,0.9    ,39.3    ,15.4    ,27.4    ,25.6    ,53.8    ,45.3    ,0.9    ,196.6    
ショッピング・オークション,44    ,6.8    ,4.5    ,2.3    ,9.1    ,9.1    ,13.6    ,25.0    ,54.5    ,31.8    ,9.1    ,4.5    ,6.8    ,34.1    ,-,61.4    ,4.5    ,61.4    ,25.0    ,31.8    ,34.1    ,77.3    ,22.7    ,-,234.1    
その他,28    ,17.9    ,-,3.6    ,-,7.1    ,14.3    ,21.4    ,32.1    ,21.4    ,7.1    ,3.6    ,3.6    ,25.0    ,3.6    ,42.9    ,-,42.9    ,17.9    ,21.4    ,28.6    ,50.0    ,50.0    ,-,210.7    
わからない,10    ,-,-,-,-,-,-,10.0    ,30.0    ,-,-,-,-,10.0    ,-,30.0    ,-,30.0    ,-,-,10.0    ,40.0    ,60.0    ,-,110.0    
Ｑ３〔ネット利用項目（Ｄ１タブレット／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,123    ,6.5    ,2.4    ,4.1    ,0.8    ,5.7    ,1.6    ,23.6    ,22.0    ,18.7    ,5.7    ,3.3    ,1.6    ,15.4    ,2.4    ,31.7    ,2.4    ,31.7    ,8.9    ,20.3    ,17.9    ,44.7    ,54.5    ,0.8    ,169.1    
ニュース,71    ,7.0    ,1.4    ,11.3    ,2.8    ,4.2    ,2.8    ,31.0    ,21.1    ,16.9    ,1.4    ,1.4    ,1.4    ,21.1    ,1.4    ,40.8    ,1.4    ,40.8    ,14.1    ,18.3    ,21.1    ,56.3    ,43.7    ,-,169.0    
情報検索,247    ,4.9    ,2.0    ,4.9    ,2.4    ,2.4    ,0.8    ,19.4    ,14.6    ,12.1    ,3.2    ,2.4    ,0.8    ,16.2    ,1.6    ,26.3    ,2.0    ,26.3    ,8.5    ,13.4    ,17.4    ,40.5    ,59.1    ,0.4    ,147.4    
地図・ナビゲーション,62    ,1.6    ,1.6    ,9.7    ,1.6    ,1.6    ,-,21.0    ,24.2    ,12.9    ,3.2    ,3.2    ,-,17.7    ,3.2    ,32.3    ,1.6    ,32.3    ,11.3    ,14.5    ,19.4    ,46.8    ,51.6    ,1.6    ,154.8    
音楽視聴,177    ,6.2    ,2.3    ,5.1    ,2.8    ,2.3    ,0.6    ,22.0    ,20.3    ,13.0    ,3.4    ,2.3    ,1.1    ,16.4    ,1.7    ,31.6    ,2.3    ,31.6    ,8.5    ,14.7    ,16.9    ,43.5    ,54.8    ,1.7    ,155.9    
動画視聴,278    ,5.0    ,2.2    ,5.0    ,2.5    ,4.0    ,0.7    ,21.6    ,17.6    ,13.3    ,4.0    ,2.5    ,0.7    ,17.6    ,1.8    ,29.5    ,2.2    ,29.5    ,10.1    ,14.7    ,18.7    ,43.9    ,55.4    ,0.7    ,154.7    
電子書籍,37    ,5.4    ,5.4    ,10.8    ,5.4    ,5.4    ,-,29.7    ,21.6    ,18.9    ,5.4    ,2.7    ,-,16.2    ,8.1    ,32.4    ,5.4    ,32.4    ,13.5    ,21.6    ,18.9    ,45.9    ,51.4    ,2.7    ,189.2    
ゲーム,251    ,3.6    ,1.6    ,3.6    ,2.0    ,3.6    ,0.8    ,19.1    ,15.1    ,12.7    ,3.6    ,2.0    ,0.4    ,13.5    ,2.0    ,26.3    ,1.6    ,26.3    ,7.6    ,13.9    ,14.7    ,38.6    ,60.6    ,0.8    ,145.0    
ショッピング・オークション,22    ,13.6    ,9.1    ,4.5    ,4.5    ,9.1    ,4.5    ,22.7    ,22.7    ,22.7    ,13.6    ,9.1    ,4.5    ,27.3    ,-,36.4    ,9.1    ,36.4    ,9.1    ,27.3    ,27.3    ,50.0    ,50.0    ,-,218.2    
その他,15    ,13.3    ,6.7    ,6.7    ,-,20.0    ,-,20.0    ,26.7    ,13.3    ,-,-,-,6.7    ,-,26.7    ,6.7    ,26.7    ,20.0    ,13.3    ,6.7    ,40.0    ,60.0    ,-,173.3    
わからない,6    ,16.7    ,-,-,-,-,-,-,-,16.7    ,-,-,-,-,-,16.7    ,-,16.7    ,-,16.7    ,-,16.7    ,83.3    ,-,116.7    
Ｑ３〔ネット利用項目（Ｄ２学習用タブレット／ＭＡ）〕,,,,,,,,,,,,,,,,,,,,,,,,,
コミニュケーション,23    ,4.3    ,-,-,-,-,-,4.3    ,13.0    ,8.7    ,-,-,-,17.4    ,-,17.4    ,-,17.4    ,-,8.7    ,17.4    ,43.5    ,52.2    ,4.3    ,104.3    
