,,,,,,,,,,,,
＜該当機器でインターネットを使っている（Ｑ２で「１」を回答）方に＞,,,,,,,,,,,,
〔回答票３〕Ｑ３（Ａ１スマホ～Ｇ１インターネット接続テレビ計）あなたは、インターネットを使って何をしていますか。インターネットを利用している機器のそれぞれについて、この中から、あてはまるものをすべてあげてください。（いくつでも）,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,青少年分析軸,,,,,,,,,,,
,該当数,コミニュケーション（計）,ニュース（計）,情報検索（計）,地図・ナビゲーション（計）,音楽視聴（計）,動画視聴（計）,電子書籍（計）,ゲーム（計）,ショッピング・オークション（計）,その他（計）,わからない（計）
岐阜県,47    ,46.8    ,10.6    ,55.3    ,23.4    ,66.0    ,63.8    ,8.5    ,68.1    ,10.6    ,8.5    ,-
静岡県,81    ,61.7    ,32.1    ,63.0    ,34.6    ,64.2    ,74.1    ,16.0    ,65.4    ,11.1    ,14.8    ,1.2    
愛知県,184    ,63.0    ,17.4    ,60.3    ,29.3    ,61.4    ,65.8    ,10.9    ,73.4    ,12.0    ,6.5    ,4.3    
三重県,48    ,75.0    ,22.9    ,68.8    ,27.1    ,60.4    ,66.7    ,12.5    ,72.9    ,16.7    ,2.1    ,-
滋賀県,29    ,48.3    ,27.6    ,48.3    ,20.7    ,48.3    ,65.5    ,24.1    ,86.2    ,13.8    ,6.9    ,-
京都府,58    ,63.8    ,15.5    ,63.8    ,15.5    ,56.9    ,62.1    ,10.3    ,67.2    ,6.9    ,8.6    ,-
大阪府,186    ,69.9    ,24.2    ,58.6    ,31.2    ,62.9    ,67.2    ,10.2    ,69.9    ,9.7    ,9.7    ,3.2    
兵庫県,107    ,64.5    ,17.8    ,64.5    ,20.6    ,57.0    ,68.2    ,8.4    ,70.1    ,9.3    ,4.7    ,5.6    
奈良県,25    ,72.0    ,36.0    ,60.0    ,36.0    ,68.0    ,84.0    ,8.0    ,80.0    ,4.0    ,8.0    ,-
和歌山県,19    ,84.2    ,31.6    ,57.9    ,21.1    ,68.4    ,63.2    ,-,73.7    ,15.8    ,10.5    ,-
鳥取県,10    ,60.0    ,40.0    ,70.0    ,20.0    ,40.0    ,50.0    ,10.0    ,40.0    ,-,10.0    ,20.0    
島根県,14    ,71.4    ,35.7    ,64.3    ,21.4    ,85.7    ,85.7    ,21.4    ,64.3    ,21.4    ,-,-
岡山県,57    ,70.2    ,15.8    ,63.2    ,19.3    ,64.9    ,75.4    ,12.3    ,68.4    ,10.5    ,3.5    ,-
広島県,62    ,71.0    ,35.5    ,71.0    ,16.1    ,69.4    ,71.0    ,16.1    ,64.5    ,4.8    ,8.1    ,-
山口県,31    ,61.3    ,25.8    ,71.0    ,25.8    ,51.6    ,71.0    ,12.9    ,48.4    ,19.4    ,6.5    ,3.2    
徳島県,18    ,66.7    ,38.9    ,55.6    ,16.7    ,55.6    ,77.8    ,5.6    ,77.8    ,27.8    ,-,-
香川県,27    ,51.9    ,11.1    ,33.3    ,14.8    ,44.4    ,55.6    ,7.4    ,74.1    ,11.1    ,7.4    ,-
愛媛県,21    ,66.7    ,47.6    ,66.7    ,38.1    ,47.6    ,66.7    ,9.5    ,76.2    ,-,-,9.5    
高知県,9    ,100.0    ,44.4    ,77.8    ,55.6    ,88.9    ,88.9    ,33.3    ,66.7    ,55.6    ,11.1    ,-
福岡県,104    ,67.3    ,20.2    ,58.7    ,28.8    ,59.6    ,64.4    ,7.7    ,73.1    ,8.7    ,7.7    ,3.8    
佐賀県,15    ,60.0    ,26.7    ,66.7    ,33.3    ,86.7    ,86.7    ,6.7    ,66.7    ,20.0    ,13.3    ,-
長崎県,25    ,72.0    ,28.0    ,88.0    ,24.0    ,60.0    ,80.0    ,20.0    ,76.0    ,32.0    ,4.0    ,4.0    
熊本県,34    ,55.9    ,23.5    ,64.7    ,41.2    ,64.7    ,76.5    ,8.8    ,85.3    ,14.7    ,14.7    ,5.9    
大分県,15    ,26.7    ,33.3    ,40.0    ,13.3    ,60.0    ,73.3    ,13.3    ,60.0    ,20.0    ,-,-
宮崎県,28    ,71.4    ,25.0    ,50.0    ,17.9    ,64.3    ,57.1    ,14.3    ,53.6    ,17.9    ,-,3.6    
鹿児島県,22    ,54.5    ,31.8    ,63.6    ,22.7    ,54.5    ,40.9    ,13.6    ,59.1    ,-,-,-
沖縄県,34    ,58.8    ,26.5    ,47.1    ,26.5    ,82.4    ,85.3    ,14.7    ,73.5    ,14.7    ,5.9    ,2.9    
Ｑ１〔機器の利用状況〕,,,,,,,,,,,,
スマートフォン,1493    ,87.4    ,32.2    ,67.6    ,38.2    ,75.7    ,77.3    ,15.7    ,75.0    ,15.7    ,6.7    ,2.0    
格安スマートフォン,20    ,75.0    ,40.0    ,60.0    ,40.0    ,60.0    ,65.0    ,15.0    ,80.0    ,10.0    ,5.0    ,5.0    
機能限定・子供向けスマートフォン,46    ,54.3    ,17.4    ,58.7    ,21.7    ,39.1    ,52.2    ,8.7    ,69.6    ,-,8.7    ,13.0    
契約切れスマートフォン,97    ,63.9    ,32.0    ,69.1    ,21.6    ,55.7    ,75.3    ,11.3    ,79.4    ,18.6    ,11.3    ,3.1    
携帯電話,294    ,61.6    ,19.0    ,60.5    ,17.7    ,53.4    ,61.9    ,9.9    ,58.5    ,8.2    ,9.2    ,2.4    
機能限定電話・子ども向け携帯電話,179    ,34.1    ,14.5    ,53.6    ,10.6    ,37.4    ,54.2    ,5.6    ,66.5    ,5.6    ,8.4    ,5.0    
ノートパソコン,826    ,63.7    ,29.9    ,74.5    ,28.7    ,62.6    ,77.1    ,11.6    ,70.0    ,14.9    ,9.3    ,2.9    
デスクトップパソコン,400    ,63.0    ,29.5    ,76.8    ,33.0    ,61.5    ,79.3    ,12.5    ,69.5    ,15.8    ,11.8    ,4.5    
タブレット,458    ,58.5    ,25.8    ,70.7    ,26.6    ,60.7    ,75.5    ,14.0    ,76.6    ,12.0    ,8.7    ,3.7    
学習用タブレット,182    ,51.6    ,25.8    ,71.4    ,20.3    ,50.0    ,63.7    ,12.6    ,64.8    ,7.1    ,31.9    ,4.4    
子供向け娯楽用タブレット,7    ,71.4    ,14.3    ,85.7    ,28.6    ,71.4    ,71.4    ,-,42.9    ,14.3    ,28.6    ,-
携帯音楽プレイヤー,801    ,77.7    ,34.3    ,74.4    ,36.1    ,78.0    ,78.2    ,16.1    ,73.0    ,13.9    ,8.0    ,2.0    
携帯ゲーム機,1214    ,58.1    ,24.1    ,61.8    ,24.2    ,55.7    ,69.2    ,11.2    ,82.3    ,10.6    ,8.8    ,3.7    
据置型ゲーム機,748    ,62.0    ,28.6    ,66.4    ,26.5    ,58.8    ,72.6    ,13.1    ,83.2    ,12.4    ,8.2    ,3.7    
インターネット接続テレビ,109    ,78.9    ,44.0    ,79.8    ,40.4    ,72.5    ,84.4    ,15.6    ,81.7    ,18.3    ,13.8    ,6.4    
利用している（計）,2615    ,66.2    ,24.4    ,62.2    ,26.8    ,61.5    ,69.0    ,11.6    ,71.0    ,11.4    ,7.1    ,2.6    
いずれも利用していない,-,-,-,-,-,-,-,-,-,-,-,-
Ａスマートフォン（計）,1611    ,85.2    ,31.3    ,67.1    ,36.8    ,73.4    ,76.0    ,15.0    ,74.9    ,15.0    ,6.8    ,2.3    
Ｂ携帯電話（計）,469    ,51.4    ,17.3    ,57.6    ,14.3    ,47.1    ,58.8    ,8.1    ,62.0    ,7.0    ,9.0    ,3.4    
Ｃパソコン（計）,1174    ,62.9    ,29.3    ,75.0    ,30.0    ,62.0    ,77.4    ,11.9    ,69.6    ,15.0    ,10.1    ,3.5    
Ｄタブレット（計）,619    ,56.5    ,25.5    ,70.3    ,24.4    ,57.5    ,72.2    ,13.6    ,72.5    ,10.2    ,14.1    ,3.7    
Ｅ携帯音楽プレイヤー,801    ,77.7    ,34.3    ,74.4    ,36.1    ,78.0    ,78.2    ,16.1    ,73.0    ,13.9    ,8.0    ,2.0    
Ｆゲーム機（計）,1356    ,58.8    ,25.1    ,62.4    ,25.0    ,56.4    ,70.1    ,11.4    ,81.8    ,10.8    ,8.6    ,3.5    
Ｇインターネット接続テレビ,109    ,78.9    ,44.0    ,79.8    ,40.4    ,72.5    ,84.4    ,15.6    ,81.7    ,18.3    ,13.8    ,6.4    
Ａ・Ｂスマートフォン・携帯電話（計）,1998    ,77.9    ,28.2    ,64.8    ,32.2    ,67.8    ,72.1    ,13.6    ,71.8    ,13.3    ,7.1    ,2.5    
Ａ・Ｂ機能限定や子供向け（計）,225    ,38.2    ,15.1    ,54.7    ,12.9    ,37.8    ,53.8    ,6.2    ,67.1    ,4.4    ,8.4    ,6.7    
Ａ・Ｂ機能限定や子供向け以外（計）,1818    ,82.3    ,29.9    ,66.2    ,34.4    ,71.5    ,74.4    ,14.4    ,72.6    ,14.4    ,7.0    ,2.0    
【全数】Ｑ２〔ネット利用状況（ネット利用まとめ）〕,,,,,,,,,,,,
