,,,,,
＜Ｑ１のいずれかの機器を利用している（Ｑ１で「１」～「１５」のいずれかを回答）方に＞,,,,,
〔回答票２〕Ｑ２（Ａ１スマホ～Ｇ１インターネット接続テレビ計）あなたは、Ｑ１で回答した機器でインターネットを使っていますか。それぞれの機器について、この中から、あてはまるものを１つあげてください。（それぞれ１つだけ）,,,,,
,,,,,
,,,,,
,青少年分析軸,,,,
,該当数,使っている（計）,使える機種・設定で、使っていない（計）,使えない機種・設定で、使っていない（計）,わからない（計）
据置型ゲーム機,891    ,84.0    ,48.8    ,40.3    ,15.3    
インターネット接続テレビ,114    ,95.6    ,50.9    ,29.8    ,10.5    
利用している（計）,3142    ,83.2    ,29.4    ,29.7    ,9.1    
いずれも利用していない,-,-,-,-,-
Ａスマートフォン（計）,1678    ,96.0    ,25.6    ,21.3    ,8.5    
Ｂ携帯電話（計）,694    ,67.6    ,40.1    ,59.8    ,13.8    
Ｃパソコン（計）,1202    ,97.7    ,33.2    ,31.1    ,8.8    
Ｄタブレット（計）,666    ,92.9    ,38.9    ,36.2    ,9.5    
Ｅ携帯音楽プレイヤー,875    ,91.5    ,39.8    ,44.7    ,11.1    
Ｆゲーム機（計）,1679    ,80.8    ,42.9    ,38.8    ,13.5    
Ｇインターネット接続テレビ,114    ,95.6    ,50.9    ,29.8    ,10.5    
Ａ・Ｂスマートフォン・携帯電話（計）,2285    ,87.4    ,29.4    ,31.5    ,9.7    
Ａ・Ｂ機能限定や子供向け（計）,367    ,61.3    ,32.2    ,67.8    ,17.4    
Ａ・Ｂ機能限定や子供向け以外（計）,1966    ,92.5    ,28.8    ,25.4    ,8.6    
【全数】Ｑ２〔ネット利用状況（ネット利用まとめ）〕,,,,,
スマートフォン,1475    ,100.0    ,23.3    ,20.3    ,7.1    
格安スマートフォン,19    ,100.0    ,15.8    ,15.8    ,10.5    
機能限定・子供向けスマートフォン,28    ,100.0    ,7.1    ,7.1    ,17.9    
契約切れスマートフォン,73    ,100.0    ,28.8    ,21.9    ,8.2    
携帯電話,120    ,100.0    ,15.8    ,28.3    ,7.5    
機能限定電話・子ども向け携帯電話,30    ,100.0    ,20.0    ,16.7    ,6.7    
ノートパソコン,793    ,100.0    ,29.9    ,29.5    ,8.3    
デスクトップパソコン,380    ,100.0    ,28.4    ,32.1    ,7.1    
タブレット,434    ,100.0    ,32.7    ,33.2    ,5.8    
学習用タブレット,139    ,100.0    ,32.4    ,33.8    ,10.8    
子供向け娯楽用タブレット,6    ,100.0    ,50.0    ,33.3    ,-
携帯音楽プレイヤー,327    ,100.0    ,23.5    ,12.5    ,4.6    
携帯ゲーム機,638    ,100.0    ,20.4    ,22.3    ,7.8    
据置型ゲーム機,266    ,100.0    ,17.3    ,17.7    ,4.5    
インターネット接続テレビ,58    ,100.0    ,17.2    ,24.1    ,5.2    
インターネット利用（計）,2615    ,100.0    ,25.0    ,24.9    ,7.7    
インターネット非利用,527    ,-,50.9    ,53.1    ,15.7    
モバイル機器（計）,2548    ,100.0    ,24.7    ,24.6    ,7.7    
据置型機器（計）,611    ,100.0    ,24.1    ,26.8    ,5.9    
Ａスマートフォン（計）,1573    ,100.0    ,22.9    ,20.3    ,7.2    
Ｂ携帯電話（計）,150    ,100.0    ,16.7    ,26.0    ,7.3    
Ｃパソコン（計）,1129    ,100.0    ,29.4    ,30.7    ,8.1    
Ｄタブレット（計）,562    ,100.0    ,32.7    ,33.5    ,6.8    
Ｅ携帯音楽プレイヤー,327    ,100.0    ,23.5    ,12.5    ,4.6    
Ｆゲーム機（計）,719    ,100.0    ,22.0    ,21.7    ,7.4    
Ｇインターネット接続テレビ,58    ,100.0    ,17.2    ,24.1    ,5.2    
Ａ・Ｂスマートフォン・携帯電話（計）,1704    ,100.0    ,22.4    ,20.9    ,7.2    
Ａ・Ｂ機能限定や子供向け（計）,58    ,100.0    ,13.8    ,12.1    ,12.1    
Ａ・Ｂ機能限定や子供向け以外（計）,1656    ,100.0    ,22.6    ,21.1    ,7.0    
非該当,-,-,-,-,-
【全数】Ｑ２〔ネット利用状況（Ａ１スマホ～Ｇ１インターネット接続テレビ計）〕,,,,,
使っている（計）,2615    ,100.0    ,25.0    ,24.9    ,7.7    
使える機種・設定で、使っていない（計）,923    ,71.0    ,100.0    ,25.6    ,7.2    
使えない機種・設定で、使っていない（計）,932    ,70.0    ,25.3    ,100.0    ,6.4    
わからない（計）,285    ,70.9    ,23.2    ,21.1    ,100.0    
非該当,-,-,-,-,-
【全数】Ｑ２〔ネット利用状況（Ａ１スマホ）〕,,,,,
使っている,1475    ,100.0    ,23.3    ,20.3    ,7.1    
使える機種・設定で、使っていない,45    ,26.7    ,100.0    ,13.3    ,8.9    
使えない機種・設定で、使っていない,9    ,44.4    ,-,100.0    ,-
わからない,12    ,16.7    ,8.3    ,25.0    ,100.0    
非該当,1601    ,70.1    ,33.3    ,38.4    ,10.3    
【全数】Ｑ２〔ネット利用状況（Ａ２格安スマホ）〕,,,,,
使っている,19    ,100.0    ,15.8    ,15.8    ,10.5    
使える機種・設定で、使っていない,2    ,-,100.0    ,-,50.0    
使えない機種・設定で、使っていない,1    ,100.0    ,100.0    ,100.0    ,100.0    
わからない,-,-,-,-,-
非該当,3120    ,83.2    ,29.4    ,29.7    ,9.0    
【全数】Ｑ２〔ネット利用状況（Ａ３子供スマホ）〕,,,,,
使っている,28    ,100.0    ,7.1    ,7.1    ,17.9    
使える機種・設定で、使っていない,6    ,33.3    ,100.0    ,16.7    ,-
使えない機種・設定で、使っていない,16    ,68.8    ,25.0    ,100.0    ,6.3    
わからない,10    ,50.0    ,40.0    ,10.0    ,100.0    
非該当,3082    ,83.4    ,29.4    ,29.6    ,8.7    
【全数】Ｑ２〔ネット利用状況（Ａ４契約切れスマホ）〕,,,,,
使っている,73    ,100.0    ,28.8    ,21.9    ,8.2    
使える機種・設定で、使っていない,12    ,91.7    ,100.0    ,25.0    ,8.3    
使えない機種・設定で、使っていない,10    ,80.0    ,20.0    ,100.0    ,10.0    
わからない,5    ,100.0    ,40.0    ,20.0    ,100.0    
